ID	OAvsNonOA_logFC	OAvsNonOA_padjFilter
7A5	0.0234879851737313	NA
A1BG	-0.0810382810865313	0.193387508375275
A1BG	0.0197186924717201	NA
A1CF	-0.0881085503464849	0.0431247162124095
A1CF	-0.123405542405964	0.0157601330137747
A1CF	0.0179581228559202	NA
POTEA	0.0128870253921285	NA
POTEA	0.0145894309761063	NA
POTEB	-0.0368442366620716	NA
POTEF	-0.00253955075549506	NA
A26C3	-0.0290453255215972	0.569964105549725
A26C3	-0.012264059213928	NA
A26C3	-0.00368167795829777	NA
A2BP1	-0.0440850969351088	NA
A2BP1	0.0319935382309557	NA
A2BP1	0.0480253357779503	NA
A2BP1	-0.0583239215222093	NA
A2M	0.804073841122261	0.012076889052171
A2ML1	0.0109003554360108	NA
A3GALT2	0.00451542616222422	NA
A3GALT2	0.0221258574082004	NA
A4GALT	-0.609503338355476	4.2622367093232e-07
A4GNT	0.0250743427744613	NA
AAA1	-0.0168104562978728	NA
AAA1	-0.028146435620604	NA
AAA1	0.0276383597715766	0.343223270727511
AAA1	0.0136269174370991	NA
AAA1	-0.0273045089984505	NA
AAAS	0.0873268787036778	0.0131095797237946
AACS	-0.0394769061608162	0.608707164616732
AACSL	0.0260785271495436	NA
AADAC	-0.0075325628324201	0.902492033704859
AADACL1	0.0551925817840528	0.178078072273737
AADACL1	0.0969329363763496	0.0578620182902352
AADACL2	0.00129358122403112	NA
AADACL3	-0.0082626442482896	NA
AADACL4	-0.0882343134118972	0.0772029118329436
AADAT	0.05384695179389	NA
AADAT	0.0119306023034467	NA
AADAT	-0.0210328625810723	NA
AADAT	0.0527798744651387	0.321729751307831
AAK1	0.0284079638373509	0.440825530246897
AAK1	0.00483270347801401	NA
AAK1	-0.0172167915273302	NA
AAMP	-0.078210990025986	0.280864637306264
AANAT	-0.00460731820930871	NA
AARS	-0.369989845213384	0.0143246113677
AARS2	-0.474557465035705	2.46589386894684e-05
AARSD1	-0.131555881614828	0.109432110962996
AASDH	-0.0963394376842341	0.108714162848994
AASDHPPT	-0.0122056614761057	0.870630410580765
AASDHPPT	0.0252808364072727	0.794186862240277
AASS	-0.303364762128313	0.000494933115972676
AASS	-0.321738184165266	1.82160797207086e-05
AATF	-0.615910618516546	3.7147324029892e-07
AATK	-0.0117747742697212	NA
AATK	0.0403067454974639	0.269344958016193
AATK	-0.00447534973092267	NA
ABAT	0.0381676874610584	NA
ABAT	0.0222920810191329	0.696136984333616
ABAT	-0.0193291000871474	NA
ABCA1	-0.824867197343583	0.00053016059555565
ABCA10	-0.122883332907699	0.0258395954600499
ABCA10	0.0535260959775172	0.339925683324391
ABCA11	0.0296318844229821	0.509850746805368
ABCA12	0.0311922561673184	NA
ABCA12	0.00708691050153565	NA
ABCA13	-0.0221617975830748	NA
ABCA2	-0.00337559854490621	NA
ABCA2	0.36388344799994	4.72861655118205e-07
ABCA3	0.0328187387874275	0.460047284487337
ABCA4	-0.0502647551538109	0.302608328532221
ABCA5	0.038793722794944	0.699339361869202
ABCA5	0.293554841089033	0.00599061733758492
ABCA5	-0.0972846374412786	0.358467106175038
ABCA6	-0.120659289519852	0.254094883563089
ABCA6	-0.01303269840216	0.794800573438335
ABCA7	0.0144254539480357	NA
ABCA7	0.0644303609258294	0.254143715253164
ABCA7	0.0043205239473334	NA
ABCA8	0.0645214298799814	NA
ABCA8	0.923171083941657	1.90911891278042e-07
ABCA9	0.0839591731572558	0.230436578972582
ABCA9	-0.0107337009104462	0.827721568905518
ABCB1	-0.015139889164411	0.741835531912299
ABCB1	-0.0129621412443965	NA
ABCB10	0.294484652950228	2.69813450227489e-05
ABCB11	0.00753786134596535	NA
ABCB4	-0.0702939961380649	0.197478015076471
ABCB5	0.0288447226952844	NA
ABCB6	0.292675551730971	0.0189008113513944
ABCB7	-0.305694036752859	0.00027346652428181
ABCB8	0.0109887752179629	NA
ABCB9	-0.00875159078013166	NA
ABCB9	-0.262573228401672	0.00891154732261043
ABCB9	-0.210294466491193	0.189623180077929
ABCC1	0.0204593610721036	NA
ABCC1	0.125246045648381	0.182791456644929
ABCC10	0.0907798127486945	0.131508717679133
ABCC11	0.038621275553564	NA
ABCC11	-0.0157536207264597	0.723777289405887
ABCC11	0.00255112521637724	NA
ABCC12	-0.0636228824599865	0.187722903571004
ABCC13	0.0445304766865382	NA
ABCC13	0.00353033973607086	NA
ABCC13	0.0103373185105076	0.789246718997916
ABCC2	-0.0103863022490955	0.860545085637434
ABCC3	0.0037720502223122	NA
ABCC3	-0.352671705756088	6.69580134093419e-05
ABCC4	-0.327468324552409	0.0184379349414479
ABCC4	-0.247967373479969	0.0138778803517791
ABCC5	0.0268592813344197	NA
