ID	damagedvsundamaged_logFC	damagedvsundamaged_padjFilter
APOBEC3B	-0.0603165951806834	NA
ATP11B	-0.274129807985078	0.0313424997921057
DNAJA1	-0.0842633698768906	0.71030380317259
RPL23	0.482264862345662	0.182050940250349
HDDC3	0.0657349760485142	0.683044224703054
PRNP	-0.344780000019676	0.318664590516538
ITPRIPL2	0.0987602650591492	0.40294108479378
MEGF11	-0.0722400182422783	NA
KBTBD4	-0.124205563230296	0.377959400589122
SLED1	-0.0912413705462806	NA
LRP1	-0.490554777960644	0.240084605920386
TSC1	-0.326880464628555	0.0344595442811553
ADORA3	-0.392210159195818	NA
GOLGA3	0.164971975642263	0.470442851893543
CD99L2	0.220910646922332	0.0704941715162924
SMG7	-0.0253942666767743	0.760143299068906
VASH1	0.0306496718495869	0.910540366353227
SLC7A1	0.259047609844331	0.185054786160324
MAB21L2	0.0413975904456092	0.770314910570612
ZCCHC18	-0.0925415566782515	NA
EPHA2	-0.230786723308214	0.118015378445736
SYT2	-0.0734770379779517	NA
SET	0.079055584553546	0.616020129293511
SP5	-0.154681747903771	NA
IFNG	-0.030024617444484	NA
ICA1	0.105256027644131	0.399167099937393
SAMD9L	-0.225739127509811	0.191017393175647
OR8D1	-0.0353186403502999	NA
BOK	-0.245582700616597	0.579744956283037
NLE1	0.203953765117291	0.331593084764433
RRM1	0.092072126070808	0.323010946015537
C1orf115	-0.0831485259121062	NA
ATP6V1C2	0.0590067716232305	NA
CASC15	0.322763102528245	0.0717057239962952
BRD3	0.077758328094318	0.810036838563272
TSHR	-0.0545630830767737	NA
OR12D2	-0.0179944960879988	NA
PRRG2	-0.0282799667208334	NA
GJB2	0.122847585842026	0.616978104961961
PRR30	-0.0286141525146736	NA
ORMDL3	-0.0250211925127887	0.962565831652169
RETREG2	-0.0123038796996696	0.904130448048254
TUT1	-0.261918200085507	0.102256790416509
CYP2E1	-0.0765911782316751	NA
UBE2I	-0.329807304832846	0.408350068874676
DNTTIP2	0.159237272145547	0.289771446331318
ARMC12	-0.0628807982624718	NA
GATAD2A	0.0292336444531924	0.792086891826342
ZYG11B	-0.157313333936753	0.384580791728492
YARS1	-0.0162815143794229	0.942283766755003
XXYLT1	-0.14549593643495	0.268689591860947
HLA-DRB1	-1.27779113737762	0.0897017600965333
GCSAML	-0.077165220516268	NA
MASP1	0.00342142970298506	NA
ADRB2	0.338813201700293	0.196646426447018
CNOT8	-0.20339166997863	0.136190164353532
ZNF300	-0.0724505913120098	0.630379594360156
OBP2A	-0.0474532563234139	NA
ATG5	0.226470637911418	0.0417365705386252
CCNA1	-0.123402555525365	NA
MAOB	-0.560789613022385	0.0573975620136926
FASLG	-0.0313189358459085	NA
WAPL	-0.0729002862216813	0.335065036073858
HSD11B2	-0.164519638072848	0.338591597529516
NEB	-0.122272594040908	0.246444700310706
FER1L4	0.144614121883176	0.469656717427688
MYH15	-0.0220871287670316	NA
CLOCK	0.0508181588960642	0.696480067122086
ABHD17A	-0.022466181733895	0.948473551798746
C1GALT1	0.265672238812584	0.150025095101449
CXCL2	-0.0375871962244037	NA
LOC100128361	0.369956115455748	0.156612163565426
TBC1D14	-0.151056692188804	0.214508418894261
RNF121	0.254286211356691	0.0618345611667854
SHISA9	0.192724824093386	NA
TNFAIP8L3	0.0136059264116814	0.930716368889264
C17orf64	0.00225850008695214	NA
BLK	0.0827281660430071	NA
ZNF556	-0.0366398388654681	NA
MAP4K5	-0.0691474153579039	0.459578348567698
ATPAF2	0.121252233526241	0.721773508377288
PPP2R2C	-0.06042003197349	NA
HCFC1	-0.0479110945049471	0.579668776826816
IL2RA	-0.0740768724589119	NA
GGA1	0.0928245211756291	0.442250384601731
DYNLT3	0.11215289146677	0.48705563502278
CPSF6	0.187464729504122	0.106957339426519
POLE2	-0.0770479031090412	0.454066046784876
SAR1B	0.158533535239516	0.52928158064972
IMP3	-0.194902911798691	0.199166471523034
UBE2DNL	0.0217536953887696	NA
LINC01565	-0.0378839645336167	NA
ARFIP1	-0.0329250238507826	0.815033622195953
BRCA2	-0.00121682082772239	NA
CCDC92	0.130597547967026	0.139343599611226
RAB5C	-0.251238313867488	0.343482714066609
MEIG1	0.0774770498273287	NA
MRTFA	0.102157271532236	0.410993540029002
AHCTF1	-0.273507521834937	0.153863574014086
KRT71	-0.0405870966588722	NA
PHACTR3	-0.0539525330555499	NA
TTTY9A	-0.0174920679585036	NA
ACP1	-0.126015938908624	0.20081454343594
ALDH4A1	-0.0424257991213979	0.681338512782998
FBXO3	-0.00748662226719918	0.965473982893583
OR2V2	0.0122145566691442	NA
CACNG8	-0.0183389806498842	NA
CIDEC	-0.0419297286580127	0.754051170433676
