ID	osteophytic.cartilagevsarticular.cartilage_logFC	osteophytic.cartilagevsarticular.cartilage_padjFilter
A1BG	-0.0638421754727112	0.815549192527566
A1BG-AS1	-0.136400515366514	NA
A1CF	-0.189830723963456	NA
A2M	0.21458972310537	0.561103610639869
A2M-AS1	-0.681283058501331	0.26270069198575
A2ML1	-0.246262983513086	NA
A2MP1	-0.740635630761668	NA
A4GALT	0.179449711498354	0.657696031749153
A4GNT	-0.391567321459547	NA
AA06	-0.423410609279827	NA
AAAS	-0.369253622355361	0.445061177605595
AACS	-0.355764007665849	0.478480681090534
AACSP1	-0.283464130389842	NA
AADAC	-0.0195642332586039	NA
AADACL2	-0.364904587408598	NA
AADACP1	0.0259159417415564	NA
AADAT	0.254528121288303	0.493778920930929
AAGAB	-0.310387918629242	0.302293469648542
AAK1	-0.388616002349423	NA
AAMDC	0.0915082656703419	0.817893042486116
AAMP	-0.417789982627535	0.174746002995414
AANAT	0.044710218366786	NA
AAR2	-0.063076759547072	0.903788573970006
AARS1	-0.260794395009499	0.534200249222901
AARS2	0.0542942877116017	0.851008100294939
AASDH	-0.21475809141512	0.48408250068701
AASDHPPT	0.537126941919124	0.363147536574566
AASS	0.584279786438928	0.25581586689989
AATBC	-0.525000581890205	NA
AATF	0.146210108876758	0.750419659418911
AATK	-0.404072519843573	0.194441347336513
ABAT	-0.0912573984579366	0.741292091779913
ABCA1	0.520691996637482	NA
ABCA11P	0.202121974565408	0.455562041958559
ABCA12	0.00830889972744275	NA
ABCA13	-0.0759593482839034	NA
ABCA17P	-1.05571785546264	0.0451363437733042
ABCA2	-0.38826042924792	NA
ABCA3	-0.00972345954497555	0.982179431661514
ABCA4	-0.00952497297551869	NA
ABCA5	-0.948678758405939	0.027171486200758
ABCA6	1.03325944991571	NA
ABCA7	-0.0170618882492306	0.977975645402059
ABCA8	-0.258004356418828	NA
ABCA9	-0.0735789688231419	NA
ABCB1	0.151472875320582	NA
ABCB10	1.4610250590937	0.0440204699843158
ABCB11	-0.228608270431411	NA
ABCB4	0.304065289195516	NA
ABCB5	0.420668474984938	NA
ABCB6	0.0683917639216185	0.826953108938688
ABCB7	0.607193654823759	0.164418719069496
ABCB8	-0.191007934492645	0.492183953006433
ABCB9	-0.39193091312309	NA
ABCC1	-0.464475648623235	0.42459954139578
ABCC10	0.59918090322499	0.0815393499971338
ABCC11	-0.0628839443338149	NA
ABCC12	0.02885622103598	NA
ABCC13	-0.331506926172143	NA
ABCC2	0.238789974463722	NA
ABCC3	0.0347754088863916	0.910191932485762
ABCC4	-0.366887327992849	NA
ABCC5	0.735692932455611	0.246290339683354
ABCC6	-0.0773999074269023	NA
