ID	contralateral.osteoarthritis.inductionvsipsilateral.osteoarthritic.induction_logFC	contralateral.osteoarthritis.inductionvsipsilateral.osteoarthritic.induction_padjFilter
A1bg	-0.0246697372912905	NA
A1cf	0.0354884593277669	0.804471434769704
A2ml1	-0.106209817890393	NA
A3galt2	-0.587843269456491	0.0066961883661866
A4galt	0.0511514257242576	NA
Aaas	0.0128375150072522	0.96763383335031
Aacs	-0.0305136378642761	0.867577370012375
Aadac	-0.0741860894088795	NA
Aadat	0.0754522555254074	NA
Aagab	-0.230577253053932	0.0742859609560805
Aak1	-0.0170479011476292	0.92829960226585
Aamdc	0.223282654780526	0.136213857328175
Aamp	-0.0340226103688499	0.905014368842751
Aanat	-0.113529788538961	0.375247856385459
Aar2	-0.0261525344606568	0.846538661745284
Aard	0.00769563496188752	0.990775055923986
Aars	-0.081896486809848	0.630827070711066
Aars2	-0.118215290810015	0.367238912327036
Aarsd1	0.112439081936486	0.527668786382716
Aasdh	-0.0818838591419837	0.522281109253949
Aasdhppt	0.0722874989672846	0.644127452674559
Aass	0.40057836461614	0.611807208638556
Aatf	0.0995499616041133	0.523343618501167
Aatk	0.192187935884477	0.198644347458925
Abat	-0.058164911042466	0.725857064955135
Abca1	0.291176718068602	0.0733213228508758
Abca2	-0.150123426184845	0.196382535228426
Abca3	-0.0650257625990953	0.610758341294491
Abca4	0.052225787854602	NA
Abca5	0.321884145411039	0.0526989009364001
Abca7	-0.338932310667102	0.285515649067562
Abca8	0.0696403763613809	NA
Abca8a	0.426317144167498	0.110841989583313
Abcb10	0.0505678871969995	0.786458695984882
Abcb11	0.0725286077740694	NA
Abcb1a	-0.0906982250794908	NA
Abcb4	-0.041205849437671	0.823867123783493
Abcb6	0.0107893530960865	0.965972710097872
Abcb8	-0.0125364852876118	0.950874529260282
Abcb9	0.109771704521082	0.396097013017711
Abcc1	0.151207763580262	0.212206258416743
Abcc10	-0.0338783755829031	0.87237494919214
Abcc2	0.035616741974402	0.816891411776309
Abcc3	-0.0838782597220922	0.512975863382886
Abcc4	-0.0316788709357239	0.886850513058557
Abcc5	-0.00983788589687506	0.957016557419085
Abcc6	-0.0761432116413561	0.587266592509708
Abcc8	0.0335894814441611	NA
Abcc9	-0.102887407466461	0.670326329476405
Abcd1	0.0190062282287009	0.921990022331841
Abcd2	-0.0562897469707178	NA
Abcd3	-0.0150727821407006	0.957563192449824
Abcd4	-0.00880271997282733	0.978651393717078
Abce1	-0.239739475403873	0.317080267710779
Abcf1	0.00218996636943203	0.99386191228798
Abcf2	-0.00459971121257041	0.983686616170772
Abcf3	-0.0227165340505469	0.863198025803536
Abcg1	0.12052731998057	0.281986547288032
Abcg2	-0.0203902435794276	0.907827005146478
Abcg3l1	0.107563030011232	0.525244488656646
Abcg4	-0.0472968445632587	0.799468277832987
Abcg5	-0.106152945790741	0.473234300728351
Abcg8	-0.0158255668190863	NA
Abhd1	0.164971191699034	0.207056007452126
Abhd10	0.17811528805813	0.525746984400175
Abhd11	0.03362454948532	0.862600994602465
Abhd11-as1	0.0131240841898839	NA
Abhd12	0.223655051081456	0.11146371767106
Abhd13	-0.145712460049316	0.378267928649152
Abhd14a	0.385482549174299	0.0268210395053187
Abhd14b	0.207806392318583	0.163063877524122
Abhd15	0.100483940679868	NA
Abhd16a	0.182658939287201	0.42502374721094
Abhd17a	0.154694339996164	0.490807133756028
Abhd17b	0.0821699408050671	NA
Abhd17c	-0.306867716061838	0.0726670290861786
Abhd18	-0.102038362845406	0.622882888388826
Abhd2	-0.140233525772439	0.767067271018943
Abhd3	0.0269728271062277	NA
Abhd4	0.0318836803483222	0.882448150879518
Abhd5	-0.215362086378451	0.0935460728584979
Abhd6	-0.0506242790305862	0.80249999326523
Abhd8	-0.00890087767868142	0.979196385908453
Abi1	-0.108532943360283	0.34592184933454
Abi2	0.097633910669634	0.557751189085284
Abi3	0.143542352012837	0.223353710711644
Abi3bp	0.0398170777796061	0.757390463820789
Abitram	0.0467264976697983	0.793581689356844
Abl2	-0.655318349792548	0.00536916889706504
Ablim1	0.00012945188623803	NA
Ablim2	0.0256945704937825	0.86738019996602
Ablim3	-0.03489198848232	NA
Abo	0.0793687408125443	0.695679134003493
Abo3	0.0201528549777237	NA
Abr	-0.0681990335313705	0.653142369943945
Abra	-0.314499366884808	0.0729887333236841
Abracl	-0.708197415587787	0.00555174746182792
Abraxas1	-0.0182741479685919	0.928096502647133
Abraxas2	0.00144387926444445	0.996892981912758
Abt1	0.0499656293213278	0.755421438743549
Abtb1	0.0506382767744764	0.852112694574961
Abtb2	0.0734467417194313	0.689966761023521
Acaa2	0.0331410776125525	0.92829960226585
Acaca	0.104322389765499	0.435213847826052
Acacb	-0.0693843043382314	NA
Acad10	0.0993071760980575	0.484641643231694
Acad11	0.0951606861342214	0.621941999702951
Acad8	0.0614490371585408	0.600987615056746
Acad9	0.146131914706173	0.507883105644951
Acadl	0.238794489871458	0.112265310968663
Acadm	-0.0337680807561558	0.836145195969848
Acads	-0.0823762872485378	0.534596192177105
Acadsb	0.261743113172822	0.0782360147670699
Acadvl	-0.090737910971475	0.42205614556633
Acan	-0.133950550274315	0.354363388704998
Acap1	-0.0524445504172339	0.615330673377414
Acap3	-0.00953674243662928	0.96394828038554
Acat1	0.0666337714408272	0.823050785641821
Acat2	0.311218388831346	0.180711868688277
Acbd3	0.404474316073397	0.396106555301073
Acbd4	0.0363250981085494	0.75407776335846
Acbd5	-0.0735515429121776	0.564498994240849
Acbd6	0.212125797106264	0.106966365061011
Accs	0.0619810900920186	0.696177307740742
Acd	0.0221655611994986	0.955682299371671
Acer1	-0.14729090316832	0.249750713335941
Acer2	-0.0674013228405075	0.539229030160095
Acer3	-0.00548091910289905	0.984009353037308
Acin1	-0.0621552272426253	0.655909725080953
Ackr2	0.120804558023933	0.633636064401709
Ackr3	-0.472701792815222	0.0337151153439616
Ackr4	-0.494419378802671	0.182817601855664
Acly	0.0865472684826312	0.52780030405906
Acmsd	-0.066644245279833	0.630827070711066
Aco1	0.126659047655608	0.598155238882012
Aco2	-0.0443809945360965	0.80712637199043
Acot1	0.0909555136625757	NA
Acot12	-0.0233497592991618	NA
Acot13	0.185873814825895	0.310175765953405
Acot2	0.126512900043734	0.641605139968069
Acot3	0.124398384934534	NA
Acot4	0.0977296445495011	NA
Acot7	-0.202811008057054	0.129747075268641
Acot8	-0.0174425002033161	0.917738901144433
Acot9	-0.0790896318355951	0.634032716910968
Acox2	-0.00515630573989601	NA
Acox3	0.0998566213493364	NA
Acp1	-0.105839627223553	0.557751189085284
Acp2	-0.0672266006739619	0.648918034155999
Acp5	0.180891143955026	0.748662555907342
Acp6	0.0782898024887171	0.633259630104296
Acpp	-0.0124061791588774	NA
Acr	0.0100108668497363	0.954993558761276
Acrbp	-0.0411885713216682	0.722412413087723
Acrv1	0.0471668657359228	NA
Acsbg1	0.0343130349271688	0.892198939202314
Acsf2	0.137871965605646	0.401144118489718
Acsf3	0.000799614538454563	0.999326198958169
Acsl1	0.0814768211817523	0.779655784157928
Acsl3	0.229322834782476	0.224678782284538
Acsl4	-0.0073764432092176	0.985088480240326
Acsl5	-0.157004593267892	0.158643107850018
Acsl6	0.32283753265633	0.0604575699997191
Acsm1	-0.00972520345880579	0.958074043808956
Acsm2	-0.0155539653349281	NA
Acsm3	0.0769070040437319	NA
Acsm5	-0.0996668094497339	0.48838727376997
Acss1	0.469326406620764	0.0300021023000072
Acss2	-0.128190495549074	0.652759588646139
Acss3	0.36224225832077	0.276322064481028
Acta1	1.55482139648613	0.129540217781428
Acta2	-0.0873185880435994	0.634032716910968
Actg1	-0.00346600700999389	0.984395360736631
Actg2	-0.135423239469932	NA
Actl6a	0.0439839459614628	0.812685733365439
Actl6b	0.120030883434656	0.420878931959492
Actl7b	0.090688788559194	0.642949044495957
Actn1	-0.188123633348612	0.0798434945278904
Actn2	-0.0876028293109163	0.796814077133071
Actn3	0.0144758408122483	0.991032614209131
Actn4	-0.159801598447931	0.437733062734524
Actr10	0.00676605455872448	0.965345973546953
Actr1a	-0.177677574832106	0.156950283653117
Actr1b	-0.029065557157594	0.8974033758585
Actr2	-0.120184106473445	0.436841701049348
Actr3b	0.0539746647398376	NA
Actr5	0.229576201090619	0.206494305522685
Actr6	0.221578271647473	0.269654955602984
Actr8	0.0824445894698531	0.555392330523839
Acvr1	-0.12354400099591	0.329677189086109
Acvr1c	0.0040484598890993	0.984516205229657
Acvr2a	-0.114185824809288	0.504704977940448
Acvr2b	-0.0490810001615243	0.729015459383739
Acvrl1	-0.412736635112031	0.0574987044323206
Acy1	0.283141128911069	0.156418460975164
Acy3	0.375252725314622	0.0469712993509388
Acyp1	0.0888409304978737	0.616114239507371
Acyp2	0.117019010234191	0.804475484566561
Ada	-0.362877314903162	0.142478800828841
Adal	-0.0397302687709091	NA
Adam10	-0.0841372599333523	0.580682912874447
Adam11	0.0616606611757593	0.655846533876323
Adam15	-0.203348600446781	0.377191085548212
Adam17	-0.158155372248666	0.477156772396674
Adam18	-0.00989587041163631	0.961846733920513
Adam19	0.0358454416766074	0.786458695984882
Adam1a	-0.102284178048917	0.54788269480688
Adam2	-0.0914902230588943	0.60001503549244
Adam22	0.686056194976465	NA
Adam23	-0.0517413707143577	0.664783703746769
Adam32	-0.0437505491450088	NA
Adam33	0.080761970725419	0.591957707194463
Adam3a	-0.06185206047354	0.722648415561802
Adam4	-0.0901904820793771	0.630827070711066
Adam6a	0.073749201851224	NA
Adam7	0.0560238344029953	0.746566562617244
Adam8	0.0245311146097711	0.867713030711454
Adam9	-0.0471410531568983	NA
Adamts1	0.00201806558763629	0.999326198958169
Adamts10	0.0436661864237706	0.790035220865154
Adamts12	-0.272008037504357	0.186181729303038
Adamts15	-0.125180147906709	0.581239669094008
Adamts16	-0.259019616980454	0.0780856370940913
Adamts19	0.12683392044708	NA
Adamts4	-0.663303487043613	0.0124806485659664
Adamts5	-0.288232735907991	0.0863224863311647
