ID	contralateral.osteoarthritis.inductionvssham.surgery_logFC	contralateral.osteoarthritis.inductionvssham.surgery_padjFilter
A1bg	0.0452464889364634	NA
A1cf	-0.105692691152547	0.344985958443645
A2ml1	-0.0450741788895188	NA
A3galt2	-0.0545462382649458	0.817680021160157
A4galt	-0.0752634768040261	NA
Aaas	-0.0277794506813827	0.921434519876595
Aacs	-0.159789072539941	0.225063833544096
Aadac	-0.106780687618967	NA
Aadat	0.0175041247202161	NA
Aagab	-0.0320283046465075	0.849649973747409
Aak1	0.0134793823460946	0.944239277692513
Aamdc	-0.00346007135144077	0.988228897833379
Aamp	-0.0874116311294904	0.705802561810099
Aanat	0.0532090252583615	NA
Aar2	-0.0599849968698116	0.587771640607094
Aard	0.0789572889928971	0.872009709191889
Aars	-0.235458686931398	0.120641629468339
Aars2	-0.110707462415045	NA
Aarsd1	0.0801070156705848	0.678772906164858
Aasdh	0.0461674637221812	0.7563315307997
Aasdhppt	-0.000366964855587071	0.997218568516678
Aass	0.452241147436937	0.54895421545512
Aatf	-0.0856064708525732	0.592131428972127
Aatk	0.15179339723531	NA
Abat	0.0200906036820561	NA
Abca1	0.0482762733169366	0.817581564461195
Abca2	-0.0186044347441889	0.913821255067028
Abca3	0.0752499227322385	0.53403948022197
Abca4	0.178371676771347	NA
Abca5	0.0738862596332552	0.707345592313215
Abca7	-0.0520231619524116	0.910481423866248
Abca8	0.146653457613323	NA
Abca8a	0.369379125288457	0.172081315535188
Abcb10	-0.0840322712135757	0.609350592853471
Abcb11	-0.0549512553971443	NA
Abcb1a	-0.00540090095794454	NA
Abcb4	-0.0275475901494486	0.889510221561851
Abcb6	0.0373365637416061	0.854503730073566
Abcb8	-0.0124598086555965	0.948394709474105
Abcb9	0.197444419186437	NA
Abcc1	-0.148224416179708	0.225389539962657
Abcc10	0.0025296236297363	0.990761722054658
Abcc2	-0.0453921805470205	NA
Abcc3	-0.0423313296471948	NA
Abcc4	-0.134270972200513	0.404450886026424
Abcc5	0.0449793083740087	0.740766838004218
Abcc6	-0.0461137676151973	0.770108667072577
Abcc8	0.184505456904819	NA
Abcc9	0.114039217635635	0.630579481369774
Abcd1	-0.0659669512688446	0.652852461934698
Abcd2	0.0154439792175607	NA
Abcd3	-0.103136177557777	0.58301936863119
Abcd4	-0.0304238741491716	0.911862291943255
Abce1	0.135072265500389	0.6098034778172
Abcf1	0.000720432981031749	0.996815120621561
Abcf2	0.0346853234565589	0.830717674911037
Abcf3	-0.0136028271646396	0.924257244333589
Abcg1	-0.0109274309579321	NA
Abcg2	-0.0742330772337656	0.560837536683007
Abcg3l1	-0.218466324325092	0.164016867152381
Abcg4	-0.113692861535021	0.445686103439339
Abcg5	0.0378925970693036	NA
Abcg8	-0.0269934857288732	NA
Abhd1	-0.0221121245571521	0.908639599708786
Abhd10	0.0689569356840849	0.839535486672444
Abhd11	-0.171379146564166	0.219907323195435
Abhd11-as1	0.0867791770973341	NA
Abhd12	0.127495233989265	0.3847082919705
Abhd13	0.0196691405404401	0.937474155574332
Abhd14a	-0.0480725337165184	0.822302673972886
Abhd14b	-0.0652015735359193	0.723114106314703
Abhd15	-0.0103725732830844	NA
Abhd16a	0.133637268463879	0.582079409609215
Abhd17a	0.00391879751190949	0.989791596996549
Abhd17b	0.00208257355811625	NA
Abhd17c	-0.256338112971218	0.132329189217754
Abhd18	0.0534327863031816	0.822208691157506
Abhd2	-0.688715524340957	0.0831004250855423
Abhd3	0.0889860373964124	NA
Abhd4	0.0611112679881813	0.751041680474736
Abhd5	0.0410702863101049	0.803975526313708
Abhd6	0.0279452300660701	0.900755714969122
Abhd8	-0.0594347752678717	0.811354391819057
Abi1	-0.1414865183252	0.209351742742324
Abi2	-0.0607604181299344	0.749965148255718
Abi3	0.106213087226854	0.38685398328505
Abi3bp	-0.0429752967803729	0.739217445049039
Abitram	0.105867230277249	0.4651668163145
Abl2	-0.14706452656351	0.467523485226036
Ablim1	-0.122221107185715	NA
Ablim2	-0.0137573769789396	NA
Ablim3	0.00099663909486658	NA
Abo	-0.0718660364096939	0.737697428211873
Abo3	0.0652841980794161	NA
Abr	-0.137702834149263	0.300784837758327
Abra	-0.0148393945842527	0.957028535544911
Abracl	0.0364716323352088	0.904532354017994
Abraxas1	-0.123145742919853	0.354555463122379
Abraxas2	0.0615141455285695	0.717584916889747
Abt1	0.0582820072471506	0.709480798771399
Abtb1	-0.156415663601628	0.448515632118152
Abtb2	0.021093982327228	0.93084892244213
Acaa2	0.166502919475223	0.508290286423689
Acaca	-0.0345656151395666	0.834899067052388
Acacb	-0.0188608068014391	NA
Acad10	-0.142352813856798	0.288922884467094
Acad11	-0.0890644793016193	0.647572490451
Acad8	0.144691341509175	0.168280506858444
Acad9	-0.190683712876666	0.36267290933989
Acadl	-0.221067715050047	0.151763170989581
Acadm	0.0351481478831026	0.823515143362725
Acads	-0.0551586347682989	0.707168407716839
Acadsb	-0.0460517001465011	0.809431632940208
Acadvl	-0.0135185475928239	0.93617158289152
Acan	-0.0206817270611541	0.92177619845928
Acap1	0.00822993091997049	NA
Acap3	0.00257166042901869	0.988808956576253
Acat1	-0.100731898956017	0.711913747545122
Acat2	-0.464258525446493	0.0700746656866088
Acbd3	-0.00229150715872706	0.996815120621561
Acbd4	-0.0379866854564428	0.747657659129653
Acbd5	-0.0255291292526678	0.870279508971738
Acbd6	-0.00757179235448291	0.971533337310984
Accs	0.0831245967841774	0.577631097533855
Acd	-0.0619789842856324	0.843903375655477
Acer1	-0.0934903777678482	0.490063168196216
Acer2	-0.145445111363957	0.152492327487555
Acer3	0.120576950404601	0.460026078326144
Acin1	0.111189669440131	0.375106480423764
Ackr2	-0.17581275949058	0.445523327602759
Ackr3	0.233756147544431	0.279887846787728
Ackr4	0.171693168935799	0.705694415388923
Acly	0.175633861077186	0.166232851318759
Acmsd	-0.039380248672555	NA
Aco1	-0.321253556876286	0.136965078860716
Aco2	0.228578091270018	0.111270107373003
