ID	ipsilateral.osteoarthritic.inductionvssham.surgery_logFC	ipsilateral.osteoarthritic.inductionvssham.surgery_padjFilter
A1bg	0.069916226227754	NA
A1cf	-0.141181150480314	0.278492362467215
A2ml1	0.0611356390008746	NA
A3galt2	0.533297031191545	0.0235642011017462
A4galt	-0.126414902528284	NA
Aaas	-0.0406169656886348	0.891849170818681
Aacs	-0.129275434675665	0.4226706528745
Aadac	-0.0325945982100873	NA
Aadat	-0.0579481308051912	NA
Aagab	0.198548948407424	0.184367310602969
Aak1	0.0305272834937238	0.871344233340014
Aamdc	-0.226742726131967	0.20112831347414
Aamp	-0.0533890207606404	0.854272631749794
Aanat	0.166738813797322	0.250425713345173
Aar2	-0.0338324624091548	0.815778677492654
Aard	0.0712616540310096	0.903958875038701
Aars	-0.15356220012155	0.397967209591973
Aars2	0.00750782839496988	0.970865552149269
Aarsd1	-0.0323320662659015	0.903247970807837
Aasdh	0.128051322864165	0.369562483837021
Aasdhppt	-0.0726544638228717	0.693462230320479
Aass	0.0516627828207969	0.965458935571804
Aatf	-0.185156432456687	0.276810439000647
Aatk	-0.0403945386491671	0.860608048828395
Abat	0.0782555147245221	0.670377088099166
Abca1	-0.242900444751665	0.196775309807054
Abca2	0.131518991440656	0.351649045906748
Abca3	0.140275685331334	0.295853824769658
Abca4	0.126145888916745	NA
Abca5	-0.247997885777783	0.19373485166911
Abca7	0.286909148714691	0.460986949865736
Abca8	0.0770130812519421	NA
Abca8a	-0.0569380188790412	0.894943094952174
Abcb10	-0.134600158410575	0.456522452281566
Abcb11	-0.127479863171214	NA
Abcb1a	0.0852973241215462	NA
Abcb4	0.0136582592882224	0.953606306349989
Abcb6	0.0265472106455196	0.914617355638704
Abcb8	7.66766320152712e-05	0.999538780044472
Abcb9	0.0876727146653549	0.582920868404441
Abcc1	-0.29943217975997	0.0469086945238661
Abcc10	0.0364079992126394	0.876500340632296
Abcc2	-0.0810089225214226	0.589954999895346
Abcc3	0.0415469300748974	0.810748828294011
Abcc4	-0.102592101264789	0.610311122622292
Abcc5	0.0548171942708837	0.713619784846734
Abcc6	0.0300294440261588	0.87683863901871
Abcc8	0.150915975460658	NA
Abcc9	0.216926625102095	0.39266522444532
Abcd1	-0.0849731794975455	0.604370474652645
Abcd2	0.0717337261882784	NA
Abcd3	-0.0880633954170769	0.70182887678212
Abcd4	-0.0216211541763442	0.944389614944412
Abce1	0.374811740904262	0.175077659081949
Abcf1	-0.00146953338840028	0.995145290616727
Abcf2	0.0392850346691294	0.832014979083334
Abcf3	0.00911370688590729	0.954001346211035
Abcg1	-0.131454750938502	0.322013347304355
Abcg2	-0.053842833654338	0.738574629312435
Abcg3l1	-0.326029354336324	0.0802297023337425
