ID	osteoarthritisvsHealthy.control_logFC	osteoarthritisvsHealthy.control_padjFilter
A1BG	-0.0362970786271335	NA
A1BG-AS1	-0.298782413785267	NA
A1CF	-0.0221290663990863	NA
A2M	-0.180385988698395	0.283463639251102
A2M-AS1	0.160638195753409	0.646425273563763
A2ML1	-0.146569870303199	NA
A2MP1	-0.469294463919861	NA
A4GALT	-0.183380573224324	0.373693521042281
A4GNT	0.0197419004809851	NA
AA06	0.00292391923683688	NA
AAAS	-0.00903596155639441	0.950841826839276
AACS	0.187696377526131	0.470768686104036
AACSP1	-0.0718392232551879	NA
AADAC	-0.422065789129827	NA
AADACL2	0.140345732553555	NA
AADACP1	0.136601584642225	NA
AADAT	0.14547803963789	NA
AAGAB	0.0968155856483088	0.624068633610969
AAK1	-0.0717402654446051	NA
AAMDC	-0.284758892195284	0.279392524784935
AAMP	-0.0416036374987474	0.842859722337
AANAT	0.047945367534497	NA
AAR2	0.148863864247694	0.369304551944837
AARS1	-0.0728865740714006	0.713397108291837
AARS2	0.145441411072325	0.277542127260459
AASDH	0.0663588232384411	0.708557992842943
AASDHPPT	0.898256663381492	0.0240431673481717
AASS	-0.0466325112857255	NA
AATBC	-0.279604530996083	NA
AATF	0.160436390576857	0.376145848718679
AATK	-0.0918096447317254	0.664683688695505
ABAT	0.181970742793229	0.27139944286145
ABCA1	-0.0279944366819587	0.930995213100238
ABCA11P	-0.0265448728445907	0.94344287371221
ABCA12	-0.0751690002330925	NA
ABCA13	0.0752619472829688	NA
ABCA17P	0.290354459495046	NA
ABCA2	-0.194741935282237	NA
ABCA3	0.144273297124393	0.482538832406816
ABCA4	0.103268518708051	NA
ABCA5	-0.596127523096648	0.0240431673481717
ABCA6	-0.124267785452289	0.833272028217575
ABCA7	-0.0666114981198751	0.868617918738091
ABCA8	-0.0416765964164592	NA
ABCA9	-0.344226840523885	NA
ABCB1	-0.122440362471336	NA
ABCB10	-0.117497424088944	0.60891940778823
ABCB11	-0.133193313795047	NA
ABCB4	-0.159456935189759	NA
ABCB5	0.205916454321271	NA
ABCB6	-0.155929555847671	0.518558165107022
ABCB7	-0.484276824398938	0.111195707980038
ABCB8	-0.0164343528959749	NA
ABCB9	-0.119906355592839	NA
ABCC1	0.184341608510592	0.245446090424017
ABCC10	0.445371224200674	0.0519439162334461
ABCC11	-0.20174663534231	NA
ABCC12	-0.0866734137606815	NA
ABCC13	-0.0576122729280284	NA
