gene_name	Day14vsControl_log2FoldChange	Day14vsControl_padj
	0.120751197949266	0.971775776325487
TTC38	-0.373232783887361	0.0232612749147254
CDPF1	-0.207469301897849	0.370019371743831
PPARA	-1.16374024413374	1.20942947576803e-05
TRMU	-0.181900078270533	0.396508137658221
FBLN1	-2.0933945125027	2.10090205763054e-05
FAM118A	-0.154327084013558	0.472700623360594
KIAA0930	-0.690029284285855	0.000193229635677685
NUP50	0.154294445786902	0.0200240206577831
PHF21B	-1.45954794939238	0.010063839095644
	-0.283338094646763	0.623098384670365
RTL6	-1.31784868543166	0.00180472915449826
PARVB	-0.637763012441761	0.0310864994563667
PARVG	-0.185392505070537	0.539627431133204
SULT4A1	-0.000296310086355483	NA
	0.390518861320828	0.69452621753443
SCUBE1	-1.16609982833241	0.0048988426259037
MCAT	-0.0602538146338174	0.863731961097859
TSPO	-1.34605057813052	3.71268843746139e-05
TTLL12	-0.714059869296497	0.00235990106535975
TTLL1	0.421533472060177	0.00681695607055361
PACSIN2	-0.26877883072066	0.0269610020019837
ARFGAP3	0.289661676710198	0.000989974484281957
CYB5R3	-0.741556660539668	0.00118451585563747
POLDIP3	0.096354981066588	0.181359009679473
SEPT3	0.657968563238384	0.00206866853808374
NDUFA6	0.0908132445617076	0.691571584537666
CYP2D25	0.312906462054113	0.665603403981819
NAGA	-0.594117218956863	0.0148566213320388
C22orf46	NA	NA
SNU13	-0.0362623190172069	0.776414243900344
XRCC6	0.257428847199875	0.0721115918113895
PMM1	-0.380044583395843	0.102320640495528
CSDC2	-0.922201281130172	0.0679691416190447
POLR3H	-0.506192667291437	0.0568750121885705
ACO2	-0.678054457417801	0.000370877216932489
L3MBTL2	-0.190636785035557	0.157740471689387
CHADL	-1.44913133056344	0.0128518939794923
EP300	-0.24787122640165	0.186264637087513
	-0.199758369555445	0.250275518070395
SLC25A17	0.13325059497611	0.608500043145503
	-0.223055067974172	NA
MCHR1	2.52462004485114	8.33189387338695e-11
MRTFA	-0.419201944505778	0.148833537618724
SGSM3	-0.220831444590744	0.536896088840666
ADSL	-0.0464642740259803	0.76206631257011
TNRC6B	0.151908886945784	0.403994123861924
FAM83F	0.751625779402019	0.0596188718452355
GRAP2	-0.332136457356556	0.41590320751691
	0.034958246918339	0.8451508124762
CACNA1I	-1.12704632626914	0.0910659003144111
RPS19BP1	-0.59276101166204	0.0146338506675109
ATF4	0.294687588227112	0.0367703938214397
TAB1	-0.638663144280173	0.0109038369038437
	-0.325516368416666	0.104012560729498
CBX7	-1.86298199069226	5.52901057965459e-07
APOBEC3B	0.406208251717248	0.173653890234583
NPTXR	-0.948681964621602	9.54617545102157e-05
DNAL4	-0.618540341105348	0.000171393274691185
SUN2	-1.09365239657785	6.31552872102916e-09
GTPBP1	-0.193060284328008	0.134933922699773
	0.302198147291295	0.0041007880900102
DMC1	0.183509100404784	0.793654862986281
DDX17	0.309865320753206	0.00588392530498571
KDELR3	1.19241603568266	4.21500350714197e-08
KCNJ4	0.0305442727209714	NA
	-0.0616348078685898	0.646143605379787
TMEM184B	-0.0514218155380783	0.866507551469138
PLA2G6	-0.371271485085155	0.259525579727427
BAIAP2L2	-0.172842486092566	0.722587599368163
SLC16A8	-1.27617035077229	0.054171529219341
PICK1	-0.826516656099892	0.00013585644427402
POLR2F	-0.717904032054668	0.00120484258484074
C22orf23	0.129008240446802	0.697559693294518
MICALL1	-0.155466643836464	0.650477056764349
EIF3L	-0.105511476937304	0.517352021852585
ANKRD54	-0.281228947564946	0.0435685841995153
GALR3	-0.0818120459323419	0.93892721550457
CYTH4	-0.374900771186643	0.26237912137116
ELFN2	-0.0380530155020554	NA
TEX33	-0.861470434405833	6.85690382318924e-14
TST	-1.60144575522339	0.000329470180853702
KCTD17	-0.10600091464236	0.720160963995054
CSF2RB	0.0527706129218483	0.977116833617792
NCF4	-0.235429914996386	0.380763379453414
PVALB	-0.378415016613209	0.555980972099897
IFT27	0.113093678561861	0.676365840513919
EIF3D	0.0785537462045256	0.567855486318438
FOXRED2	-0.532572026835619	0.0195185692904143
TXN2	-0.201317409043888	0.0822316523976032
MYH9	0.15136657865821	0.621070158073371
MYH11	-0.0415549924112714	0.964571524836393
	0.0826135445660384	0.789987085471673
	-2.98613840337312	1.42305697763533e-06
RBFOX2	0.27282420722065	0.0966476012677957
FBXO7	-0.0317227610506941	0.942244522301102
BPIFC	0.0558417878483687	0.97321111692253
RTCB	0.677846655353147	1.3638308557548e-09
ASCL4	NA	NA
PRDM4	0.334127960656415	0.00501274711043531
PWP1	0.18189364737888	0.0297605067745725
BTBD11	-0.61806928663581	0.0561585182032802
CRY1	0.186516045480017	0.450336567897701
RIC8B	0.0987330996055614	0.525723978094904
