gene_name	synovitisvsControl_log2FoldChange	synovitisvsControl_padj
	1.41438711032449	0.0271409795769995
TTC38	-0.110059952837776	0.696610131756266
CDPF1	0.661451377642934	0.309288344829649
PPARA	-0.186149059879851	0.729862381104207
TRMU	0.113307282308956	0.78046545239561
FBLN1	-1.08558164617504	0.0295194808276366
FAM118A	0.388835819372892	0.211381109750145
KIAA0930	0.666214918872425	0.0384119052170865
NUP50	0.154403923406621	0.24552844558179
PHF21B	0.544424454230766	0.606151283037304
	-0.393644695492549	0.487256136453097
RTL6	1.24499445685305	0.0924207793088743
PARVB	0.608514641830619	0.0977656278271319
PARVG	1.30447634083095	0.00325564157496618
SULT4A1	0.0598240024973853	NA
	-0.0406067292342214	NA
SCUBE1	1.30536433725626	0.0283750618168063
MCAT	0.231413378671603	0.766947749357945
TSPO	0.987494374480481	0.126197239628746
TTLL12	0.358286775986205	0.42126675495042
TTLL1	0.714634824933801	0.0416959111672152
PACSIN2	0.177360166071952	0.435323333588128
ARFGAP3	0.141893803515064	0.306130196868073
CYB5R3	0.60086593365452	0.329281127210879
POLDIP3	0.10310768053735	0.784610618672736
SEPT3	0.145037110626263	0.653106825489676
NDUFA6	-0.0903888923874895	0.634451233090772
CYP2D25	1.15021773646762	0.108370563988
NAGA	1.27826728418559	0.0202158345465641
C22orf46	NA	NA
SNU13	-0.155438612346273	0.41604787318774
XRCC6	0.0877722942062539	0.52500282072064
PMM1	0.466128280208271	0.397691964523228
CSDC2	-0.162153197332197	0.846515153577322
POLR3H	0.409490024697396	0.465784197091319
ACO2	0.667919220449239	0.248739240896308
L3MBTL2	0.597077474643984	0.0767827296531761
CHADL	0.271614486478962	0.925140416715601
EP300	0.179729520719284	0.401547740880822
	-0.627801478778251	0.00287197138150819
SLC25A17	-0.370632267962066	0.196665852014031
	-0.281172367767203	0.717212843488226
MCHR1	1.3557341143455	0.0190294347237192
MRTFA	0.516207937327685	0.325847185540044
SGSM3	1.01672429354605	0.083200051289828
ADSL	-0.282747889555082	0.207266873438686
TNRC6B	0.301755361038038	0.139774824201667
FAM83F	0.111718793569619	0.871167697234399
GRAP2	-0.305440125767133	0.461391937720682
	-0.227667233390995	0.683853929114509
CACNA1I	0.407217288322352	0.644882655727166
RPS19BP1	0.948315329752917	0.114125854394126
ATF4	0.194689063391302	0.562091718361149
TAB1	0.608921662669631	0.179971289386498
	0.606414222514611	0.212226143877254
CBX7	-0.0660616943358431	0.961665131137781
APOBEC3B	-0.253331706573986	0.403724242293689
NPTXR	-0.0366548200663157	0.914312039427898
DNAL4	0.415200547235995	0.429311198295815
SUN2	0.413838352030237	0.457906351388716
GTPBP1	0.311492654932614	0.492641262546578
	0.0333674189060863	0.837046519970846
DMC1	0.13622386406208	0.830675985273735
DDX17	-0.536024008176247	0.0162210224965593
KDELR3	0.232655612964581	0.461503499404788
KCNJ4	0.0601786290688722	NA
	0.552606555082571	0.234545481626481
TMEM184B	0.393613181882658	0.357151013862249
PLA2G6	0.597111643555577	0.357046407557981
BAIAP2L2	0.241683475963135	NA
SLC16A8	-0.00844054601903299	NA
PICK1	-0.00277580421632205	0.971331933959433
POLR2F	0.502207631247893	0.436444372573826
C22orf23	0.0652168425297069	0.909405497963781
MICALL1	1.17091137983849	0.0341903872558245
EIF3L	-0.0982245791453213	0.575114779072638
ANKRD54	0.0201371362631261	0.941316466770958
GALR3	0.0771173551588956	NA
CYTH4	1.02345211655669	0.0788488767782245
ELFN2	0.0595480391798605	NA
TEX33	-0.0187754395045236	NA
TST	0.275447371678456	0.660201678347255
KCTD17	0.398173808565935	0.551260932107207
CSF2RB	1.14151618747225	0.00268035067839948
NCF4	1.48681411888367	0.00236264971759051
PVALB	0.20539549085931	0.80356702540088
IFT27	-0.0355880676879553	0.930423334180017
EIF3D	0.544791385675067	0.287801931736086
FOXRED2	-0.269163821680508	0.463052227012403
TXN2	0.375148335330531	0.353875583908254
MYH9	0.507081293546834	0.212241392616713
MYH11	-0.23914954977356	0.671309035854856
	-0.331267265171535	0.509812981695206
	-0.941615190830471	0.22076341505246
RBFOX2	-0.106684883934348	0.634418579005226
FBXO7	-0.280114464956367	0.192107480971831
BPIFC	-0.688891300292827	0.0465851550553616
RTCB	0.433658985773071	0.0622943066975347
ASCL4	NA	NA
PRDM4	0.115280672337857	0.583294321453508
PWP1	0.122286936221584	0.550247405464595
BTBD11	-0.565357216007722	0.0949885195966253
CRY1	0.53116195611884	0.143278650569227
RIC8B	0.0759885592286541	0.788427557171323
POLR3B	0.0659840519154885	0.768264386005575
CKAP4	1.23052368452015	5.37849638624081e-06
TEX49	0.086522232084095	NA
ADCY6	0.722104343997427	0.256754818141341
DDX23	0.44145172230382	0.241608563384331
CCDC65	-0.486746906565293	0.0494482575445443
FKBP11	0.782370133211767	0.00664543923470667
WNT10B	-0.679758996878163	0.0827845073196485
WNT1	NA	NA
DDN	NA	NA
PRKAG1	-0.179450898579035	0.308952561671606
RHEBL1	0.00659610870535141	0.977647745243535
DHH	-0.148187364623197	0.927682236451175
LMBR1L	0.350623595124428	0.521235663954912
TUBA1B	0.470532116031655	0.173557883612563
	1.02672988908523	0.0583547497050255
	-0.116845413825548	0.884112537633719
PRPH	-0.33415738896502	0.315736127959431
C1QL4	0.458699919799061	NA
DNAJC22	0	NA
	0.237960927544739	0.277160535363689
MCRS1	0.945774732338219	0.0706555881314611
KCNH3	0.394097208090826	0.670133937540563
PRPF40B	0.280338662057072	0.657333069381958
FAM186B	-0.50569324873466	0.200171348882513
FAIM2	-2.73021227789157	5.52192937768562e-07
	-0.345659296999953	0.506918196714702
NCKAP5L	0.414632845694135	0.55948968148808
AQP5	0.366125464226968	0.685156943835306
AQP6	0.349331833406697	0.667578065460673
GPD1	-1.29727520094713	0.0999177556691862
SMARCD1	0.184235134693635	0.560280709566728
ASIC1	0.0230023887816543	0.996822509519465
	1.1022313508303	0.00264439812808896
	-0.355615051421834	0.529617772141208
BIN2	1.161674416003	0.00884341647761288
SCN8A	1.12398703810621	0.00639212907203204
ANKRD33	-0.161266681279259	NA
ACVRL1	0.55560832746601	0.182006218818457
ACVR1B	0.861840413629813	8.62182828768185e-05
GRASP	0.794491282883221	0.130274390603294
KRT82	NA	NA
KRT75	NA	NA
	-0.0486217802829893	NA
	-0.0144756030154686	NA
KRT85	0.023815262161189	NA
KRT84	-0.263779353631867	NA
	1.28338013380773	1.32743304733327e-31
KRT71	NA	NA
KRT5	1.28787852980615	0.0115193538240269
KRT72	NA	NA
KRT73	NA	NA
KRT1	NA	NA
KRT8	-0.36459713836113	0.330254747555191
KRT18	-0.311896517618275	0.613450697701986
ITGB7	0.868534602744759	0.114574129361833
RARG	0.757385380348042	0.0971227452954672
CSAD	-0.14540586075371	0.731355916456715
SOAT2	0.40216140231373	0.477921942071877
IGFBP6	0.964760641179433	0.137458397133022
SPRYD3	0.423329452790914	0.386217555174943
TNS2	0.202082823650531	0.781146964219417
MFSD5	0.695320785370161	0.11425864292967
ESPL1	1.95992367995765	0.000175202269140119
C12orf10	-0.12787819087117	0.543025800573663
AAAS	0.558562312958256	0.0231886314764328
AMHR2	0.615080994193868	0.42912913263929
SP1	-0.0612302156078264	0.840397184629976
	0.00208485780425719	0.995035294832367
PCBP2	-0.255893318473917	0.124137054704371
MAP3K12	0.315009546781824	0.264396665614532
TARBP2	1.30904434273708	0.0243113863926162
NPFF	0.279133333309906	0.876749672587513
	-0.0691901084862375	0.680744391436254
HOXC13	0	NA
HOXC12	NA	NA
