gene_name	synovitis_with_corticosteroidvsControl_log2FoldChange	synovitis_with_corticosteroidvsControl_padj
	1.35935483903756	0.0181168362061356
TTC38	0.15549868585875	0.5256425626318
CDPF1	1.00617721797102	0.062154368200184
PPARA	-0.168738667175108	0.713303567330718
TRMU	0.461825350958667	0.0906564752810526
FBLN1	0.00904568920687681	0.955147445500799
FAM118A	0.622488916080847	0.0177244700124049
KIAA0930	0.790336758049649	0.00615313261381367
NUP50	0.123325176261004	0.296715185004694
PHF21B	0.822913329541805	0.284398833927209
	-0.588853009645619	0.293732299297214
RTL6	1.58413898199362	0.00717175996627855
PARVB	0.800388990099514	0.0131440877306249
PARVG	1.23616810303066	0.0031243957069688
SULT4A1	0	NA
	0.177106282214015	NA
SCUBE1	1.19232168534555	0.0242906082033324
MCAT	0.576470356953393	0.298261139338332
TSPO	1.58129520808752	0.00714354743140789
TTLL12	0.626944572689142	0.0819247688119492
TTLL1	0.997993920901163	0.0011483784060986
PACSIN2	0.167268807176206	0.398512804516535
ARFGAP3	-0.0248330624999601	0.864647264488194
CYB5R3	0.949833916732544	0.0637094708310129
POLDIP3	0.335717761694861	0.203399330322233
SEPT3	-0.0771876602735694	0.794334741711467
NDUFA6	0.0449193689179783	0.798559779889401
CYP2D25	1.768434531821	0.00395717313537928
NAGA	1.43383349436008	0.00464270041062625
C22orf46	NA	NA
SNU13	-0.0531286749627302	0.776053291572648
XRCC6	0.0804864422709291	0.503012493205191
PMM1	0.792442537426165	0.0702892281154812
CSDC2	0.215979115811972	0.741565566151242
POLR3H	0.901800936749014	0.0432424563484582
ACO2	1.012426012024	0.040089474466604
L3MBTL2	0.84268869156525	0.00430990566280144
CHADL	0.794758914928899	0.397891987990864
EP300	-0.151981811237113	0.413964847731451
	-0.672842998348441	0.000629243347038975
SLC25A17	-0.279210653827294	0.279567651120282
	-0.424312914409793	0.475466264742635
MCHR1	1.97274300198743	0.000183770685158893
MRTFA	0.666092813713488	0.126532489652339
SGSM3	1.29336883498766	0.0106774025419813
ADSL	0.10909492538444	0.624061403094881
TNRC6B	0.187680613730529	0.320853099119854
FAM83F	-0.371237155081206	0.433479114137368
GRAP2	-0.122919059923235	0.744321575473843
	0.185703814268826	0.775272814395275
CACNA1I	1.15390290041008	0.0716920212612629
RPS19BP1	1.37243894064571	0.0096740200980128
ATF4	0.462391422754535	0.0749911008179983
TAB1	0.964164674657446	0.0115666706920528
	0.873984148201351	0.0323754905804985
CBX7	0.0170184745013377	0.989126459060411
APOBEC3B	-0.325777535254626	0.207489208553593
NPTXR	0.752480669392579	0.106453996685699
DNAL4	0.612363283503276	0.146152840502838
SUN2	0.673956992574977	0.132080685148164
GTPBP1	0.623853011403086	0.0771255679484644
	0.193432433117323	0.0857065729350546
DMC1	-0.155280894888959	0.931732823579365
DDX17	-0.650535792632887	0.00126550057434113
KDELR3	0.189552206924116	0.501571163791788
KCNJ4	0	NA
	0.655623589535217	0.0989795490645367
TMEM184B	0.539663942976698	0.124867414361406
PLA2G6	1.21130505529626	0.0196010578658281
BAIAP2L2	0.140159016736746	0.929231285622558
SLC16A8	0.340573613481425	NA
PICK1	0.328122798116177	0.424344289209295
POLR2F	1.06355646449655	0.0417951208391629
C22orf23	-0.324532126859177	0.346306054264989
MICALL1	1.39609776660049	0.00489168987170005
EIF3L	-0.0169358332972296	0.917221438626037
ANKRD54	0.102324330655736	0.583333668012063
GALR3	0.0198602735596107	NA
CYTH4	1.26052886144947	0.016411596576621
ELFN2	0.0826903780001305	NA
TEX33	-0.0407787021012546	NA
TST	0.520485381762505	0.294337566162202
KCTD17	0.725597887283238	0.138185946236021
CSF2RB	0.716278639957688	0.0497556138781418
NCF4	1.78206887925989	8.88243504432191e-05
PVALB	-0.473405384321844	0.532033592418753
IFT27	-0.153612695832464	0.705318639045502
EIF3D	0.986467688998674	0.0184876979625182
FOXRED2	1.04206574008603	0.00032953808291896
TXN2	0.922755667773269	0.00463388761467797
MYH9	0.389521236609203	0.284571599228566
MYH11	-0.0833851438766075	0.900300833471743
	-0.0235574612810285	0.934919960918779
	-0.334892266329063	0.832965644823884
RBFOX2	-0.00311012820703127	0.98366684585026
FBXO7	-0.048411678840986	0.823755131558353
BPIFC	-0.344434793534657	0.289341511161415
RTCB	0.590816912847925	0.00390247722851521
ASCL4	NA	NA
PRDM4	0.209660416303263	0.211040678511142
PWP1	-0.0414261771135318	0.845486378633189
BTBD11	-1.51034616488799	1.16045135956213e-07
CRY1	0.279251047282079	0.373572581752951
RIC8B	-0.33530067722378	0.15213425200429
POLR3B	0.0170771826968994	0.924177996667558
CKAP4	1.06696631366714	5.99294219078028e-05
TEX49	0.0828948904607399	NA
ADCY6	0.829628760754631	0.106707115338988
DDX23	0.420249812148328	0.199543524014776
CCDC65	-0.39409113751564	0.0852126444238914
FKBP11	1.08905060607478	2.74734724701562e-05
WNT10B	0.184602829028642	0.641640572915274
WNT1	NA	NA
DDN	NA	NA
PRKAG1	-0.297367763861069	0.0425487072669591
RHEBL1	0.133878358352186	0.820405292694792
DHH	-0.416845068642429	0.596760798384653
LMBR1L	0.817011468039647	0.0499726710721353
TUBA1B	0.568539625935426	0.0558823255291199
	0.890914590282666	0.0634521406192411
	-0.0875790358146486	0.935211476977603
PRPH	-0.441340290889838	0.13503065193942
C1QL4	0.270910235174489	NA
DNAJC22	0.229742921043705	NA
	0.0478165643013861	0.822770164344949
MCRS1	1.24588029565495	0.00628037670317594
KCNH3	-0.0274554368229094	0.843028399878008
PRPF40B	0.507287631405352	0.265218642901886
FAM186B	-0.352740623052985	0.327126104041824
FAIM2	-3.67940987719381	9.08867841845409e-12
	-0.0348399173771705	0.947585451594749
NCKAP5L	0.468785685176032	0.414180781542194
AQP5	0.925278546377648	0.151698740461782
AQP6	0.196276892925629	0.789901651088962
GPD1	-0.889372486067436	0.305383394137972
SMARCD1	0.307997432505574	0.218908050077067
ASIC1	-0.010414939565196	0.970902431644141
	0.309145246691183	0.381320162896233
	-0.641604083890799	0.156578651406457
BIN2	0.700346292305175	0.0970545371317268
SCN8A	1.02183557086234	0.00838482343309891
ANKRD33	-0.102020719865333	NA
ACVRL1	0.672890631852407	0.061341719333304
ACVR1B	1.44073936805653	4.73290731936319e-13
GRASP	0.821847285578039	0.0707650057378375
KRT82	NA	NA
KRT75	NA	NA
	0.155323437678401	NA
	0.260906621354298	NA
KRT85	0.0826726744374539	NA
KRT84	0.11091421339403	NA
	0.795068922532232	2.84886197661548e-21
KRT71	NA	NA
KRT5	0.483626929894401	0.358417277991425
KRT72	NA	NA
KRT73	NA	NA
KRT1	NA	NA
KRT8	0.00422634966809846	0.985393282738666
KRT18	0.0525319213221799	0.954418781744096
ITGB7	0.883274887558436	0.0595457976469388
RARG	0.909520657884152	0.0224630423912996
CSAD	-0.076527889968994	0.84175595777447
SOAT2	0.793162590635986	0.0651166633766079
IGFBP6	1.73398125637368	0.0015439883658272
SPRYD3	0.951105472987838	0.0139108303120157
TNS2	0.754928926061093	0.138837017217494
MFSD5	0.842630624176726	0.0278655523341104
ESPL1	1.48396566866299	0.00364085062808709
C12orf10	-0.00042203129845151	0.999014179028472
AAAS	0.595732699671309	0.00791284010219079
AMHR2	1.10426293804928	0.0680731939554753
SP1	-0.156582436353168	0.50486045424042
	0.00455193056776663	0.983217567334431
PCBP2	-0.352345261470475	0.0146815329147561
MAP3K12	0.0627637332604383	0.832602902693125
TARBP2	1.58413061034115	0.00270028358812049
NPFF	0.349061811773276	0.70630746457213
	-0.224782495124277	0.0731714370619756
HOXC13	0.155804415183925	NA
HOXC12	NA	NA
HNRNPA1	-0.151865790509271	0.290826522553408
NFE2	1.84184822133497	0.0170345658984441
COPZ1	0.297852984105075	0.00543116771428909
GPR84	0.736486542523303	0.215127316878802
ZNF385A	1.36140384385133	0.00627402974140435
ITGA5	1.84399614047463	1.24326148844961e-05
NCKAP1L	0.12047919097318	0.755122299011859
	NA	NA
PDE1B	0.454338808044299	0.226387531338357
PPP1R1A	-1.63911258696678	0.049302811278158
TESPA1	-0.257094881792831	0.309499830276013
	NA	NA
	NA	NA
	NA	NA
	NA	NA
	NA	NA
	NA	NA
	-0.0631316436583897	NA
BLOC1S1	1.22564277207911	0.0291106490374748
CD63	0.455188525302157	0.00526110796718994
RDH5	-0.431490113114367	0.857332335780368
GDF11	-0.185319839271839	0.558808592713253
SARNP	-0.127573500469748	0.618415258911865
	-0.148007590265758	0.513410936562554
DNAJC14	0.324648736517844	0.0532778743573562
	1.20668986867341	0.00645098374874943
MMP19	0.229103121320761	0.274374931293225
DGKA	-0.0955164827566522	0.659473247099172
PMEL	-0.841988065516222	0.113079324043578
CDK2	-0.188315757721473	0.366971927785352
RPS26	0.684182690925752	0.0201386711235297
SUOX	-0.0305440170195562	0.872491455014164
	0.338885348650665	0.0157162326915651
ESYT1	-0.142277336699069	0.50478323609057
SMARCC2	-0.194102239691812	0.0984578550873539
RNF41	0.295098247104274	0.0970545371317268
NABP2	0.0230843296908091	0.942385361487489
SLC39A5	0.422213140023868	0.503359636503502
ANKRD52	0.785928824853993	0.0264829936698441
PAN2	0.00771086051645835	0.967768310115022
	0.267967302511583	0.240865529048852
STAT2	-0.33080458715376	0.249456443865381
APOF	-0.877327585164701	0.135693179911633
TIMELESS	0.505177340238373	0.254584050440209
MIP	0.0462128647571	NA
GLS2	0.0468860847010311	0.926205295634104
RBMS2	-0.602793506921719	0.00764839663697081
BAZ2A	0.0148365671901257	0.934858061544501
	0.0193475360893046	0.907633280293331
	-0.354317636359938	0.191328566118741
NAB2	0.214014985400743	0.513778357227213
MYO1A	0.209658419023989	0.754426764561291
SDR9C7	-1.24258161846217	0.0679682817553487
TAC3	-0.0100601088901532	NA
RDH16	-0.147568354063357	0.99118720877469
LRP1	1.33512850957365	0.00945297541963685
MBD6	1.22638987724323	0.0203333000126074
B4GALNT1	0.753299277174704	0.118777141942555
ARHGEF25	0.535586146233145	0.16940842636928
PIP4K2C	-0.693775889363393	0.0548523551249332
ARHGAP9	0.285306580874969	0.457001412047358
KIF5A	-1.18611047874568	0.000379049679715091
INHBE	NA	NA
GLI1	0.563960517917746	0.393615435455644
DCTN2	-0.155525364846114	0.33027905983972
DTX3	0.399014661721504	0.226445446981203
ATP23	0.174560166259789	0.439730985671742
LRIG3	-1.27771603369581	7.2964328630368e-09
SLC16A7	0.374640844768421	0.156129343791915
USP15	-0.335792933971698	0.375418915253258
MON2	-0.0911188130717534	0.839034002811977
	NA	NA
RXYLT1	-0.0330625856279736	0.927757999679628
C12orf56	-0.293951042139969	0.633566843331707
XPOT	-0.00845441836765143	0.999705896345114
LEMD3	-0.630564435485966	0.0296651840077104
	-0.218729939637939	0.441322973958036
IRAK3	-0.061729254889102	0.938991625492637
HELB	0.133716831124989	0.657676377387975
GRIP1	-1.01458699597996	0.0060673480997224
IL22	NA	NA
	-0.810572414463227	0.00237286917949925
	-0.514368834205714	0.424916268165069
NUP107	-0.397951034614912	0.0819247688119492
SLC35E3	-0.26884610089229	0.24111548100764
MDM2	-0.154631621427075	0.594677424713951
LYZ	-0.291232317430273	0.672461973369055
FRS2	-0.381779211906135	0.160371504903444
CCT2	-0.0873817084697812	0.771377853013057
