gene_name	synovitis_with_corticosteroidvssynovitis_log2FoldChange	synovitis_with_corticosteroidvssynovitis_padj
	-0.0550322712869301	0.985741448662682
TTC38	0.265558638696525	0.50656846657969
CDPF1	0.344725840328084	0.746758565958709
PPARA	0.0174103927047428	0.986215117235254
TRMU	0.348518068649711	0.461878962167017
FBLN1	1.09462733538192	0.0898543390193808
FAM118A	0.233653096707955	0.649028270060222
KIAA0930	0.124121839177224	0.848041051989264
NUP50	-0.0310787471456164	0.905361995433059
PHF21B	0.278488875311039	0.817276527308861
	-0.19520831415307	0.91450793617387
RTL6	0.339144525140577	0.661485607374446
PARVB	0.191874348268895	0.781497518046287
PARVG	-0.0683082378002972	0.95002689223515
SULT4A1	-0.0502292168950406	NA
	0.217713011448236	NA
SCUBE1	-0.113042651910713	0.949034850730211
MCAT	0.34505697828179	0.742931075260188
TSPO	0.593800833607043	0.645969649431943
TTLL12	0.268657796702937	0.703363686306155
TTLL1	0.283359095967363	0.639907360557112
PACSIN2	-0.0100913588957456	0.983550943422276
ARFGAP3	-0.166726866015024	0.418157138973095
CYB5R3	0.348967983078024	0.739516970351584
POLDIP3	0.232610081157511	0.640093588157628
SEPT3	-0.222224770899832	0.640482166298298
NDUFA6	0.135308261305468	0.633665190695197
CYP2D25	0.618216795353381	0.537676158634274
NAGA	0.155566210174485	0.905120553077053
C22orf46	NA	NA
SNU13	0.102309937383542	0.750710912347472
XRCC6	-0.00728585193532474	0.979385476329024
PMM1	0.326314257217895	0.695229962965811
CSDC2	0.378132313144169	0.736496481193281
POLR3H	0.492310912051618	0.559951600244775
ACO2	0.344506791574765	0.738068862948126
L3MBTL2	0.245611216921266	0.676820195965417
CHADL	0.523144428449937	NA
EP300	-0.331711331956398	0.206127685000677
	-0.0450415195701903	0.92715151724434
SLC25A17	0.0914216141347723	0.869278656753752
	-0.14314054664259	0.903138213909391
MCHR1	0.617008887641929	0.553368154522412
MRTFA	0.149884876385803	0.869336060907297
SGSM3	0.276644541441609	0.781566860070736
ADSL	0.391842814939522	0.163615041703157
TNRC6B	-0.114074747307509	0.760013723055834
FAM83F	-0.482955948650825	0.561733781567109
GRAP2	0.182521065843898	0.801281536439158
	0.413371047659821	0.644567030941096
CACNA1I	0.74668561208773	0.49614861506811
RPS19BP1	0.424123610892791	0.702893042063163
ATF4	0.267702359363233	0.592763091373142
TAB1	0.355243011987816	0.629238127108332
	0.267569925686739	0.742858624675253
CBX7	0.0830801688371809	0.971810356370537
APOBEC3B	-0.07244582868064	0.904990018173087
NPTXR	0.789135489458894	0.249556026136047
