ID	osteoarthritisvsnormal_logFC	osteoarthritisvsnormal_padjFilter
A1BG	0.356025726041233	0.11823068908711
A1BG-AS1	-0.132143084499373	0.652726014198909
A1CF	-0.00875819955404111	NA
A2M	0.115885907223227	0.578802491405224
A2M-AS1	-0.205452832314828	0.441457968087534
A2ML1	-0.0570535749054546	NA
A2MP1	-0.220848484688788	0.619881355711701
A4GALT	0.229600927849107	0.642026863535961
A4GNT	0.0591664870772552	NA
AA06	-0.0114272100862411	NA
AAAS	-0.155946914320777	0.703772114972855
AACS	-0.0778347278688258	0.807909580595282
AACSP1	0.222977797053486	NA
AADAC	-0.0073300311560347	NA
AADACL2	0.143693871212941	NA
AADACL3	0.0614679780749317	0.7953949867432
AADACL4	-0.33625823865543	NA
AADACP1	-0.0818164618241788	0.835946747309698
AADAT	0.568896477862703	0.0694735541235088
AAGAB	0.193039708350858	0.858677371864918
AAK1	0.0688911239650913	0.752625260952698
AAMDC	0.0723616963936244	0.749345719678768
AAMP	-0.372939632041174	0.052198283745878
AANAT	-1.89545196705629	0.0655570068211187
AAR2	-0.00143498405524767	0.995530013666237
AARD	0.0933033302096726	NA
AARS1	-0.654815288287887	0.00242724625936149
AARS2	0.0281887892809163	0.915168498688064
AASDH	0.270002390189189	0.132650336183547
AASDHPPT	0.183144512348518	0.428475495390527
AASS	0.389158737032609	0.202262357635265
AATBC	-0.149726100331768	0.408875630008826
AATF	-0.628430079165641	0.0267222374399661
AATK	-0.265845656392979	0.166849900494302
ABAT	0.134380393207991	0.461916637752318
ABCA1	-0.359465234527649	0.212461659139645
ABCA10	0.906353950668276	0.0655570068211187
ABCA11P	0.336445002818602	0.332687031078152
ABCA12	0.182401724949981	NA
ABCA13	-0.555889428754529	0.243243666364607
ABCA17P	0.0569163050011126	NA
ABCA2	0.0055133747044076	0.986693137889048
ABCA3	-0.695521051845596	0.0113322764858404
ABCA4	-0.114472254218737	0.61340331846588
ABCA5	0.593581841577063	0.124754233858378
ABCA6	0.0762603155913677	0.810440944848666
ABCA7	-0.197163823399496	0.668541655909424
ABCA8	0.262269805394748	0.319757679213404
ABCA9	0.420795669845706	0.0677057831382384
ABCB1	0.130693782227075	0.734578843289606
ABCB10	-0.280283703599347	0.141006366084826
ABCB11	0.276885614607702	NA
ABCB4	0.600363509178687	0.0647299648670742
ABCB5	0.683128560581292	0.0246325707488007
ABCB6	-0.127036140318951	0.609656999326913
ABCB7	0.0722710009259533	0.735809866860578
ABCB8	0.116265865203147	0.507859800544001
ABCB9	-0.128304914286818	0.65415706635643
ABCC1	-0.298273268790274	0.254806644834844
ABCC10	-0.305419856104826	0.116115403995615
ABCC11	0.111844203228491	NA
ABCC12	-0.0399759736629912	NA
ABCC13	-0.707037730299193	NA
ABCC2	-0.128380343858217	0.828018492180904
ABCC3	-0.221655899204659	0.458361457649562
ABCC4	0.0303468072219673	0.937222356003515
ABCC5	0.6437575906346	0.0616290689656871
ABCC6	0.209031999366516	0.379768522807896
ABCC6P1	0.305705148808191	0.472854804095791
ABCC8	0.391071142383904	0.552951645748416
ABCC9	-0.32705079063134	0.319000121556742
ABCD1	-0.278946033732764	0.156860512627849
ABCD2	0.186283191609419	0.584090537202486
ABCD3	0.0957695923773514	0.80840562901858
ABCD4	0.443071586922446	0.172176625990149
ABCE1	0.0679612981352911	0.731524682949224
ABCF1	-0.358593533178013	0.10271916951669
ABCF2	-0.322608043036601	0.255012439157186
ABCF3	-0.227755647503464	0.210978562844046
ABCG1	-1.09352637681795	0.00101978982167318
ABCG2	-0.272143215309093	0.59134122907904
ABCG4	0.211872780052413	0.503026865992286
ABCG5	0.162105325732916	NA
ABCG8	0.50056578445412	0.120295269566496
ABHD1	-0.0953532155131889	0.753271926508801
ABHD10	0.0114515096171797	NA
ABHD11	-0.239317373415767	0.411092274437478
ABHD11-AS1	-0.0905180312448994	0.792903355911984
ABHD12	-0.221929019090799	0.303887500834414
ABHD12B	0.0228196889728602	NA
ABHD13	-0.0541757708757951	0.862808316848367
ABHD14A	0.21558374920923	0.234405392295361
ABHD14B	-0.577103805882908	0.051097423828533
ABHD15	0.394757515639233	0.136970791888872
ABHD16A	-0.644213818472325	0.018613486653337
ABHD16B	0.12937274641838	0.533484798227761
ABHD17A	-0.614191235544487	0.00967617230880916
ABHD17B	-0.21457007362485	0.312600335740916
ABHD17C	0.345854063528773	0.202401131568013
ABHD18	-0.0377292171411003	0.869026971412236
ABHD2	-0.150008948730074	0.63273695374629
ABHD3	-0.0512389334311614	0.874809795460032
ABHD4	-0.188431009980965	0.506666564889334
ABHD5	-0.51657127904395	0.105059950484901
ABHD6	-0.646331341010564	0.0088816332994573
ABHD8	0.337281230548644	0.13930045087543
ABI1	-0.300867185414081	0.0748331962209078
ABI2	-0.121364665463853	0.55390785332628
ABI3	-0.316760106538551	0.229874972293248
ABI3BP	0.783683100258862	0.0985731020217211
ABITRAM	0.188642315558711	0.247015179900096
ABL1	-0.307109263104628	0.173222200106215
ABL2	0.0464237196743564	0.907148888448374
ABLIM1	0.146943312510269	0.691280089821481
ABLIM2	-0.120903004260231	0.810990341980597
ABLIM3	-0.719874086585378	0.000992910471859818
ABO	-0.0264437914271731	0.968814606298243
ABR	0.0869068287276811	0.592263436481311
ABRA	-0.444157339484494	NA
ABRACL	0.319243121144012	0.166633101182637
ABRAXAS1	-0.18535471718776	0.409125690410495
ABRAXAS2	0.0795572914701026	0.730517060905702
ABT1	0.0740395931491005	0.747045482308109
ABTB1	-0.518871395758417	0.0334186916577026
ABTB2	-0.143095659786885	0.719260913158805
ACAA1	0.262229064536188	0.325498570669751
ACAA2	0.54182049827047	0.0379369426648412
ACACA	0.0798262189871899	0.782895616522537
ACACB	-0.00435517280133801	0.994031328299562
ACAD10	0.105021419553392	0.722752220947369
ACAD11	0.750061206845849	0.074741171433341
ACAD8	-0.338081185483239	0.156084826779317
ACAD9	-0.136101949388809	0.515261370752791
ACADL	0.445645974712159	0.221496113018869
ACADM	0.526134340241546	0.0099815363596668
ACADS	-0.327972595198109	0.227712277704234
ACADSB	0.164118330068264	0.363952098138863
ACADVL	-0.375472867883756	0.260846477097403
ACAN	0.915285437300673	0.0255754078542892
ACAP1	-0.769736286720285	0.10179145834843
ACAP2	-0.0499157753400183	0.798084191673515
ACAP3	-0.139854322464801	0.660630654703763
ACAT1	0.0619072326530166	0.708100264593629
ACAT2	0.334423812576139	0.222682620565382
ACBD3	0.206982880440025	0.363712224773793
ACBD4	0.580733476773885	0.224182699224071
ACBD5	0.0380277151405206	0.853000029152425
ACBD6	0.140162186690262	0.375482197298401
ACBD7	0.276973727480811	0.463495946847985
ACCS	0.0412824758168391	0.937385275618276
ACCSL	-0.192145592917913	NA
ACD	-0.220606174495092	0.364635266773136
ACE	-0.622974900673134	0.0807452984088314
ACE2	0.102922230499253	NA
ACER1	-0.366583840716759	0.349708427978798
ACER2	-0.118290262032374	0.672090744897028
ACER3	-0.0132291270357499	0.973068074286792
ACHE	-0.297864755267762	0.542807105684088
ACIN1	-0.194660523993187	0.504803939021135
ACKR1	-1.32535963124391	0.051997548912601
ACKR2	-0.194966130548195	0.530509422102
ACKR3	-0.328716347647017	0.339484517037209
ACKR4	0.258939444457509	0.573789937480438
ACLY	-0.144751835627677	0.561491124998694
ACMSD	-0.114221673188358	NA
ACO1	0.251578970147115	0.3445715781846
ACO2	0.222740733345942	0.438389570723767
ACOT1	0.0497885502794269	0.902173497175431
ACOT11	0.473258302855617	0.0605533734555379
ACOT12	-0.176289085185245	0.345684115592009
ACOT13	0.218711012307439	0.277962171735383
ACOT4	-0.407138390309633	0.26509180116245
ACOT6	0.022796253361677	NA
ACOT7	-0.288258227306009	0.308261596978511
ACOT8	-0.0423005285331719	0.9065098656213
ACOT9	0.0185547119320617	0.926316001643453
ACOX1	0.299991136866744	0.337621895124161
ACOX2	0.722120780564952	0.00857526270108464
ACOX3	0.0160175905989259	0.951120002947574
ACOXL	0.147411119400198	0.820283878172232
ACP1	0.147373683156196	0.504269870836828
ACP2	-0.473076592220663	0.0148079445214442
ACP4	-0.0191252511541338	0.941383964192618
ACP5	0.879329441386602	0.0101603914771078
ACP6	-0.213557859582036	0.525669724022103
ACP7	0.730186596739294	0.538533263784693
ACPP	0.0115369882774354	0.965574646962563
ACR	0.100728226607315	0.691497760660471
ACRBP	-1.13919106941089	0.00264182030032771
ACRV1	-0.0785043760103008	NA
ACSBG1	-0.00988684372582771	0.976729783877117
ACSBG2	-0.0308307184683239	NA
ACSF2	0.11204547119598	0.717569330419915
ACSF3	-0.486386328219774	0.10171046097188
ACSL1	0.0570357440554066	0.928018334700739
ACSL3	-0.100285573806445	0.733483275158281
ACSL4	0.187920835423597	0.348329183934951
ACSL5	-0.436195189737202	0.0639932328050872
ACSL6	-0.655347970611293	0.0424092771546812
ACSM1	-0.118023068024284	0.716727450429567
ACSM2B	-0.175646988094163	0.477996684901168
ACSM3	0.193239525833866	0.619824141551595
ACSM4	0.214636851083733	NA
ACSM5	-0.36214149839102	0.208100306415458
ACSM6	-0.176055331211651	0.684724569069122
ACSS1	0.216640074768732	0.421534732266965
ACSS2	-0.22188155122711	0.509522744254285
ACSS3	-0.0954097335573376	0.784057673125013
ACTA1	0.120097864739128	0.768415685269558
ACTA2	0.0404120754018269	0.951120002947574
ACTB	-0.0771896820967228	0.791765089052304
ACTBL2	-0.635608022286226	0.0594125370043278
ACTC1	-0.0982420733830107	NA
ACTG1	0.0476920117502928	0.888376049172311
ACTG1P17	0.26645409913973	0.378426599831174
ACTG1P4	0.740104819969606	0.1708765126044
ACTG2	-0.693278862496546	0.184707513784673
ACTL10	0.261476231630084	0.327463966815927
ACTL6A	-0.0888919052791657	0.641167978831299
ACTL6B	0.545636727097451	0.585933677417148
ACTL7A	0.250066950030794	0.24638646524717
ACTL7B	0.16473489420408	NA
ACTL8	0.0372388245051667	0.863002072909499
ACTL9	-0.104088599941258	NA
ACTN1	-0.345815874071642	0.282043831301638
ACTN2	1.22563861905892	0.00300042610135452
ACTN3	-0.240377820764304	0.414889291373201
ACTN4	-0.278828497555622	0.382805807852004
ACTR10	-0.249888925979436	0.327473346319339
ACTR1A	-0.393960000350273	0.116977136737571
ACTR1B	-0.635334942874824	0.00345500085808607
ACTR2	0.476828404351025	0.0502734474981273
ACTR3	0.090631481239809	0.664685936769453
ACTR3B	0.2084210250216	0.287626909793654
ACTR3BP2	-0.15848189878017	NA
ACTR3BP5	1.04025314489297	0.412725228609629
ACTR3C	0.14682970859379	0.63439760758725
ACTR5	-0.000470429585179843	0.998173534870249
ACTR6	0.0471157417312735	0.856144866269809
ACTR8	0.363857146827236	0.0533986136833757
ACTRT1	0.109954076264989	NA
ACTRT2	0.250002397530301	0.147592683455585
ACTRT3	0.118035899998697	0.830829719386247
ACVR1	0.160434034779614	0.514914377218366
ACVR1B	-0.355191210325502	0.19670048134477
ACVR1C	0.0144343734318433	0.979445148327148
ACVR2A	0.507434155631104	0.0390257080612337
ACVR2B	-0.245005922393981	0.394294158138138
ACVR2B-AS1	0.0175740967236999	0.952153703296929
ACVRL1	-1.19346569610104	0.025654667808656
ACY1	-0.133464744743033	0.538869785939352
ACY3	-0.145920906067566	NA
ACYP1	0.0245240332083689	0.937385275618276
ACYP2	-0.14642916782843	0.483979832479556
ADA	-0.275298571778828	0.349708427978798
ADA2	0.124904884591869	0.779680490196272
ADAD1	0.0843052680562737	0.933179447757919
ADAD2	0.259535812071311	0.470181331663169
ADAL	-0.0697198645122317	0.869290426625257
ADAM10	0.355489247724497	0.0970650697792062
ADAM11	-0.245313276638843	0.714533416197178
ADAM12	0.225106417971105	0.571290841803267
ADAM15	-0.630498921648591	0.0143620911419444
ADAM17	-0.128727859389329	0.535798466377481
ADAM18	0.155474541292042	NA
ADAM19	0.266492299038871	0.325723805471226
ADAM1A	0.358530238036549	0.264426209848156
ADAM2	-0.00622802345213458	NA
ADAM20	0.218785644096825	0.575822153645488
ADAM20P1	0.121504316072407	0.743095842227815
ADAM21	-0.14119453872612	0.306532659438998
ADAM22	0.412016655742998	0.130958944887737
ADAM23	-0.177022928915875	0.591261261032913
