gene_name	Injury.Day7vsControl.Day0_log2FoldChange	Injury.Day7vsControl.Day0_padj
	0.385986524099766	0.481528193929871
TTC38	-0.38399718150196	0.150181456833344
CDPF1	0.000400673992048873	0.990150456404798
PPARA	0.00779735933126848	0.982505146057631
TRMU	0.345257280294291	0.395344944714228
FBLN1	-1.15764740927715	0.000281475618014648
FAM118A	-0.0325047057735355	0.931474710287072
KIAA0930	1.16288309543168	0.00860570685001272
NUP50	0.121096941317143	0.515804015688861
PHF21B	-1.08862153510742	0.167816329214795
	0.0116396009914943	NA
RTL6	0.257657653280529	0.705044470239074
PARVB	0.883653030253217	0.171907851546311
PARVG	1.12362714361903	0.0969347016395937
SULT4A1	NA	NA
	-0.170458763328114	0.947801589902836
SCUBE1	0.146066480388949	0.876813870502244
MCAT	0.363054278294337	0.350214347275192
TSPO	0.0827009729703722	0.889102623489471
TTLL12	-0.186826297188819	0.57610781465108
TTLL1	0.832449703907858	0.000185572121247253
PACSIN2	-0.2476189342192	0.497170594589605
ARFGAP3	-0.0722085984321656	0.752313968998402
CYB5R3	-0.139528896417723	0.688243743897291
POLDIP3	-0.145607770786662	0.549954478567675
SEPT3	0.161363147431792	0.755990535291797
NDUFA6	0.391830426994935	0.311301811473659
CYP2D25	0.378112563752164	0.701609584891076
NAGA	0.441998150459706	0.0320289618950411
C22orf46	0.0115830554435875	NA
SNU13	-0.408712233949414	0.00506495036913055
XRCC6	-0.105052933815653	0.735630968141269
PMM1	0.0199005008809149	0.957877611221989
CSDC2	0.498265382528806	0.288456024388873
POLR3H	-0.186272070729185	0.611477270749871
ACO2	0.221554397372956	0.272365245347908
L3MBTL2	-0.463246735886488	0.131080701904746
CHADL	-0.977929005104256	0.0134568734793456
EP300	0.00693219282261945	0.990286850978465
	-0.32631027570709	0.0521962155158536
SLC25A17	-0.157301321223968	0.544543800328271
	-0.111266134308543	NA
MCHR1	1.45698349345091	0.0174475043874982
MRTFA	0.025369919669898	0.963004594169871
SGSM3	-0.211900177879709	0.630916379156511
ADSL	-0.469501344930282	0.0374463486124084
TNRC6B	-0.160263962898675	0.844565123585298
FAM83F	0.309564054150345	0.540076233855852
GRAP2	-0.809102975102486	0.146753532228689
	-0.765065628124566	0.293426932598952
CACNA1I	0.823236016472699	0.196330804452274
RPS19BP1	0.299594278358426	0.50574300976182
ATF4	-0.266782526118068	0.50278436170271
TAB1	-0.0148943525739503	0.971454235510558
	-0.140913772055764	0.775047348173233
CBX7	-0.973623354854437	0.011619786171011
