gene_name	InjuryReconstruct.Day7vsControl.Day0_log2FoldChange	InjuryReconstruct.Day7vsControl.Day0_padj
	0.447309660693882	0.345138159957971
TTC38	-0.787043097115039	0.000378330354903654
CDPF1	-0.464173548588699	0.269022835375607
PPARA	-0.379046285421204	0.550739415585102
TRMU	0.0603929849401728	0.885566342321141
FBLN1	-1.32930457966585	8.79928497695076e-06
FAM118A	-0.145326802938932	0.559382699667315
KIAA0930	0.947721633976098	0.0279385758592253
NUP50	0.28417147410189	0.0425826575695878
PHF21B	-0.961855661186475	0.200840253166619
	0.0254923526458588	NA
RTL6	0.0556231844561016	0.932973574396731
PARVB	0.258658253115652	0.719167416832695
PARVG	0.184011170341847	0.929135844834311
SULT4A1	NA	NA
	-0.658478410792478	0.432324070109179
SCUBE1	-0.279667523820974	0.620020631673037
MCAT	-0.110618885968269	0.803522045540338
TSPO	-0.230139593139248	0.611093668071264
TTLL12	-0.159413785429029	0.579979663782866
TTLL1	0.674890593129688	0.00241471321758662
PACSIN2	0.259881010107573	0.395141846799647
ARFGAP3	0.2015033005353	0.201387704103444
CYB5R3	-0.116804524596566	0.69418641371475
POLDIP3	-0.0612595270057245	0.79533915996911
SEPT3	0.460853229312902	0.223018195603352
NDUFA6	-0.0379697397818735	0.928645424248267
CYP2D25	-0.71295715787151	0.269758312679901
NAGA	0.161897213013228	0.477237676044549
C22orf46	0	NA
SNU13	-0.255144414717867	0.0880849734148327
XRCC6	-0.243534953329271	0.285929258147583
PMM1	-0.186158312476888	0.595216990204311
CSDC2	0.635516489806778	0.121268522920227
POLR3H	-0.206115538075845	0.486404770425146
ACO2	0.260263003558649	0.14003976325338
L3MBTL2	-0.749918824277406	0.00383069098276431
CHADL	-0.679090082178669	0.0857782483205406
EP300	0.106307308255958	0.843012018727995
	-0.22622456547804	0.174476282182517
SLC25A17	-0.0149045178424664	0.957700364356938
	0.097285881793271	NA
MCHR1	1.517914096355	0.0101873047437834
MRTFA	-0.218357164910801	0.419737912119423
SGSM3	-0.288903999327691	0.400199592633429
ADSL	-0.603451642590763	0.00353161487737889
TNRC6B	-0.564683826786229	0.283941244258783
FAM83F	0.302914233953151	0.503500727347855
GRAP2	-0.748036898165883	0.169434535097812
	-0.793270260652799	0.224020017165707
CACNA1I	0.709337058456053	0.235003964746556
RPS19BP1	-0.0766375035714046	0.874853171226838
ATF4	0.217737118133856	0.520927503724942
TAB1	-0.340357767395815	0.1274126831626
	0.0511796827632807	0.900278352007006
CBX7	-1.1758148839879	0.00106959669673608
APOBEC3B	0.362192730687903	0.378642909218109
NPTXR	0.56673908780353	0.0792168106712323
DNAL4	-0.132034495400031	0.610228279649562
SUN2	-0.443207707654208	0.0409264078293708
GTPBP1	-0.188518305089554	0.375314425405055
	-0.147958647829181	0.57940102451904
DMC1	-0.0672891470667053	NA
DDX17	-0.298651647272742	0.159900009742126
KDELR3	0.109166239038791	0.762880184511372
KCNJ4	-0.032666646463882	NA
	0.721755529930488	0.00129752752330861
TMEM184B	0.125827395078663	0.576228564812082
PLA2G6	-0.233323322280334	0.545434796996261
BAIAP2L2	-1.11020176042901	0.0512309160063199
SLC16A8	-0.424806120925162	0.603081170954021
PICK1	-0.530835242818922	0.187848343549707
POLR2F	-0.471070077690324	0.189326707802152
C22orf23	0.151162040091334	0.750565656168626
MICALL1	0.131547663689432	0.718088099182833
EIF3L	-0.474491250589143	0.0476096303373551
ANKRD54	-0.381020479317427	0.247205476307422
GALR3	-0.90687495915628	0.18082199436111
CYTH4	0.266994575779074	0.828168972368379
ELFN2	0.0251419588838212	NA
TEX33	NA	NA
TST	-1.00497067418719	0.0186866943028183
KCTD17	0.0766322105642319	0.839012210471118
CSF2RB	1.34574031847582	0.0176218113516165
NCF4	0.751559547403451	0.206151513643641
PVALB	-0.28934089035325	NA
IFT27	-0.0379518733374663	0.950922995957726
EIF3D	-0.000591655551099216	0.999546860328097
FOXRED2	0.281368763145789	0.409468854145391
TXN2	-0.332203870466984	0.234519309627854
MYH9	1.29531776915101	0.00059057922554491
MYH11	1.95400569716134	0.00110285608363191
	0.654388603876447	0.33330755391114
	-0.44228102655714	0.562825967992587
RBFOX2	0.183913593624983	0.432858240523634
