gene_name	InjuryRepair.Day7vsControl.Day0_log2FoldChange	InjuryRepair.Day7vsControl.Day0_padj
	0.43785289045714	0.37417630477029
TTC38	-0.422670062778089	0.0797827398246782
CDPF1	-0.247828809642181	0.601363170135708
PPARA	0.290601168810453	0.633696130900767
TRMU	0.151988673655306	0.713148739355306
FBLN1	-1.35183643967222	4.6433013297548e-06
FAM118A	-0.230097744416161	0.328741016100169
KIAA0930	1.30099820695502	0.00125043246960539
NUP50	0.0236129360407329	0.905873523123609
PHF21B	-0.0708244228217764	0.999103601886295
	0	NA
RTL6	0.362998485967325	0.504657504657028
PARVB	0.549259402071076	0.375684957793129
PARVG	1.12438002717842	0.0552095732722215
SULT4A1	NA	NA
	-0.407130778162901	0.703501229586862
SCUBE1	0.240019627167083	0.714714909523247
MCAT	0.046246429399204	0.910468545827596
TSPO	-0.0553563393172014	0.922162021516323
TTLL12	-0.281562092035301	0.28384415454235
TTLL1	0.569997381603602	0.0122038786345624
PACSIN2	-0.338515218466193	0.25282260679743
ARFGAP3	-0.0654169839714901	0.735377855514344
CYB5R3	-0.0742272912186853	0.818044936428006
POLDIP3	-0.287677735949991	0.116464490346737
SEPT3	0.239323855281735	0.568471547349988
NDUFA6	-0.232835328993017	0.530598048160565
CYP2D25	-0.011096226728486	0.980470044037877
NAGA	0.304381567781066	0.139332047803932
C22orf46	0	NA
SNU13	-0.529136327914244	6.84149972169893e-05
XRCC6	-0.269252832289716	0.2326802894528
PMM1	-0.299638356446049	0.358891050405261
CSDC2	0.389205470850349	0.374892570109189
POLR3H	-0.409445407997787	0.130225780946112
ACO2	0.0567858345382889	0.795686121555683
L3MBTL2	-0.793086905044658	0.00184637494740144
CHADL	-0.897156268262506	0.0175073765693812
EP300	0.375192197843248	0.414519537563867
	-0.304987935068065	0.0537472555237129
SLC25A17	-0.175030659427731	0.421868846052507
	-0.129319537206119	NA
MCHR1	1.38881813251775	0.0116297323740237
MRTFA	0.170842395982759	0.554488551333643
SGSM3	-0.528058145363086	0.0914022849572116
ADSL	-0.699441534792442	0.000547845965710481
TNRC6B	0.0782742052205459	0.900226070055809
FAM83F	0.0955813661960697	0.824750132634539
GRAP2	-1.00823978532379	0.0514922802135015
	-1.08394597833549	0.103331152113161
CACNA1I	0.555135445151446	0.370121602436761
RPS19BP1	-0.1985742699214	0.647602483538258
ATF4	-0.378935332989622	0.234779936860047
TAB1	0.0630432027447137	0.824162785535462
	-0.0772425719786687	0.862056476773619
CBX7	-0.779202816521847	0.0405549570402796
APOBEC3B	0.466701793986562	0.241139322823088
NPTXR	0.448271028898383	0.18352274834525
DNAL4	0.0813596442072825	0.766684484821774
SUN2	-0.525714844148926	0.0115874257558868
GTPBP1	-0.349560554998194	0.0692046030704484
	-0.259986388426106	0.289074558291653
DMC1	-0.0161731106570336	NA
DDX17	-0.288365923992967	0.174681019614806
KDELR3	-0.358888105842474	0.25282260679743
KCNJ4	-0.00826568561143332	NA
	0.602537472904371	0.00825942284740188
TMEM184B	-0.227419927668663	0.280796252285919
PLA2G6	-0.195675405074192	0.626418455288228
BAIAP2L2	-0.26997347552386	0.57511579037304
SLC16A8	-0.277935211087873	0.771352360748677
PICK1	-0.22949881409459	0.585115188726902
POLR2F	-0.712029702973564	0.03314404580858
C22orf23	0.137943758387721	0.780294333724644
MICALL1	0.247311856173393	0.460636676926768
EIF3L	-0.575107781768186	0.0120134745875993
ANKRD54	-0.355657901513853	0.289074558291653
GALR3	-1.11758134767093	0.1017949840656
CYTH4	0.901670741223501	0.169840776278414
ELFN2	0	NA
TEX33	NA	NA
TST	-0.485253818542151	0.303702574607626
KCTD17	0.106349463389564	0.775343690841861
CSF2RB	2.23452914175683	5.41033712239051e-06
NCF4	1.5325807052469	0.00234751626837541
PVALB	-0.311611350483196	NA
IFT27	-0.00678041537027864	0.993685683657332
EIF3D	-0.121362776520048	0.709457762929107
FOXRED2	0.627158814160671	0.0308141369881106
TXN2	-0.396299025449343	0.145096312078554
MYH9	1.60891905554659	7.09718341821064e-06
MYH11	2.9995888598455	1.64434600643079e-08
	0.616074529102828	0.312644698311134
	0.0483202298003347	0.932759525303963
RBFOX2	0.208064590867053	0.361420483040873
FBXO7	-0.317485152684543	0.100843608046114
BPIFC	-1.01508361339724	0.00452443724014631
RTCB	-0.0479248190450827	0.77553189918371
ASCL4	NA	NA
PRDM4	0.0500195282085557	0.834692501943152
PWP1	-0.170575018145915	0.407835585905054
BTBD11	2.08368418049071	4.45322381510214e-05
CRY1	0.161992312929747	0.644270278782702
RIC8B	0.193491825275059	0.53839570962725
POLR3B	-0.206843443592592	0.342985655397036
CKAP4	0.450419053698901	0.235974856889313
TEX49	-0.0449863576068307	NA
ADCY6	0.6524395178464	0.0834134688667495
DDX23	0.0710427084732663	0.669978517939006
CCDC65	0.0304304397091602	0.958487307894113
FKBP11	0.163681802993547	0.59052074894548
WNT10B	-0.730276508746477	0.188097833322886
WNT1	-0.00801473611931942	NA
DDN	0	NA
PRKAG1	-0.463584458216624	0.00266896015353421
RHEBL1	-0.0194209988642754	0.986656824114124
DHH	0.86145178238547	NA
LMBR1L	-0.629710521646127	0.0631322702993728
TUBA1B	-0.0456385157948721	0.814373822994932
	0.255343127411244	0.738067792971559
	-0.100531452536283	0.827751658139259
PRPH	-0.592817630812576	0.358274866109771
C1QL4	-0.601677839556078	NA
DNAJC22	-0.0111993130131554	NA
	-0.0743845766244461	0.802423377972759
MCRS1	-0.0477872374787911	0.858183360138382
KCNH3	0.157364553356068	0.755758631868112
PRPF40B	-0.859414487907818	0.00400786057894155
FAM186B	-0.000265252640197696	0.981224831449438
FAIM2	-0.705146422428739	0.430518762434646
	-0.8412706011194	0.242768497749851
NCKAP5L	-0.331252868363665	0.305789861523394
AQP5	0.0423809556659278	0.951734366305075
AQP6	0.393768696165125	NA
GPD1	-0.89276764838994	0.0311591066690368
SMARCD1	-0.0348332777047178	0.885925812434283
ASIC1	1.43004412225078	0.0281476441294828
	1.17033019275269	0.000667047609862729
	-0.304581904308335	0.435605329158864
BIN2	0.534312180140283	0.50208635883468
SCN8A	-0.765935532934275	0.0876846279310021
ANKRD33	-0.0366586828579677	0.979692560874935
ACVRL1	1.37661260056601	7.48889219744542e-06
ACVR1B	0.0342677475923821	0.937242993719276
GRASP	1.21263124534671	0.0392515186661863
KRT82	0	NA
KRT75	0.0349613049862711	NA
	NA	NA
	0	NA
KRT85	NA	NA
KRT84	NA	NA
	0.416560469357058	0.351776216676606
KRT71	0.0364041406936776	NA
KRT5	-0.555492360508069	0.40068278893707
KRT72	-0.1362324171472	NA
KRT73	NA	NA
KRT1	NA	NA
KRT8	-0.851535074148154	0.16961425628488
KRT18	-0.0360122808715681	0.926743613320172
ITGB7	-1.06602340135462	0.0248610542851397
RARG	-0.625959640506378	0.00393928711234663
CSAD	-0.831565275404519	4.38567708486137e-07
SOAT2	0.0529433270125139	0.926798695289877
IGFBP6	0.743781134347731	0.117155883565206
SPRYD3	-0.481428395427985	0.00346622245801828
TNS2	-0.374279847240821	0.342008992562941
MFSD5	0.100922538710309	0.707755391502023
ESPL1	1.49137801175417	0.000339763444861325
C12orf10	-0.529479711700361	0.110414706747621
AAAS	-0.14510085932243	0.679777948524333
AMHR2	-0.420135142549836	0.541283550799652
SP1	0.832731985134092	0.0889990093705564
	0.148746887677693	0.670867488422972
PCBP2	-0.0142461494531594	0.949646781430165
MAP3K12	-0.306425132403865	0.330519512814136
TARBP2	-0.463028122083819	0.100089864654015
NPFF	-1.09729930720593	0.0625872748770656
	-0.0414787830001185	0.90852112001903
HOXC13	-0.00816835860397938	NA
HOXC12	NA	NA
HNRNPA1	-0.256546524405423	0.261948122619524
NFE2	-0.646781530640154	0.394257771420603
COPZ1	-0.152604721975004	0.49000861819165
GPR84	0.461090014850134	0.568914804309844
ZNF385A	0.663642708291031	0.185472145872381
ITGA5	0.823565581169093	0.0435430384991738
NCKAP1L	1.75211417994622	0.0015602811521919
	NA	NA
PDE1B	1.01133372896982	0.0373848789039949
PPP1R1A	-0.94879074672406	0.0702506588448991
TESPA1	-0.606504124964833	0.263658845626522
	0.0206963597047398	NA
	NA	NA
	NA	NA
	NA	NA
	NA	NA
	NA	NA
	NA	NA
BLOC1S1	-0.0984168286976256	0.854737069107597
CD63	-0.163069647044374	0.575758678171493
RDH5	-0.307628573439278	NA
GDF11	1.30820424102163	0.000171850578444033
SARNP	-0.110973476022471	0.743085640750496
	0.117455977582229	0.755283439053066
DNAJC14	0.150933051073185	0.397689245743227
	0.576792958154681	0.0498912037844401
MMP19	0.697736958999583	0.00991080698190729
DGKA	-0.0864891269380535	0.745266405507036
PMEL	-0.728402829836487	0.345428739359817
CDK2	0.233668083672138	0.33311271920045
RPS26	-0.794143780455963	0.0222994469118145
SUOX	-0.218071497396424	0.204281706982859
	-0.0878840487232186	0.617347765259551
ESYT1	1.22262299373603	5.71011310284848e-06
SMARCC2	-0.101121768034332	0.616177100623172
RNF41	0.260522907220767	0.115633594910446
NABP2	-0.0407432367484644	0.896320000629943
SLC39A5	-0.769855486861502	0.295976631717343
ANKRD52	0.302487817713292	0.447127228050596
PAN2	-0.440701772855358	0.0522544213706677
	-0.306925322497215	0.146578238860486
STAT2	-0.00633860202754445	0.979569232567233
APOF	-0.67920272323529	0.232461079828044
TIMELESS	0.650791663679769	0.140153973880013
MIP	0	NA
GLS2	-0.28690813753741	0.630504773374963
RBMS2	0.239700990870416	0.412562886973801
BAZ2A	0.0205283812198641	0.965546981756877
	0.0325367827013985	0.907753199206483
	-0.289119731026605	0.0575979180195329
