gene_name	InjuryRepair.Day28vsInjury.Day28_log2FoldChange	InjuryRepair.Day28vsInjury.Day28_padj
	0.161732025400058	1
TTC38	-0.378865452849264	0.951711805684101
CDPF1	-0.583312951300505	0.983168404498284
PPARA	0.408221719700884	1
TRMU	0.0982418853689636	1
FBLN1	-0.329189716786181	1
FAM118A	-0.100129858450294	1
KIAA0930	0.337792653278721	1
NUP50	0.0750404835887969	1
PHF21B	-0.120255815500424	1
	-0.0351793752624063	1
RTL6	0.144008584751331	1
PARVB	0.491885350814118	1
PARVG	0.208844331160349	1
SULT4A1	NA	NA
	0.253001052149747	1
SCUBE1	0.656988772440009	1
MCAT	-0.490712907434371	0.992267329788745
TSPO	-0.320424375078756	1
TTLL12	0.100092154187738	1
TTLL1	0.0536549216290124	1
PACSIN2	0.221400150391933	1
ARFGAP3	0.0907516732455872	1
CYB5R3	-0.286111113262639	1
POLDIP3	0.10862521416218	1
SEPT3	-0.256702365741674	1
NDUFA6	-0.368815426205799	1
CYP2D25	0.191569924152734	1
NAGA	-0.135250847095668	1
C22orf46	0	1
SNU13	-0.139496881632118	1
XRCC6	-0.33762647769633	0.951711805684101
PMM1	-0.325092820753365	1
CSDC2	-0.581214952481923	1
POLR3H	0.145984825823569	1
ACO2	0.0961845699749064	1
L3MBTL2	-0.0464016005854622	1
CHADL	-0.11440919975572	1
EP300	0.124376581252629	1
	0.0296135072368323	1
SLC25A17	0.0357972087969906	1
	-0.0223317499052904	1
MCHR1	0.208493091842341	1
MRTFA	-0.121958761727814	1
SGSM3	-0.10202195341099	1
ADSL	-0.178134936426886	1
TNRC6B	-0.0486082517567917	1
FAM83F	0.398330976473314	1
GRAP2	-0.258751621344662	1
	-0.0641803264859471	1
CACNA1I	-1.22447723953557	0.653967053500506
RPS19BP1	-0.2266079613258	1
ATF4	-0.0180824802483286	1
TAB1	-0.212584032830335	1
	-0.0556633691800122	1
CBX7	-0.223618296615751	1
APOBEC3B	0.105495865000478	1
NPTXR	0.395293652119012	1
DNAL4	-0.116633648038725	1
SUN2	-0.146727855205172	1
GTPBP1	-0.0271023574803818	1
	-0.113457292442316	1
DMC1	-0.0741561399486202	1
DDX17	0.109634079804969	1
KDELR3	0.0601721821554813	1
KCNJ4	0.0211925732262395	1
	0.271356666119595	1
TMEM184B	0.312944553261332	0.951711805684101
PLA2G6	-0.20831353846029	1
BAIAP2L2	-0.541640316210105	1
SLC16A8	-0.122094403690018	1
PICK1	-0.461855057529133	1
POLR2F	-0.452891573981877	1
C22orf23	-0.401734240974727	1
MICALL1	0.322373303917191	1
EIF3L	-0.38558149343795	0.951711805684101
ANKRD54	-0.201988684239876	1
GALR3	-0.171149216159904	1
CYTH4	0.376586308611637	1
ELFN2	0.0208239710069961	1
TEX33	NA	NA
TST	-0.363342491449984	1
KCTD17	-0.481665421420752	0.951711805684101
CSF2RB	0.68324531769917	1
NCF4	0.0431973985087335	1
PVALB	-0.250284749856144	1
IFT27	-0.219482974008764	1
EIF3D	-0.234964284839986	1
FOXRED2	0.252675133364891	1
TXN2	-0.336234514664119	1
MYH9	0.232653563091362	1
MYH11	-0.000980991028536355	1
	-0.299850626981377	1
	-0.486754340184649	1
RBFOX2	-0.0918217865876795	1
FBXO7	-0.233006090823463	1
BPIFC	-0.18642013101857	1
RTCB	0.0174105840686649	1
ASCL4	NA	NA
PRDM4	-0.23542074776554	1
PWP1	-0.0837186329773501	1
BTBD11	-0.576457176711934	1
CRY1	0.114316682483126	1
RIC8B	0.30027042714089	1
POLR3B	-0.213587011325751	1
CKAP4	0.349131378388402	1
TEX49	0.0463538239150481	1
ADCY6	0.380475804249837	1
DDX23	-0.0627322181975208	1
CCDC65	-0.173368037655536	1
FKBP11	0.0633982317215769	1
WNT10B	0.010467054581274	1
WNT1	0	1
DDN	-0.00813490179639583	1
PRKAG1	-0.141079248957935	1
RHEBL1	0.205774912038541	1
DHH	-0.118115740001554	1
LMBR1L	-0.438703026885367	1
TUBA1B	0.108661454240745	1
	0.195863505352869	1
	-0.0168212645861884	1
PRPH	-0.209181505783987	1
C1QL4	0.653625066516583	1
DNAJC22	0	1
	0.241361375967105	1
MCRS1	-0.106978786435475	1
KCNH3	-0.271542870643679	1
PRPF40B	-0.239494484155583	1
FAM186B	-0.0415619671918515	1
FAIM2	-0.248814755109604	1
	0.529318288616109	1
NCKAP5L	0.362046657440696	1
AQP5	-0.310299870571126	1
AQP6	-0.042475727042235	1
GPD1	-0.410176849201213	1
SMARCD1	0.0173374826877244	1
ASIC1	0.178086163784313	1
