gene_name	InjuryReconstruct.Day28vsInjury.Day28_log2FoldChange	InjuryReconstruct.Day28vsInjury.Day28_padj
	0.230654550875779	1
TTC38	-0.199729072396887	1
CDPF1	-0.467490326216144	1
PPARA	0.412085114938055	1
TRMU	-0.109761680838048	1
FBLN1	-0.116573720097556	1
FAM118A	-0.267603622947233	1
KIAA0930	-0.0282679241702191	1
NUP50	0.0364481599221212	1
PHF21B	0.226705437639173	1
	-0.0425672629822084	1
RTL6	0.447982738147833	1
PARVB	0.368103549981383	1
PARVG	-0.292447905641563	1
SULT4A1	NA	NA
	0.307535933830177	1
SCUBE1	0.542800221798346	1
MCAT	-0.0675885319075802	1
TSPO	-0.588880592171063	1
TTLL12	0.152182205390451	1
TTLL1	0.136006955343947	1
PACSIN2	0.347638087390444	1
ARFGAP3	0.0958336518632514	1
CYB5R3	-0.00526831344761667	1
POLDIP3	0.15894793134591	1
SEPT3	-0.417677044294286	1
NDUFA6	-0.387983073653121	1
CYP2D25	0.271070410159294	1
NAGA	0.10645948650966	1
C22orf46	0	1
SNU13	-0.0821596393682232	1
XRCC6	-0.190364406089935	1
PMM1	-0.144207174285804	1
CSDC2	-0.172098908339745	1
POLR3H	0.0179095116764837	1
ACO2	0.212783227456049	1
L3MBTL2	0.0817716918555648	1
CHADL	0.138136996878073	1
EP300	0.307524041419699	1
	-0.0452597677828068	1
SLC25A17	-0.122492997221821	1
	0.0463473782836924	1
MCHR1	-0.191444599144811	1
MRTFA	-0.342004432680535	1
SGSM3	-0.024194174467419	1
ADSL	-0.142515264368976	1
TNRC6B	0.40308082569547	1
FAM83F	0.601989521477778	1
GRAP2	-0.12136730039694	1
	0.14333853315758	1
CACNA1I	-0.297355349699098	1
RPS19BP1	-0.423931977121355	1
ATF4	0.0795516754173584	1
TAB1	-0.192460004228378	1
	0.0181814850466463	1
CBX7	-0.204064056479627	1
APOBEC3B	-0.0875444541916093	1
NPTXR	0.192984849342011	1
DNAL4	-0.143115525487894	1
SUN2	0.0514962243335818	1
GTPBP1	0.118441173235456	1
	-0.14119001265934	1
DMC1	-0.119946487873692	1
DDX17	0.111183659607981	1
KDELR3	0.0407726774833149	1
KCNJ4	0	1
	0.149628970910575	1
TMEM184B	0.218740497759135	1
PLA2G6	0.0449211604939148	1
BAIAP2L2	0.219015535327861	1
SLC16A8	-0.313203524409535	1
PICK1	-0.506828104708651	1
POLR2F	-0.367094314481541	1
