gene_name	OAvsnonOA_log2FoldChange	OAvsnonOA_padj
TSPAN6	0.676986892776593	0.000485508691504197
TNMD	-0.275979870651949	0.942266713419589
DPM1	0.0221189862207298	0.918583485950446
SCYL3	0.0786670273150885	0.439684399898857
C1orf112	0.178264682185381	0.508071965070846
FGR	-0.295907870870533	0.817749555723703
CFH	-0.372768537974572	0.202206016660274
FUCA2	0.258706916505767	0.0026283508867563
GCLC	-0.0496870099175438	0.849218396346044
NFYA	-0.13792918236258	0.16467738487399
STPG1	-0.100795693259986	0.537689373749933
NIPAL3	0.42749124063175	0.000455898609575722
LAS1L	-0.551384218147762	3.4326156214036e-10
ENPP4	0.120963388944952	0.78913588402532
SEMA3F	-0.388623722514417	0.922115757794258
CFTR	-0.185962180993142	0.769518900676403
ANKIB1	0.0944369298957855	0.628520660203637
CYP51A1	0.564463666913668	2.2138836467194e-05
KRIT1	0.123225226191451	0.315856873515411
RAD52	0.176118873886769	0.280238181989514
MYH16	-0.236316043574122	0.75117156724032
BAD	0.00591534205676079	0.974737999819625
LAP3	-0.183792755139713	0.255843484462544
CD99	0.164938028163912	0.296609822399044
HS3ST1	0.0803516746397558	0.661826614351121
AOC1	0.481762425086044	0.401871244408772
WNT16	1.31070483899962	9.18131867729484e-05
HECW1	0.340847164291531	0.158843277087328
MAD1L1	-0.592490295352672	0.027794167774937
LASP1	0.169416521794405	0.25222988753422
SNX11	-0.0657313402069523	0.778878584669682
TMEM176A	1.32503458824054	0.000144356487721484
M6PR	-0.367904413738331	0.000479573550472104
KLHL13	0.116078241594395	0.658684616282084
CYP26B1	0.102254059540327	0.733610977459867
ICA1	0.0341203095122859	0.901648412337765
DBNDD1	1.23790225115171	0.00015385556197102
ALS2	-0.000797533436647891	0.991386978058804
CASP10	-0.702528260878382	0.230160781462763
CFLAR	-0.778146004740917	1.17196969450641e-05
TFPI	-1.18017070358703	9.79006485557987e-07
NDUFAF7	-0.265442464983107	0.0558933135524094
RBM5	0.143155324234193	0.311517838540845
MTMR7	0.0302872013634223	0.868415197870905
SLC7A2	-0.395724429403456	0.180960110804828
ARF5	-0.10901496565943	0.454136501156855
SARM1	0.235032216342615	0.122251131338923
POLDIP2	-0.0610100445543523	0.486400584003724
PLXND1	-0.122704146385971	0.496881512219852
AK2	0.0450792688862237	0.772477929810745
CD38	-0.862142984367761	0.194183188113274
FKBP4	-0.223827852751215	0.121131711657816
KDM1A	0.0572019114350961	0.527309663198022
RBM6	0.0739353856425101	0.629749971024575
CAMKK1	0.4828516710302	0.0987088050647856
RECQL	0.478241561934529	0.000121718953992776
VPS50	0.478323184150561	0.00033801930418916
HSPB6	0.764857239053322	0.00378093249153111
ARHGAP33	-0.260031082164308	0.404694757629525
NDUFAB1	0.0782886522347134	0.59161359117671
PDK4	-2.53015648342712	2.86287672416827e-14
SLC22A16	0.697723423399712	0.250668208384452
ZMYND10	0.337852030199599	0.173450271054792
ABCB5	-0.308946254031002	0.896648996292529
ARX	0.0770863741734281	NA
SLC25A13	0.416437883293281	4.37131763397559e-05
ST7	0.0885916690572733	0.510294316302716
CDC27	-0.0433885937483282	0.864314866314717
SLC4A1	0.191242978267508	NA
CALCR	0.374309332196172	0.923317674482111
HCCS	0.0786135784052053	0.643880873453747
DVL2	-0.301409237697506	6.77101650388956e-05
PRSS22	-0.00117202951524324	NA
UPF1	-0.0488029116686756	0.679476557989981
SKAP2	-0.210433178316785	0.475828334740628
SLC25A5	-0.511514952152897	9.38430597054851e-05
MCUB	-0.481248680261031	0.0176169947145859
HOXA11	-0.0567706494112535	0.773399377745875
POLR2J	-0.162736894566851	0.0944914979190475
DHX33	0.17359291094272	0.266433447496354
MEOX1	0.0896703361506344	0.244617783287724
THSD7A	0.305100694490773	0.299400188790228
LIG3	0.460696509749012	0.00135277015833385
RPAP3	0.0198564623062787	0.960420852564632
ACSM3	-0.601397516244536	0.00382266000152964
REXO5	-0.528368571893176	0.0108464055117541
CIAPIN1	0.173032214723001	0.222121829187234
SPPL2B	0.244422704123474	0.073796739866589
FAM214B	0.334196761287349	0.014656901324366
COPZ2	0.45658774536495	0.000671829655306525
PRKAR2B	-0.987297872937641	0.00604963922400124
MSL3	0.394701078968543	0.0269568872375626
CREBBP	-0.141301805092336	0.553968666932803
TSPOAP1	-0.0358739246648766	0.934403272964283
MPO	0.412097305569969	0.421210323694161
PON1	-0.48344303257247	0.608124191591165
GCFC2	0.00763476891197478	0.972162290320956
WDR54	-0.301152360017325	0.0683660060488611
CROT	0.402458712571223	0.00427188748057971
ABCB4	0.433312747960391	0.154370119240561
KMT2E	-0.0208751949011627	0.915296136764762
RHBDD2	0.0356947545281702	0.81016639732238
SOX8	0.707641028586841	0.00683096704832829
IBTK	0.448309427159755	0.000824872036742412
ZNF195	0.0199472867887632	0.926445586560415
MYCBP2	-0.126638110294776	0.240454203559985
FBXL3	0.0352733154329108	0.825873377931155
ITGAL	-0.0744665009854091	0.773447296230487
PDK2	-0.347488444725689	0.010426006808439
ITGA3	-0.166798163223431	0.58353788301764
ZFX	0.13656905417905	0.58044356671825
LAMP2	0.136838840742651	0.278871807110538
ITGA2B	0.102859567093356	0.838415417760152
ASB4	-0.108587276221035	0.925108375541633
GDE1	0.151482397705645	0.363516002555436
REX1BD	-0.206119397565545	0.238783555335267
CRLF1	1.37812216818298	1.7442717274541e-05
OSBPL7	0.328925231773016	0.118446144873328
TMEM98	-0.265203900902371	0.0331340050818321
YBX2	0.3828999446443	0.575781642219439
KRT33A	NA	NA
MAP3K14	-0.552308765122899	2.33578581114745e-05
ABCC8	0.288708027961095	0.398243168952744
CACNG3	-0.0549975044331131	NA
TMEM132A	-0.420475899805535	0.97315788929632
AP2B1	-0.0203490903527115	0.87393266435173
TAC1	1.2403386022282	0.0071722591367339
ZNF263	-0.409215274393493	7.98879924692801e-05
CX3CL1	0.0962746587925202	0.867293025823269
SPATA20	0.127994898523079	0.387011175650776
CACNA1G	0.294688537837568	0.478784404387837
TNFRSF12A	0.86441070875372	0.00154312368078153
DLX6	0.810487058437062	1.70686856188245e-08
MAP3K9	-0.310544381766974	0.402925099661245
RALA	-0.180659888884178	0.495282496574159
BAIAP2L1	0.15860687370439	0.527203752860036
KDM7A	-0.956898126549402	6.58692712040555e-06
ETV1	0.471451884519731	0.0433900803334236
AGK	0.157836114392513	0.108317869422824
ALDH3B1	-0.0831545059903823	0.92529088246234
TTC22	0.0563925297203273	0.883461827121433
PHTF2	0.858458246280396	3.43036615140615e-12
CCL26	-0.127367938399938	NA
FARP2	-0.259821308247973	0.198703007233636
USH1C	2.05880231219477	2.7516599389961e-07
GGCT	-0.383588526086762	0.0149611050714438
DBF4	-0.197531176482547	0.29436619624189
TBXA2R	0.686591220740304	0.0024760382018601
IFRD1	-0.491608663374566	0.00156172035604741
LGALS14	0.0657310726304282	0.699911307673203
COX10	-0.248221321321624	0.149822765250422
