gene_name	log2FoldChange	padj	ID
TSPAN6	0.321932102745675	0.0897993762196167	ENSG00000000003
TNMD	-0.00214933670425955	NA	ENSG00000000005
DPM1	0.137682522663412	0.489446644253934	ENSG00000000419
SCYL3	-0.0803921149805052	0.49150274269533	ENSG00000000457
C1orf112	-0.0809114704067249	0.742618964863141	ENSG00000000460
FGR	0.205004967213512	0.455614094967911	ENSG00000000938
CFH	-0.736666253594609	0.000216088192296893	ENSG00000000971
FUCA2	0.104841607413365	0.430984715775299	ENSG00000001036
GCLC	-0.0967442656407238	0.57771536891231	ENSG00000001084
NFYA	-0.0321614864290023	0.899207309664302	ENSG00000001167
STPG1	0.146971647832302	0.329604815903355	ENSG00000001460
NIPAL3	0.52344940240123	1.81603542755724e-05	ENSG00000001461
LAS1L	-0.128360373292875	0.209307173764977	ENSG00000001497
ENPP4	0.104293391913933	0.772144898379438	ENSG00000001561
SEMA3F	0.20226642152046	0.694003199740202	ENSG00000001617
CFTR	-0.396290675987896	0.224614434254796	ENSG00000001626
ANKIB1	0.0330604473636384	0.905581233424126	ENSG00000001629
CYP51A1	0.331037484584697	0.282499155063893	ENSG00000001630
KRIT1	0.0659114021963521	0.82714393692729	ENSG00000001631
RAD52	-0.0911349541247964	0.602027117910553	ENSG00000002016
MYH16	0.275200375295372	0.56378349856344	ENSG00000002079
BAD	0.0306926949919212	0.912395228612557	ENSG00000002330
LAP3	0.0860093365224756	0.562454308910806	ENSG00000002549
CD99	-0.0661475147417378	0.710983432549653	ENSG00000002586
HS3ST1	0.344745705156508	0.021863472679014	ENSG00000002587
AOC1	-0.0906413104631609	NA	ENSG00000002726
WNT16	1.58303559175332	1.09640787662901e-13	ENSG00000002745
HECW1	-0.0733958663309973	0.75840667234801	ENSG00000002746
MAD1L1	-0.289883161607568	0.122120734850168	ENSG00000002822
LASP1	-0.0213539670702462	0.836592261559952	ENSG00000002834
SNX11	0.0805365313519899	0.615061918257181	ENSG00000002919
TMEM176A	-0.831622725567964	0.00150980092437154	ENSG00000002933
M6PR	0.0359817627221637	0.864382529009532	ENSG00000003056
KLHL13	0.083213705099833	0.746024878162947	ENSG00000003096
