gene_name	OsteoarthritisvsNormal_log2FoldChange	OsteoarthritisvsNormal_padj
TSPAN6	-0.102146136645541	0.787803619711116
TNMD	0.00529569845876635	NA
DPM1	-0.0679238900068374	0.760547923731202
SCYL3	-0.035720700908729	0.898073995174292
C1orf112	-0.0752331711747884	0.711829121378072
FGR	6.63315560914572e-06	0.963081442417582
CFH	-0.318856263030205	0.149071241777532
FUCA2	0.0158931769273132	0.959568754533803
GCLC	0.0330076733403992	0.911146721116003
NFYA	-0.0246466536298333	0.932168816425956
STPG1	-0.0603067932657027	0.833348655300561
NIPAL3	0.102014393381469	0.691305135979223
LAS1L	-0.0150569452487781	0.951238854461798
ENPP4	0.424739459024845	0.206178617303161
SEMA3F	0.326791038822588	0.396402354337316
CFTR	0.329187698176838	0.198483900792594
ANKIB1	0.073858020506006	0.778761607880979
CYP51A1	-0.00138850912504796	0.992335232518805
KRIT1	-0.0264881247598373	0.897610704800412
RAD52	-0.171053899983258	0.470824505495497
MYH16	0.188251842213877	0.520116589852784
BAD	0.167620052778029	0.491217047151827
LAP3	0.115618600807675	0.589502124630003
CD99	0.156269417871444	0.486314028970114
HS3ST1	-0.0456267734585774	0.897429454525292
AOC1	-0.0151822529166209	NA
WNT16	-0.0395782386473666	0.855204335249669
HECW1	-0.0822073141160834	0.901986163738831
MAD1L1	0.254022038375531	0.410239734896718
LASP1	-0.12068491278914	0.567243138207896
SNX11	-0.167275207254772	0.468396100029045
TMEM176A	0.100492887575915	0.836458975892945
M6PR	-0.0382839236386141	0.815710754461272
KLHL13	0.0831889611373494	0.795312978001008
CYP26B1	-0.186005483043301	0.52907043581127
ICA1	0.376043970437163	0.210833859859987
DBNDD1	0.13505383985996	0.798436298681032
ALS2	-0.0241048208338958	0.923247963003149
CASP10	0.0495189357810687	0.908030602317265
CFLAR	0.11724702105221	0.792237170050547
TFPI	0.202966404239803	0.463792375391537
NDUFAF7	-0.249452338724686	0.227873038079472
RBM5	-0.139930856469589	0.527482269066589
MTMR7	0.0418278874571171	0.897610704800412
SLC7A2	0.0191209276476347	0.972454654947635
ARF5	-0.0935852587400657	0.674092403260359
SARM1	0.0622910245496648	0.856171015266589
POLDIP2	-0.0573321514591331	0.620196333945442
PLXND1	-0.000763638375496824	0.995015535433417
AK2	-0.191661504440067	0.231971810026974
CD38	0.146645057344753	0.776572395512673
FKBP4	-0.0138542460663872	0.95744768207872
KDM1A	0.126129063297487	0.492084609244574
RBM6	-0.241563759584134	0.181892342607645
CAMKK1	0.0592524360064379	0.867036649810418
RECQL	0.0653405295643251	0.748964881866928
VPS50	0.152415100480052	0.477399687846265
HSPB6	0.251512884992319	0.545137564530707
ARHGAP33	0.282647701635043	0.404163818055771
NDUFAB1	-0.220581432131153	0.396758931851575
PDK4	-0.0866137864283644	0.747556596341604
SLC22A16	-0.192013819903038	0.638198203947297
ZMYND10	0.128872513342248	0.764255089833459
ABCB5	0.169187408557859	NA
ARX	-0.108762619582014	NA
SLC25A13	-0.253581577940926	0.124629909212507
ST7	0.119468554756538	0.595627819956581
CDC27	-0.0104061733808073	0.962236455853476
SLC4A1	-0.363287118205444	0.602469299353166
CALCR	-0.150584129422067	NA
HCCS	-0.00211749438695649	0.99819560398654
DVL2	-0.132551318730006	0.324092219869747
PRSS22	0.000152758209192938	NA
UPF1	-0.0258773839288805	0.898073995174292
SKAP2	0.570272147933068	0.03582507413962
SLC25A5	-0.0883750361762595	0.664152756725325
MCUB	-0.132850402875842	0.652153237845138
HOXA11	-0.0372457311210674	0.872518797565025
POLR2J	-0.0830899564560973	0.747556596341604
DHX33	0.0161093887963114	0.95628651042056
MEOX1	0.256291900927159	0.566252909847523
THSD7A	-0.243951085754158	0.457647312131686
LIG3	-0.134057977812194	0.5986306432269
RPAP3	0.0221326351642705	0.938993599606559
ACSM3	-0.144356709360572	0.739384222939518
REXO5	0.165098143308546	0.659670624443654
CIAPIN1	-0.0541635831850298	0.732367119390537
SPPL2B	0.161230726608143	0.56830808642047
FAM214B	-0.0372005839777829	0.834972427580328
COPZ2	0.297949404165743	0.397510160182379
PRKAR2B	0.224487943231534	0.543206617331207
MSL3	-0.0043834176853557	0.986515398712416
CREBBP	0.107551497478325	0.780995380883647
TSPOAP1	0.376940666068546	0.266381140299711
MPO	-0.299321514245124	0.706583029401523
PON1	-0.148322570453515	NA
GCFC2	-0.106642659663903	0.651667201717844
WDR54	0.112883953888445	0.653656783209438
CROT	0.0301351412734686	0.922695300518153
ABCB4	0.189827272440663	0.675939426541105
KMT2E	-0.0168422974820929	0.956633828629876
RHBDD2	-0.0543249043064277	0.837167510171217
SOX8	-0.193222240739757	0.440105862919926
IBTK	0.000625301694164275	0.99819560398654
ZNF195	-0.153506974663884	0.436820343105596
MYCBP2	-0.129663649451841	0.454855385001093
FBXL3	0.146933866441741	0.346584604323096
ITGAL	-0.0649146857157601	0.925852805369494
PDK2	0.231403458195824	0.373367565058299
ITGA3	0.242912840614993	0.424543628861151
ZFX	0.0212219548397664	0.936454066666399
LAMP2	0.180412037978203	0.368700069171773
ITGA2B	-0.0681927925551764	0.821483685430926
ASB4	0.121988816568297	0.794360070648146
GDE1	0.0141826485392854	0.953354262720904
REX1BD	0.339364919398972	0.25664680006729
CRLF1	0.559370100950295	0.0795538740863397
OSBPL7	0.0203123833754193	0.979710610749543
TMEM98	-0.0386201911711066	0.901986163738831
YBX2	0.0551756290504862	NA
KRT33A	NA	NA
MAP3K14	-0.15848455218164	0.581143186255277
ABCC8	0.0568139800313431	0.91268627284395
CACNG3	-0.00166161165227405	NA
TMEM132A	0.156872084913403	0.785813740516416
AP2B1	0.130501459390801	0.473514960701292
