gene_name	Injured_MRL_MpJ_1_day_post_injuryvsUninjured_MRL_MpJ_1_day_post_injury_log2FoldChange	Injured_MRL_MpJ_1_day_post_injuryvsUninjured_MRL_MpJ_1_day_post_injury_padj
Gnai3	0.0595016391195997	0.951195970449009
Pbsn	NA	NA
Cdc45	-0.0377277133343775	1
Scml2	0.148837705611722	1
Apoh	-0.230343324514094	1
Narf	-0.271356927043942	0.310923637776355
Cav2	0.0721569589647645	1
Klf6	0.11125578823575	0.756827756448714
Scmh1	0.0655393977045888	1
Cox5a	-0.22432298788596	0.751310568301663
Tbx2	-0.047988608811907	1
Tbx4	0.169799084542815	1
Zfy2	NA	NA
Ngfr	0.418290336213728	0.886394029729441
Wnt3	-0.00696349351939405	1
Wnt9a	-0.283271465372015	0.789993950360204
Fer	0.0465098126352777	1
Xpo6	0.0613378130207759	1
Tfe3	-0.0483317106964052	1
Axin2	-0.431975015574844	0.679610737170324
Brat1	0.016353292528107	1
Gna12	-0.0312096910104864	1
Slc22a18	0.238668172145643	1
Itgb2l	-0.10145117463737	1
Igsf5	0.941424940723104	0.728122238912387
Pih1d2	0.249855576750776	1
Dlat	-0.405432670276927	0.272129987387895
Sdhd	-0.313501123288241	0.151396452653801
Fgf23	-0.370380133680074	1
Fgf6	-0.579586761980476	0.324901288647606
Ccnd2	0.0800120523435406	0.986929029913957
Gpr107	0.0130937040450204	1
Nalcn	-0.0167406919320345	1
Btbd17	0.223738267095636	1
Slfn4	-0.0437587172199043	1
Th	0.0185532188860529	1
Ins2	0	NA
Scnn1g	0	NA
Drp2	-0.174663693636992	0.963220272879966
Tspan32	-0.219713986819987	0.764528714694904
Lhx2	0.489291446693418	0.964231601018436
Clec2g	0.284832514217513	1
Gmpr	-0.658902330207605	0.032493800377207
Glra1	-0.0893494022613594	1
Mid2	0.082655494274352	1
Trim25	0.0513013292626484	1
Dgke	-0.17443875594078	0.824730128154547
Scpep1	0.151249285565486	0.878955858701557
Mnt	0.0145927276785271	1
Itgb2	-0.069941832305131	1
Hddc2	0.0169736918827602	1
Tpd52l1	-0.155863399208617	1
Pemt	0.404513828837863	0.918403541318755
Cdh1	0.162463128852327	1
Cdh4	-0.344077706851838	0.937891063173948
Ckmt1	-0.357022355495269	1
Bcl6b	-0.34234888721278	0.519150046346809
Clec10a	0.205863339568083	1
Alox12	-0.0780477663629516	1
Arvcf	-0.21625381975568	0.904805720621606
Comt	0.00908672855753954	1
Rtca	0.0789656884854149	1
Dbt	-0.515884978421562	0.179017339397472
Dazap2	0.059961522965616	0.912562120907053
Mcts1	-0.171155234057841	0.855157195580276
Rem1	-0.186677938541808	1
Rnf17	-1.4306982746376	0.103087072995187
Trappc10	-0.0932574809527118	0.84892149867399
Ccm2	0.0818994373999717	1
Wap	0	NA
Tbrg4	-0.0487982437038717	1
Tmprss2	-0.248486733201502	1
Mx1	0.256127459011676	1
Fap	-0.0387817317800224	1
Gcg	-0.00923429837239912	1
Ndufa9	-0.19591544743298	0.696641545311836
Egfl6	0.0414359218478717	1
Lck	-0.305558448819913	0.818611622554405
Tssk3	0.58978139354824	0.846248350955113
Cttnbp2	-0.227706473878448	1
Galnt1	-0.00807092815590734	1
Myf5	0.378778287717076	1
Mkrn2	-0.227801873568095	0.521454267403779
Pparg	-0.0921992171429318	1
Raf1	-0.0413686156217975	1
Sept1	-0.0177385673402933	1
Pdgfb	0.0394354251938014	1
Acvrl1	-0.13000711582801	0.983918487374779
Grasp	0.0596394713602603	1
Acvr1b	0.49640468545615	0.00101875330676333
Tom1l2	-0.220920107181383	0.626094749184439
Gpa33	0.0100900276837865	NA
Zfp385a	-0.0308041009667626	1
Itga5	0.651273875317288	0.0432424836418014
Gabra2	-0.0792068684605145	1
Wdr77	0.129710512834503	0.782561411910558
Adora3	0.154425537286552	1
Atp5f1	-0.177306874104565	0.762032539637235
Sox9	0.30066143525122	0.824730128154547
Hnrnpd	0.0807447504004101	1
Dynlt1c	-0.467007322669467	0.646911519402394
C1d	-0.0222918221794479	1
Gm2a	0.0801966087063573	0.918754616824064
Krit1	0.0487170501289435	1
Clcn4	0.0337881749442689	1
Vmn2r88	-0.675685057945767	0.786164038271171
Grm6	-0.247457144496481	1
Sema4f	-0.265804101348902	0.991444793178164
Hk2	-0.222470998855319	0.886212697144733
Myo18a	0.124561518846561	0.905600002169699
Sez6	-0.0446048596356701	1
Haao	-0.421406231478326	0.81472841533422
Cd52	-0.0663601171588978	1
Abhd15	-0.317743662313502	0.912255508101876
Hoxb6	0.318363804999981	0.962824611541316
Loxl3	0.509201316183983	0.424501897415624
Tcl1b5	NA	NA
Btn1a1	-0.205779538846872	1
Kat2b	-0.137536038888279	0.92182953870687
Rab5b	-0.064756181305919	0.875190729886017
Cryba1	-0.678399166454523	0.825859763489445
Dnmt3l	1.13623940090136	0.184782353181375
Aire	-0.807867885863062	0.682252585207978
Icosl	-0.0110164304828074	1
Spg7	-0.11890002405864	0.912255508101876
Sult5a1	-0.237105126223713	1
Rpl13	-0.0688363336404389	1
Chmp1a	0.0624719773141243	0.969373191468885
Rpa1	-0.135999313067792	0.795676954240604
Serpinf1	0.227852366360096	0.605690863996148
Tubgcp3	-0.0261504326100813	1
Oprm1	-0.205941596105361	1
Polr3d	0.444810766144265	0.132292100146781
Tcf7	0.00218257415759942	1
Ddx3x	-0.0353491793834909	1
Il12rb1	0.209006200980672	1
Slc5a5	0.535359976752096	0.904754426182036
Kcnn3	0.0990979958798716	1
Usp32	-0.010902574399936	1
