gene_name	Injured_C57BL_6_1_day_post_injuryvsUninjured_C57BL_6_1_day_post_injury_log2FoldChange	Injured_C57BL_6_1_day_post_injuryvsUninjured_C57BL_6_1_day_post_injury_padj
Gnai3	-0.0245853468115024	1
Pbsn	NA	NA
Cdc45	0.0207191790405424	1
Scml2	0.32004414448238	1
Apoh	-0.608898293874562	1
Narf	-0.170633111904214	1
Cav2	0.146673202624298	1
Klf6	0.095201796993086	1
Scmh1	-0.00622016440842104	1
Cox5a	0.0380253363766848	1
Tbx2	-0.00859648293191014	1
Tbx4	0.417765440245802	0.870832176928894
Zfy2	NA	NA
Ngfr	0.0404683669087029	1
Wnt3	-0.201493490786278	1
Wnt9a	0.230929912449081	1
Fer	0.0514687517712957	1
Xpo6	-0.0999779801456821	1
Tfe3	0.260242368238999	0.637060605304448
Axin2	0.0373308458865152	1
Brat1	0.0411868762021867	1
Gna12	0.0772513679326229	1
Slc22a18	0.952712620142288	0.587067083335023
Itgb2l	-0.304466722820098	0.660523328463081
Igsf5	1.06254897688486	0.685143387172633
Pih1d2	0.0661948369447572	1
Dlat	-0.128777604479461	1
Sdhd	-0.0592438963017645	1
Fgf23	0.297798973632979	1
Fgf6	0.0973626399748951	1
Ccnd2	0.01168963475237	1
Gpr107	0.303482545630563	0.873141822418969
Nalcn	-0.149884837596052	1
Btbd17	-0.64021328647952	1
Slfn4	-0.264083450943372	0.916978481185556
Th	0	1
Ins2	0.0101630669148518	NA
Scnn1g	0	NA
Drp2	0.212873159376081	1
Tspan32	-0.156262209838591	1
Lhx2	0.46314657178505	1
Clec2g	0.34673371683805	1
Gmpr	-0.195229267345146	1
Glra1	-0.121141604442044	1
Mid2	0.110611393161184	1
Trim25	0.0302185503944675	1
Dgke	-0.104846085776706	1
Scpep1	0.181958975620629	1
Mnt	-0.0948353168149937	1
Itgb2	-0.177959963968345	0.93807940928151
Hddc2	0.0811916817090954	1
Tpd52l1	0.0322481400645135	1
Pemt	0.580191565034244	1
Cdh1	0.181668519710831	1
Cdh4	-0.386614700706496	1
Ckmt1	-0.0269805907014143	1
Bcl6b	0.0856453688002745	1
Clec10a	0.0682754571063542	1
Alox12	-0.181907686261243	0.999454628453245
Arvcf	-0.0921522193070315	1
Comt	0.172292798277715	0.735755201468886
Rtca	0.0502083108146523	1
Dbt	0.180498308738411	1
Dazap2	0.0326758033200082	1
Mcts1	0.150627799213689	1
Rem1	0.464357103077733	1
Rnf17	0.16606565737148	1
Trappc10	-0.124499949886553	0.993896089119739
Ccm2	0.0977441483571411	1
Wap	0	NA
Tbrg4	-0.148404628161481	1
Tmprss2	0.995955779078571	0.720881097254296
Mx1	0.0972599053233637	1
Fap	-0.120282270895309	1
Gcg	0.0106347868341174	1
Ndufa9	-0.0100689975191247	1
Egfl6	0.238052251038552	1
Lck	-0.539041279414734	0.637501629038489
Tssk3	0.249027540988965	1
Cttnbp2	0.250568916468363	1
Galnt1	0.0399307152650859	1
Myf5	0.71613268006132	0.999454628453245
Mkrn2	0.015818954278448	1
Pparg	-0.3043567867826	0.870832176928894
Raf1	-0.0743113854344826	1
Sept1	-0.0414286177294146	1
Pdgfb	0.138606673197076	1
Acvrl1	-0.159872933661262	1
Grasp	0.254760668977977	0.994824200333438
Acvr1b	-0.00593104124124256	1
Tom1l2	-0.220089769947952	0.923341276625837
Gpa33	0.00767214990571677	1
Zfp385a	0.0371240545419457	1
Itga5	0.36979436718053	0.83546645706203
Gabra2	0.117750947423383	1
Wdr77	0.111001212655732	1
Adora3	-0.0635060232294966	1
Atp5f1	0.0485921924580005	1
Sox9	0.0632630817826539	1
Hnrnpd	0.00214903021345534	1
Dynlt1c	0.283068937667416	1
C1d	0.0744344563052784	1
Gm2a	0.0784130276302345	1
Krit1	-0.0113941769596189	1
Clcn4	-0.0116192156303362	1
Vmn2r88	-0.313936418196339	1
Grm6	0.704013375446671	1
Sema4f	-0.0805620457035158	1
Hk2	0.106778609328517	1
Myo18a	-0.0460836740464885	1
Sez6	0.15995590810705	1
Haao	-0.159294565310978	1
Cd52	-0.0425773107492557	1
Abhd15	-0.617138427838693	0.707049453604576
Hoxb6	-0.129247641471954	1
Loxl3	0.501201223792912	0.753919471973063
Tcl1b5	NA	NA
Btn1a1	-0.233130885212479	1
Kat2b	0.0401668908105077	1
Rab5b	-0.01213314968023	1
Cryba1	-0.199850763765796	1
Dnmt3l	-0.418416356161078	1
Aire	0.265476591347159	1
Icosl	-0.074407573214622	1
Spg7	-0.00708771064241563	1
Sult5a1	-0.221893415704065	1
Rpl13	-0.00644168215756956	1
Chmp1a	-0.07223878275023	1
Rpa1	-0.0998549960685867	1
Serpinf1	-0.0520440891432217	1
Tubgcp3	-0.0323859190146901	1
Oprm1	-0.45221377553172	1
Polr3d	0.0577612951850586	1
Tcf7	-0.0426138868568891	1
Ddx3x	-0.0507163190347967	1
Il12rb1	-0.338885010724672	1
Slc5a5	-0.177041546893565	1
Kcnn3	0.226725804295633	1
Usp32	-0.109634398058905	1
Car4	0.421519157032564	1
Txnrd3	-0.0245716717535978	1
Fasl	-0.140923304689403	1
Zfp512b	0.0557230689202051	1
Dnajc5	-0.168111558676161	0.66803805291852
Tpd52l2	-0.0155503532122166	1
Fmr1	0.0412491597174592	1
Bcl11a	-0.0516689491827016	1
Il4	0.217998066189487	1
Pxmp4	-0.0335172381912963	1
Dlg3	0.102991532007459	1
Gnb1l	-0.146803094504273	1
Dbh	0	NA
Mmp11	0.613544982425333	0.749027131921509
Smarcb1	0.019963789415624	1
Vpreb3	-0.229269253908667	1
Hip1r	-0.0928955413564655	1
Nsun5	-0.0672007124379936	1
Top1mt	0.0708828352877124	1
Hoxa10	-0.00335806690557206	1
Hoxa4	0.141672330072462	1
Gm38393	0.163352931983079	1
Mmp14	0.213214772966116	1
Slc7a7	0.127972844701651	1
Oxa1l	0.0417138438384877	1
Heatr6	-0.339629092981907	0.844819935280221
Ccl3	0.17857839077974	1
Wfdc18	0.740273035491291	1
Icam4	-0.350928587933555	1
Ilf2	-0.0338953391941346	1
Chtop	-0.0216382447034725	1
Snapin	0.0530006285993757	1
S100a4	0.227629192703976	1
S100a3	-0.250593848444461	1
S100a5	-0.494618339965078	1
S100a6	0.0532270562010545	1
Scn4a	-0.111087345067997	1
Icam2	-0.0326391363255646	1
Mapk7	-0.0346657031434264	1
Epn2	-0.0828032274318822	1
B9d1	0.072624953031135	1
Sec24b	0.109505185537079	1
N4bp3	0.0491231766198117	1
Rmnd5b	-0.171397846887896	0.936750119845032
Nhp2	0.0692301507185692	1
Vps9d1	0.167124150475672	1
Zfp276	-0.0575639663627431	1
C1ql4	-0.174157475808908	1
Mfsd10	-0.189264201746357	1
Luzp1	-0.00574409721580896	1
Slc13a2	-0.330243274490338	1
Kctd10	0.0257690059134848	1
Poldip2	0.0503121655683928	1
Sebox	0	1
Ift20	-0.0115053540471848	1
Col6a1	0.240518343032913	1
Pcbp3	0.105575088972171	1
Lgals9	0.00891891857355428	1
Araf	-0.0109710927333956	1
Cfp	0.102557422070548	1
Timp1	0.76150640419038	0.64500714987956
Uxt	0.0462481570855118	1
Cnnm3	-0.00634299839002778	1
Lman2l	-0.0977255552058255	1
