gene_name	Injured_STR_ort_1_day_post_injuryvsUninjured_STR_ort_1_day_post_injury_log2FoldChange	Injured_STR_ort_1_day_post_injuryvsUninjured_STR_ort_1_day_post_injury_padj
Gnai3	0.0996755247870354	0.412469540871926
Pbsn	NA	NA
Cdc45	0.0918627492192987	0.747629745495145
Scml2	0.0538363658898718	0.979766717005988
Apoh	-1.01862682027703	0.220711427847367
Narf	-0.348405113229919	0.0438350700357439
Cav2	-0.041262207762516	0.955257835152319
Klf6	0.139604448481214	0.345191836094314
Scmh1	-0.153419814505463	0.676884017517688
Cox5a	-0.213013522544763	0.565631838665154
Tbx2	-0.188933748737599	0.532288013162457
Tbx4	-0.531252060227593	0.0935211054710706
Zfy2	NA	NA
Ngfr	-0.167170267533476	0.891877553951748
Wnt3	0.114789512438413	NA
Wnt9a	-0.65842136172415	0.0255859115225225
Fer	0.129763292988473	0.762034538414353
Xpo6	0.0421530428425254	0.951329324287031
Tfe3	0.0246376221163803	0.962306720397782
Axin2	-0.450820726371456	0.436172311283194
Brat1	0.0623760044282038	0.841711343499336
Gna12	-0.00716798026778448	1
Slc22a18	-0.509562465841951	0.674638239904443
Itgb2l	-0.113767799173862	0.782424983496262
Igsf5	0.0768595634736177	0.971444395941827
Pih1d2	-0.230829123625242	0.858532498314469
Dlat	-0.0758130544431753	0.920305434985899
Sdhd	-0.126467361977741	0.667424892506001
Fgf23	-0.103584941122931	0.966037302455803
Fgf6	-0.654252490349325	0.103968655210364
Ccnd2	-0.0954789598534473	0.688088653170926
Gpr107	-0.0108762608736152	1
Nalcn	-0.351933640781348	0.755139092998804
Btbd17	-0.595980654434863	NA
Slfn4	-0.0429573898399941	0.951383496245016
Th	0.00777512177543531	NA
Ins2	0	NA
Scnn1g	-0.00828139022014835	NA
Drp2	-0.262820103655046	0.537143543942258
Tspan32	-0.0686184537692527	0.932335982436914
Lhx2	0.590606573041769	0.639391783101227
Clec2g	0.0976626816306563	0.947686497106705
Gmpr	-0.818372684944718	0.000903947580093547
Glra1	0.0690065948122323	NA
Mid2	0.185245696439085	0.539805282572722
Trim25	-0.0144913898011023	0.992840625880381
Dgke	-0.00149547912627006	1
Scpep1	-0.0362228636848363	0.954107695568434
Mnt	0.143643405940458	0.747473741154378
Itgb2	0.065359407287681	0.857140396512156
Hddc2	0.42803960628511	0.0128736182222796
Tpd52l1	-0.627267078191072	0.0561616800147455
Pemt	0.582973500256162	0.426815767905294
Cdh1	1.02670369398781	3.51825086079005e-05
Cdh4	-0.729821169720182	0.198486632005779
Ckmt1	0.62537196042633	0.419746095619791
Bcl6b	-0.259573959985628	0.487720449828759
Clec10a	0.053311698277482	0.951575622467251
Alox12	-0.15390683486869	0.585764604936157
Arvcf	0.0348836445403985	0.976779899648458
Comt	0.0638590775120678	0.793992212099808
Rtca	0.271115831703153	0.209037117688228
Dbt	-0.259979043339342	0.568008683028638
Dazap2	0.0151307651805798	0.948963330118215
Mcts1	0.207943380577954	0.463195692719856
Rem1	-0.240788031490713	0.841402904272228
Rnf17	-0.46855059375908	0.742325174110643
Trappc10	-0.00792909960981145	1
Ccm2	-0.0915374754971394	0.825153125864167
Wap	0	NA
