gene_name	Injured_MRL_MpJ_1_week_post_injuryvsUninjured_MRL_MpJ_1_week_post_injury_log2FoldChange	Injured_MRL_MpJ_1_week_post_injuryvsUninjured_MRL_MpJ_1_week_post_injury_padj
Gnai3	0.0783497094855071	1
Pbsn	NA	NA
Cdc45	0.0427819514405245	1
Scml2	-0.216974944525763	1
Apoh	-0.760129203551295	0.887034730688531
Narf	-0.100385990174569	1
Cav2	-0.196176060120004	1
Klf6	0.086411273623072	1
Scmh1	-0.00444220397345771	1
Cox5a	-0.266683083719031	0.871125526951561
Tbx2	0.232462776488807	0.906405180079779
Tbx4	0.189626297614143	1
Zfy2	NA	NA
Ngfr	-0.0556418493145842	1
Wnt3	-0.131405080596789	1
Wnt9a	0.000690301080382405	1
Fer	0.0285817810477748	1
Xpo6	-0.0322324766549272	1
Tfe3	0.0566655100955225	1
Axin2	-0.446932401906694	0.871205122401036
Brat1	0.209646275018924	0.794132138223418
Gna12	0.177302692876756	0.729158038572529
Slc22a18	0.364905207571202	1
Itgb2l	0.106169834269918	1
Igsf5	0.0399895623119056	1
Pih1d2	-0.345823097951478	1
Dlat	-0.229436573629817	0.991250982134682
Sdhd	-0.119405627550852	1
Fgf23	-0.307098613511734	1
Fgf6	-0.189571661782835	1
Ccnd2	0.141662761891452	0.912071490781483
Gpr107	0.0754894671083385	1
Nalcn	0.437708069934656	1
Btbd17	-0.406267374539072	1
Slfn4	-0.035699731640902	1
Th	0	1
Ins2	0.0086755104428461	1
Scnn1g	0	1
Drp2	-0.250874361726034	0.989247677057309
Tspan32	0.0875041374260117	1
Lhx2	-1.61856221311268	0.220549916259783
Clec2g	0.0651552299797553	1
Gmpr	-0.371009706222276	0.785322895755147
Glra1	0.160917471955762	1
Mid2	-0.0139009853588356	1
Trim25	-0.0842117835363874	1
Dgke	-0.109221830219578	1
Scpep1	0.185007410626806	0.954255186472045
Mnt	0.103082575213361	1
Itgb2	0.0680212808071635	1
Hddc2	-0.30133275925067	0.651753996099296
Tpd52l1	-0.48403539917954	0.658301226531337
Pemt	-0.139314219446969	1
Cdh1	0.0100740179560386	1
Cdh4	-0.541303365468291	0.876011823404937
Ckmt1	-0.136103836210097	1
Bcl6b	-0.30516763340302	0.839540733907405
Clec10a	-0.299061149667169	1
Alox12	0.0620260557947244	1
Arvcf	-0.00528967925268313	1
Comt	0.0728032194590878	1
Rtca	-0.128258181409984	1
Dbt	0.201875662822737	1
Dazap2	0.0101878904868301	1
Mcts1	-0.26330956896475	0.814432944280863
Rem1	0.547278862607822	0.975604588566289
Rnf17	-0.654554635983335	1
Trappc10	0.015748935163501	1
Ccm2	-0.0128917765441866	1
Wap	0.00918734751508406	1
Tbrg4	-0.365938884396589	0.35882455133321
Tmprss2	-0.314995139898121	1
Mx1	-0.412448499105508	0.951922807627288
Fap	0.180333080132717	0.970175015439946
Gcg	0	1
Ndufa9	-0.349079560325051	0.503005827683534
Egfl6	0.265028716042065	1
Lck	-0.119904261535152	1
Tssk3	0.250462327914211	1
Cttnbp2	0.235791997148431	1
Galnt1	-0.0313488840464708	1
Myf5	-0.270112368807144	1
Mkrn2	-0.133568977944322	1
Pparg	-0.057100075616026	1
Raf1	-0.102984697783619	1
Sept1	0.0552533104519922	1
Pdgfb	-0.0143217295901812	1
Acvrl1	0.0523986387282401	1
Grasp	-0.0118907644308996	1
Acvr1b	-0.0412372508897942	1
Tom1l2	-0.0917554496313222	1
Gpa33	-0.00515216028782228	1
Zfp385a	0.113206789781234	1
Itga5	0.209550375627603	1
Gabra2	0.0757101642819338	1
Wdr77	0.0970747448072074	1
Adora3	0.153962318964783	1
Atp5f1	-0.279821585009402	0.682898917174098
Sox9	0.166069380796973	1
Hnrnpd	-0.0188390002116244	1
Dynlt1c	0.0149422834351502	1
C1d	0.00707268314885006	1
Gm2a	0.092474950646182	1
Krit1	-0.120244648071891	0.801581199443076
Clcn4	0.0784315000524081	1
Vmn2r88	-0.68316495094762	1
Grm6	-0.0987189661963595	1
Sema4f	0.227424842937757	1
Hk2	-0.309045039195294	0.889534759054975
Myo18a	-0.271572549308274	0.593910403005518
Sez6	0.32514125678935	1
Haao	0.426358066975388	0.944294248512249
Cd52	0.134713823398256	1
Abhd15	0.369866317922957	0.999521492824654
Hoxb6	-0.252037306124361	1
Loxl3	0.399465495221718	0.874752257934695
Tcl1b5	NA	NA
