gene_name	Injured_C57BL_6_1_week_post_injuryvsUninjured_C57BL_6_1_week_post_injury_log2FoldChange	Injured_C57BL_6_1_week_post_injuryvsUninjured_C57BL_6_1_week_post_injury_padj
Gnai3	0.0523393572194166	1
Pbsn	NA	NA
Cdc45	0.157964625499267	1
Scml2	0.183976785538152	1
Apoh	0.280428871473216	1
Narf	0.026859972135313	1
Cav2	-0.0798312256998595	1
Klf6	-0.00755214936403533	1
Scmh1	-0.15713514140599	1
Cox5a	-0.0653422645871088	1
Tbx2	0.153666219957079	1
Tbx4	-0.423813103111534	1
Zfy2	NA	NA
Ngfr	-0.538108630920454	1
Wnt3	-0.043315755858436	1
Wnt9a	-0.143060868554133	1
Fer	-0.0409911215120564	1
Xpo6	0.0435345582184406	1
Tfe3	0.0828950476718177	1
Axin2	-0.531115204034651	0.992755404989805
Brat1	0.113278040426772	1
Gna12	0.0966108306698487	1
Slc22a18	-0.196241760875353	1
Itgb2l	0.137358119709911	1
Igsf5	-0.000980527757800161	1
Pih1d2	-0.0205781347479857	1
Dlat	0.0440403264822153	1
Sdhd	-0.0182366115266563	1
Fgf23	-0.257319542310349	1
Fgf6	-0.16514409501659	1
Ccnd2	-0.0762018362853522	1
Gpr107	0.107634216820336	1
Nalcn	-0.0877361747497487	1
Btbd17	0.546441633525579	1
Slfn4	0.132765108629928	1
Th	0.000900133965473789	1
Ins2	0	NA
Scnn1g	0	NA
Drp2	-0.0957109725578709	1
Tspan32	-0.000119034960988141	1
Lhx2	0.110861636217741	1
Clec2g	0.253544493186822	1
Gmpr	-0.213714897336963	1
Glra1	-0.14639281188955	1
Mid2	-0.210512944965397	1
Trim25	0.113843182595023	1
Dgke	0.0292100035426311	1
Scpep1	-0.10477407444803	1
Mnt	-0.0539966086844773	1
Itgb2	0.173944546490579	1
Hddc2	0.0180415333961433	1
Tpd52l1	-0.14488161251375	1
Pemt	-0.279763954735305	1
Cdh1	0.221112395684335	1
Cdh4	-0.46965947658294	1
Ckmt1	-0.565805506720665	1
Bcl6b	0.17733897708728	1
Clec10a	-0.0505273548181053	1
Alox12	0.0972330806979415	1
Arvcf	0.051359879125317	1
Comt	-0.0149368138570254	1
Rtca	0.0148721310276664	1
Dbt	-0.196576607468944	1
Dazap2	0.094940283468901	1
Mcts1	0.125557612244728	1
Rem1	0.309543665197782	1
Rnf17	0.210757243204013	1
Trappc10	0.0407276820340349	1
Ccm2	0.0744358109923907	1
Wap	0	NA
Tbrg4	0.0604390021657207	1
Tmprss2	-0.169543701157075	1
Mx1	0.17205310126901	1
Fap	-0.121366190537793	1
Gcg	-0.00519328565746799	1
Ndufa9	-0.0154378629939103	1
Egfl6	-0.108323705878581	1
Lck	0.411152950980389	1
Tssk3	-0.150947676974054	1
Cttnbp2	0.319368245767933	1
Galnt1	-0.00886061615901799	1
Myf5	-0.335146114336361	1
Mkrn2	-0.117110437980827	1
Pparg	0.518250537082979	0.557192732347137
Raf1	0.051086231752797	1
Sept1	0.118808593718049	1
Pdgfb	-0.0557279490689948	1
Acvrl1	0.0945140228689221	1
Grasp	-0.280479318627846	1
Acvr1b	-0.179706380859178	1
Tom1l2	-0.0338916939964551	1
Gpa33	-0.00327517468149024	1
Zfp385a	0.243579026368124	1
Itga5	-0.194624303281254	1
Gabra2	-0.040922478490577	1
Wdr77	0.03793246223175	1
Adora3	-0.269945168497371	1
Atp5f1	0.0296329964445283	1
Sox9	-0.223143339919262	1
Hnrnpd	0.122414206314998	1
Dynlt1c	0.189651757746751	1
C1d	0.0482555998816701	1
Gm2a	0.0501780736904325	1
Krit1	0.0157510663682962	1
Clcn4	-0.0345675689606534	1
Vmn2r88	0.000796246950702722	1
Grm6	0.221397905559363	1
Sema4f	0.0610730349339525	1
Hk2	0.0756977656338223	1
Myo18a	0.0586488481453226	1
Sez6	-0.0737243149909581	1
Haao	-0.0999787505236104	1
Cd52	0.0421991872244167	1
Abhd15	0.201608250693092	1
Hoxb6	0.128637042605238	1
Loxl3	-0.136342564497999	1
Tcl1b5	NA	NA
Btn1a1	0.287416168793205	1
Kat2b	-0.30049006148832	0.878884932291084
Rab5b	0.0395310401918467	1
Cryba1	-0.250257658652632	1
Dnmt3l	0.459338637471415	1
Aire	-0.841228506616691	1
Icosl	-0.0210055643783536	1
Spg7	-0.0281570040974754	1
Sult5a1	-0.0164537911292127	1
Rpl13	0.0268146854083191	1
Chmp1a	0.105975796333434	1
Rpa1	0.0109792398834955	1
Serpinf1	-0.0904717421532396	1
Tubgcp3	0.0118458736807884	1
Oprm1	0.458936662567782	1
Polr3d	0.114148461016428	1
Tcf7	0.0628231526032484	1
Ddx3x	-0.0251976932833497	1
Il12rb1	0.0944901462506034	1
Slc5a5	0.0803536118978433	1
Kcnn3	-0.623073397755983	0.964078885356795
Usp32	0.13082847524733	1
Car4	-0.265743563623431	1
Txnrd3	-0.0959931389039352	1
Fasl	0.479021927828513	1
Zfp512b	0.086124061590314	1
Dnajc5	0.109905174517013	1
Tpd52l2	-0.018127582741357	1
Fmr1	0.0255968933722813	1
Bcl11a	0.110150092902022	1
Il4	0.705443577617546	0.968827733550204
Pxmp4	0.137036779797122	1
Dlg3	-0.162928992692945	1
Gnb1l	0.189617425812489	1
Dbh	0.00951075554673585	NA
Mmp11	0.190460029619549	1
Smarcb1	0.0588572185886326	1
Vpreb3	0.212582852099935	1
Hip1r	0.205391439037922	1
Nsun5	0.0931289802220183	1
Top1mt	-0.0766945008144025	1
