gene_name	Injured_MRL_MpJ_2_weeks_post_injuryvsUninjured_MRL_MpJ_2_weeks_post_injury_log2FoldChange	Injured_MRL_MpJ_2_weeks_post_injuryvsUninjured_MRL_MpJ_2_weeks_post_injury_padj
Gnai3	0.0301760677327218	1
Pbsn	NA	NA
Cdc45	-0.0594539598650465	1
Scml2	0.205162356069067	1
Apoh	0.289032918411675	1
Narf	0.02991494142185	1
Cav2	-0.0696802099412507	1
Klf6	0.00320468410402927	1
Scmh1	-0.0877358225114398	1
Cox5a	-0.11596221739171	1
Tbx2	0.0507830762836207	1
Tbx4	0.553372437136192	0.816735355889943
Zfy2	NA	NA
Ngfr	0.065224384024211	1
Wnt3	0	1
Wnt9a	-0.0570045688493505	1
Fer	-0.154486100498002	1
Xpo6	-0.0794879627472339	1
Tfe3	-0.125846719278534	1
Axin2	-0.170616942858043	1
Brat1	0.000752649577772825	1
Gna12	0.0801980645079931	1
Slc22a18	0.864457334972127	0.692265485743223
Itgb2l	-0.0179678040260953	1
Igsf5	-0.543291554917973	1
Pih1d2	-0.145196467221515	1
Dlat	-0.0788282207750856	1
Sdhd	-0.0320192702895992	1
Fgf23	-0.482739470866341	1
Fgf6	-0.131472385687499	1
Ccnd2	0.20140513794984	0.777895667205684
Gpr107	-0.0898892301824817	1
Nalcn	0.118960174145598	1
Btbd17	0.539476275650359	1
Slfn4	-0.105613125330814	1
Th	-0.00789868269453077	1
Ins2	0	1
Scnn1g	0	1
Drp2	0.0604188361401249	1
Tspan32	-0.00948335260322563	1
Lhx2	0.75819331748317	1
Clec2g	0.909385177203499	1
Gmpr	-0.0767378346082543	1
Glra1	0.0632551825172372	1
Mid2	0.108064643308394	1
Trim25	0.040869282587439	1
Dgke	-0.163609382146947	1
Scpep1	0.25642098648909	1
Mnt	0.0427522527389699	1
Itgb2	0.0537686801654335	1
Hddc2	0.0577430618062292	1
Tpd52l1	-0.243227017297538	1
Pemt	0.399529195375489	1
Cdh1	0.0315864640775805	1
Cdh4	-0.3272065120804	1
Ckmt1	0.0689988941747615	1
Bcl6b	0.109819271927599	1
Clec10a	0.287625246473844	1
Alox12	-0.0418586266045132	1
Arvcf	-0.154041242887641	1
Comt	0.0336913056090671	1
Rtca	0.0904841648417602	1
Dbt	-0.00330340175089739	1
Dazap2	0.0416853765267816	1
Mcts1	-0.127425346067505	1
Rem1	0.2231414616843	1
Rnf17	0.762750043308809	0.731061870904327
Trappc10	-0.0750266984365305	1
Ccm2	-0.0219081781377239	1
Wap	0	NA
Tbrg4	-0.124651311432208	1
Tmprss2	0.33087006312574	1
Mx1	-0.308983149696922	1
Fap	0.424753664540323	0.117943805615114
Gcg	-0.0142411813107162	1
Ndufa9	-0.0669968900538497	1
Egfl6	0.464053962474163	1
Lck	-0.0857649163397716	1
Tssk3	0.0335912072035223	1
Cttnbp2	0.118908108122144	1
Galnt1	0.0525379924516821	1
Myf5	-0.223957408716981	1
Mkrn2	-0.185129876954921	1
Pparg	-0.0221500992652864	1
Raf1	-0.0282935408969153	1
Sept1	-0.13287053390543	1
Pdgfb	-0.00747111289610054	1
Acvrl1	0.400023494915772	0.353280919003495
Grasp	0.359680634949793	0.951141159113477
Acvr1b	-0.0471331880328782	1
Tom1l2	-0.043268399584814	1
Gpa33	-0.00754894310437711	1
Zfp385a	0.119230029416719	1
