gene_name	Injured_C57BL_6_2_weeks_post_injuryvsUninjured_C57BL_6_2_weeks_post_injury_log2FoldChange	Injured_C57BL_6_2_weeks_post_injuryvsUninjured_C57BL_6_2_weeks_post_injury_padj
Gnai3	-0.0636035295230335	0.683664305234414
Pbsn	NA	NA
Cdc45	-0.307289968550726	0.0727134863179201
Scml2	-0.242301175613634	0.757956537228169
Apoh	0.25538554543754	NA
Narf	-0.141825073078838	0.621326484211462
Cav2	0.0704597897466233	0.934292619398651
Klf6	0.0367416991047514	0.890173075731571
Scmh1	0.0275054759003813	0.957993265399354
Cox5a	-0.0217797507434736	0.990783143294064
Tbx2	0.158731228744573	0.560361530145276
Tbx4	0.501240098448322	0.208756975034248
Zfy2	NA	NA
Ngfr	0.462439916533368	0.581615320982449
Wnt3	0.17109406839218	NA
Wnt9a	0.291823485995132	0.364162735347567
Fer	0.0194348804744198	0.997227549815452
Xpo6	-0.0133591737172615	0.939524337665778
Tfe3	-0.0471390804802033	0.918467105209392
Axin2	0.272182914990393	0.621326484211462
Brat1	-0.0816440720518358	0.84371787625348
Gna12	-0.0759326337840033	0.772029088564664
Slc22a18	0.408175889922004	NA
Itgb2l	-0.372550930654657	0.0711946794851364
Igsf5	0.0907677822889987	NA
Pih1d2	0.147005545471973	0.94324954798581
Dlat	-0.0138089273436699	1
Sdhd	0.0426569439923272	0.9446982914122
Fgf23	0.392782707553977	NA
Fgf6	0.0818363125668042	0.979499634031278
Ccnd2	0.231966660022487	0.100985662320093
Gpr107	0.0823048695374966	0.874204586665565
Nalcn	0.470479072969487	0.564233271307985
Btbd17	-0.605422828778315	NA
Slfn4	-0.23649043133587	0.419009886861428
Th	0.0147187368932939	NA
Ins2	0	NA
Scnn1g	0	NA
Drp2	-0.106764671362077	0.82410542816728
Tspan32	-0.206942889495619	0.550631289092216
Lhx2	0.0406123778405138	NA
Clec2g	0.445453043294383	NA
Gmpr	0.0484902535573288	0.970875327012444
Glra1	-0.102545707290246	NA
Mid2	0.374743363834473	0.0677216526503192
Trim25	-0.243378705296668	0.219427766757605
Dgke	-0.277194542007391	0.177179516438373
Scpep1	0.317600880337051	0.125142588133161
Mnt	-0.0603037013924829	0.919479489129148
Itgb2	-0.277894816722252	0.104751500368952
Hddc2	0.0740453624294249	0.894020916264935
Tpd52l1	-0.115735874371069	0.798571441708315
Pemt	-0.231638299837626	0.775642642612733
Cdh1	-0.317376976111516	0.394333208172573
Cdh4	0.178465736230239	0.875281218765889
Ckmt1	-0.747300051434626	NA
Bcl6b	0.329311367986158	0.335075956515455
Clec10a	0.173548041033699	0.77332589029325
Alox12	-0.344761202273397	0.0645823030840673
Arvcf	-0.293790470810732	0.420321825845481
Comt	0.0181653874955484	0.942688963032963
Rtca	0.0761707957802375	0.87320420962393
Dbt	0.0576667658652015	0.960286638235956
Dazap2	-0.164322170558248	0.0628263475894117
Mcts1	-0.012887093042245	0.990783143294064
Rem1	-0.101909394911849	0.928192590090938
Rnf17	-0.760257208178069	NA
Trappc10	-0.234571689313144	0.0343097637789939
Ccm2	-0.0378663807902774	0.932988833819447
Wap	-0.00982897156871183	NA
Tbrg4	-0.0425597288839119	0.9361255889009
Tmprss2	0.0885266039554517	NA
Mx1	-0.0197739470879456	0.945682713636705
Fap	0.501886267613363	0.00678175414118554
Gcg	-0.0200567258512797	NA
Ndufa9	-0.000738888068015165	0.986500885517265
Egfl6	0.462174061058379	0.330988314541737
Lck	-0.0862314143246011	0.883564028229213
Tssk3	-0.7432390827777	NA
Cttnbp2	0.252243021292261	0.841915131866589
Galnt1	-0.112449067820135	0.296158550014779
Myf5	-0.024071177898744	NA
Mkrn2	-0.0678052276643816	0.865600946649169
Pparg	0.0717960179672829	0.979275287319194
Raf1	0.138984114615558	0.498085046627269
Sept1	-0.202173860760572	0.40840863630406
Pdgfb	0.0669941989220052	0.884758200640971
Acvrl1	0.0749165371613431	0.874834023092945
Grasp	0.282361189729553	0.382650637215427
Acvr1b	0.109569321515516	0.717807252707455
Tom1l2	0.0620949737631945	0.882255796336674
Gpa33	-0.00699763107622488	NA
Zfp385a	0.0242788851983365	0.949087782789919
Itga5	0.458939687872688	0.146456107886991
Gabra2	-0.344770025646709	0.661726304132507
Wdr77	-0.121122504524289	0.522544466452404
Adora3	-0.491604687087258	0.173661825415413
Atp5f1	0.00269421108425167	0.996493101162239
Sox9	0.535857885672889	0.148265808227286
Hnrnpd	-0.156247449170223	0.330676488823825
Dynlt1c	-0.089424048067422	0.939524337665778
C1d	0.203166011641634	0.371645618580028
Gm2a	-0.11115963890339	0.44500020002199
Krit1	-0.100949392116934	0.410447829458363
Clcn4	0.102744503443025	0.647294704382968
Vmn2r88	0.0810328831021622	NA
Grm6	-0.494090688938456	NA
Sema4f	0.172519963733396	0.840428951294326
Hk2	-0.0508879329985687	0.960286638235956
Myo18a	0.05412186737695	0.908442911735849
Sez6	0.0637235548514964	0.96157510527336
Haao	-0.402044830364394	0.454838796068491
Cd52	-0.238801753952421	0.392363769173512
Abhd15	-0.299028564791966	0.629133612414305
Hoxb6	0.107467025932961	0.923651182053173
Loxl3	0.623986977365075	0.110147113264656
Tcl1b5	NA	NA
Btn1a1	0.101186982994104	0.969191647108357
Kat2b	0.199806592686375	0.397358726554393
Rab5b	-0.0115681239776398	0.964785432607403
Cryba1	0.207245163206018	NA
Dnmt3l	0.0643233392578024	1
Aire	-0.130407653492467	NA
Icosl	-0.273773792733638	0.121888765171033
Spg7	-0.0794738894678894	0.772029088564664
Sult5a1	0.649020969774888	0.196888250975644
Rpl13	0.0142981938407491	0.96776824940246
Chmp1a	-0.00351875253991745	0.98138112818782
Rpa1	-0.104002753514192	0.660226590615403
Serpinf1	0.481410977070255	0.0101028688397787
Tubgcp3	-0.166693752362935	0.318378230824003
Oprm1	0.373703351344258	NA
Polr3d	0.209051367075173	0.605505059364034
Tcf7	0.158340155662202	0.747046516945862
Ddx3x	-0.0695721831365509	0.65154882994456
Il12rb1	0.0723085671902041	NA
Slc5a5	-0.172287320074872	NA
Kcnn3	0.463272339282485	0.461790507088867
Usp32	-0.253732378617303	0.177948247804251
Car4	-0.0654789614638299	0.939814685930172
Txnrd3	0.101322385257824	0.81982254956009
Fasl	-0.389097687487823	NA
Zfp512b	-0.158090923295548	0.687237261325523
Dnajc5	-0.0985319873106698	0.527299483915499
Tpd52l2	0.0543714878527498	0.865347301569357
Fmr1	-0.148540489474296	0.351266383599178
Bcl11a	-0.280821400898309	0.267087622302302
Il4	-0.295816906043524	0.812181077104229
Pxmp4	0.0129291537253877	0.982768379898536
Dlg3	0.206669733634929	0.603164655158251
Gnb1l	-0.199820348615048	0.931263386476826
Dbh	0	NA
Mmp11	0.529112702636649	0.276857910016264
Smarcb1	-0.106511347540825	0.604449778747764
Vpreb3	-0.300955966705541	0.532505969557475
Hip1r	-0.380684898242642	0.17595340384042
Nsun5	-0.245500619421933	0.34647497162251
Top1mt	-0.170254463309646	0.564749760570812
Hoxa10	0.191387429954121	0.426861886595927
Hoxa4	0.143928789731861	0.908442911735849
Gm38393	0.0209457998399022	0.982768379898536
Mmp14	0.674915032304574	0.0163535072465308
Slc7a7	-0.0128676388757115	1
Oxa1l	-0.15395240614727	0.378627930676032
Heatr6	-0.26119729326051	0.454524532619713
Ccl3	-0.318953910823802	0.589574186938809
Wfdc18	0.0187797189459176	NA
Icam4	-0.240909113706447	0.672750560830456
Ilf2	-0.075707352872139	0.495161399404805
Chtop	0.00705014091629509	0.979675715162415
Snapin	-0.0419493924950974	0.870441162293112
S100a4	0.369567657963272	0.356620512995313
S100a3	0.922664156251773	NA
S100a5	0.0846087692235237	NA
S100a6	0.124169100998454	0.699469527835483
Scn4a	-0.0124892763356615	1
Icam2	-0.216278092853134	0.35768570781847
Mapk7	-0.0320683876543877	0.957271813619213
Epn2	0.310074833486207	0.438196488518446
B9d1	0.151150353970336	0.846946036346459
Sec24b	0.129801097000529	0.732897929012296
N4bp3	0.00664219462110594	0.97899818116368
Rmnd5b	-0.1120268649918	0.583370952116635
Nhp2	-0.0153740761122547	1
Vps9d1	-0.0567749862795447	0.957993265399354
Zfp276	-0.14355889996249	0.565131965904596
C1ql4	0.0961569325928412	NA
Mfsd10	-0.0646837512471815	0.9673743857333
Luzp1	0.330427515589584	0.281607670903697
Slc13a2	-0.165784439826628	NA
Kctd10	0.0388245636310212	0.849046713757216
Poldip2	0.0809293132188436	0.730038590719623
Sebox	0.0276615245381476	NA
Ift20	0.222123952215958	0.214547041449804
Col6a1	1.22358698480134	0.00651464133909753
Pcbp3	0.297157102999795	0.603395030854064
Lgals9	-0.174082521809442	0.467305060718641
Araf	-0.0368980093668856	0.896902186400965
Cfp	-0.230432171247866	0.153692918264869
Timp1	1.02161181887661	0.0377386816661936
Uxt	-0.0747566648775359	0.888178929311699
Cnnm3	0.0630628456585442	0.856890945221765
Lman2l	-0.0188542145411582	0.976236711598019
Mcm3ap	-0.0875475424471309	0.893100461186219
Pcnt	-0.093874376117332	0.669448029343463
Ftcd	0.58107973572972	NA
Mxd1	-0.324693438925804	0.0745831859735129
Gmcl1	0.0216492025100421	0.943015826000624
Snrnp27	0.106067543101067	0.69590416982269
Oas1c	-0.155144349301342	0.857150967193781
Oas1h	-0.0189199454330573	NA
Ocrl	0.000425148065030785	1
Calm1	-0.0408405182971763	0.837866753548259
Agpat3	0.00727493467719787	0.987094974904244
Slc26a3	0.34651563695399	0.840360452673954
Sema6b	0.198483148843757	0.583272885309958
Uhrf1	-0.357131475891399	0.0684024206386675
Dpp9	-0.0390592735321044	0.887058876989163
Ramp2	0.378490779400846	0.170488443082702
Lsr	-0.0226115931308379	0.987625619843941
Gramd1a	0.0398700119886365	0.864892310845265
Hpn	-0.193921691449499	0.824051739976641
Gabrg1	-0.284660147639134	NA
Ckb	0.117119115843417	0.762550563786325
Sp1	0.0415515464969563	0.846766506036561
Itgb7	-0.247888815186935	0.459379208540562
Myg1	-0.144996933285362	0.597242785830478
Rarg	0.206243527628607	0.340375463736786
Pfdn5	-0.0128863470783309	0.980694439231927
Efnb2	0.247147164199917	0.385338114194541
Rrp15	0.129012870801228	0.667142987695591
Rnd2	0.504308517679464	0.137811089423434
Srr	0.0646156783648636	0.896435570397992
Sync	0.00332691800696342	0.99438859414584
Fndc5	-0.158532623898782	0.776881901717781
Acp5	-0.13605834719678	0.8054186437921
Cnn1	0.616959771808973	0.277272274132024
Fbxo9	-0.29300294769662	0.130056820398117
Vps50	0.00368968386926473	1
Hars	-0.150822828311212	0.136820368116469
Zmat2	-0.00674862286076412	0.959996511255059
Ube2c	-0.160793837797361	0.524729088089357
Smg5	-0.0385454983397482	0.910559540520728
Cct3	0.0200485220722907	0.905810159487248
Glmp	-0.0445348389918622	0.960123560279435
Mef2d	0.0118641961442727	1
Tmem79	-0.366624171558022	0.781479407091794
Snd1	0.247274097649694	0.415856614142309
Col18a1	0.943244620573105	0.0344640878673865
Slc19a1	-0.074739016631385	0.956975322475535
Kpnb1	-0.0888867808662557	0.730038590719623
Npepps	-0.140103237707991	0.48042065859759
Tbx21	-0.309254817090926	0.648320377737282
Mrpl10	0.038932126148476	0.864937665927405
Cyp51	0.186678115754501	0.744497488435639
Tcf25	-0.0278701180142688	0.88224288374596
Tubb6	0.469426088284752	0.168800889742256
Def8	-0.125545082625123	0.541406941920034
Meox1	0.569897079259441	0.0840841843084101
Sost	-0.149259056522999	0.837638386813497
Nkx2-1	0.0979592474968876	NA
Pax9	-0.303244365458509	0.589728698484968
Irx2	-0.0808684473731162	NA
Col1a1	0.282518409400849	0.305154655563532
Itga3	0.220138477387914	0.820071474492895
Sgca	0.192969492154595	0.789051737406653
Dlx3	0.123976196989066	0.813282623607249
Foxm1	-0.290984434612414	0.368630950821518
Itfg2	-0.15469557142599	0.7123953447372
Nrip2	0.483051706675664	0.0973892710488001
Tulp3	0.0667557030651901	0.863580215744797
Gtf2h4	-0.41725144792545	0.0712259660733847
Tubb5	-0.152963853721728	0.360125094793226
Ell2	-0.124646976263092	0.672910942306491
Jup	-0.0674819993752558	0.898352924183296
Fkbp10	0.669288656014278	0.0225053647023146
Klhl10	0.597621946281964	NA
Mnx1	NA	NA
Nom1	0.0227639642320914	0.971798303339408
Ergic1	0.264049410593272	0.171847042503774
Tnk1	0.0843075653119294	0.960286638235956
Acap1	-0.35157791273081	0.036415595666845
Tcea3	0.0761051536171984	0.938654010352706
Csn3	-0.0405351081635362	NA
Ifrd1	-0.143416777375845	0.365838397355108
Stk38l	0.528046914605472	0.0622272867069032
Brpf1	-0.0849308592524625	0.716204590356913
Akr1b3	0.0531061722548845	0.930584029333891
Hoxc13	0.0760668818615307	NA
Hoxc11	0.230391514068713	0.655237956537388
Hoxc8	0.799543330675572	0.00142850200630085
Hoxc6	0.181762701332736	0.718509511595917
Gstt1	0.245715670250107	0.384319784192312
Gstt3	0.278567282049378	0.531159552556139
Ddt	0.0602104635093611	0.890049561289357
Tat	0	NA
Marveld3	0.318064101180331	NA
Ddx18	0.121529580214604	0.672750560830456
Ubl3	0.0148130043510249	0.963110332580537
Gramd3	0.187048934331312	0.321912608587819
Eef1e1	-0.116981619718122	0.671387023180697
Akt1	-0.0158524122467673	0.978669091901735
Cldn15	-0.200285143789699	0.619496819510134
Il16	-0.189237738485833	0.231745147212771
Tcirg1	-0.199319845634866	0.424777845929462
Naglu	0.216670548987009	0.404737038816291
Coasy	-0.193790363068675	0.35768570781847
Smo	0.505961041839797	0.00319724713982948
Tspan33	-0.350502708307231	0.283720773965728
Crnkl1	-0.12789316924645	0.689073419987612
Rin2	0.564510651131759	0.0361423143203123
Folh1	-0.157125482877525	NA
Chordc1	-0.0115772558704845	0.978539402363731
Rtcb	0.0108337377038123	0.971798303339408
Pwp1	-0.149439361942951	0.330988314541737
Fbxo7	-0.371781159414871	0.158852129632159
Capns1	0.0515745629465882	0.743074454947616
Lrp3	0.289657448975566	0.473009394414395
Dsg4	0	NA
Evx2	0.466900016249265	NA
Hoxd13	0.297955160740749	NA
Hoxd12	NA	NA
Folr1	-0.0646464735365838	NA
Clpb	0.0420711106895698	0.976068647682233
Sept7	0.0426602464307861	0.680178849510622
Zdhhc4	-0.0821750245847945	0.769672410089979
Rac1	-0.100091994652499	0.121115264537919
Nup214	0.317775174112767	0.58576007596177
Aif1l	0.605576443540404	0.445303169114852
Cpa3	0.0229656126920742	0.993984213164636
Ltbp1	0.196807984737518	0.542635667031393
Ugp2	-0.0498794271068633	0.935600154071461
Kcnh6	0.137393181829788	NA
Trmt1	0.124463363113409	0.7588490001064
Nacc1	-0.0881209790038655	0.482331862074779
Nfix	0.30590007419323	0.0929394690249045
Slc1a5	-0.103307250531152	0.821166272208179
Uba1	-0.0663786966258129	0.614460194907238
Vwf	-0.226294113264514	0.308717430758443
Siae	-0.0448209899504931	0.896855010362754
Vsig2	-0.170107365657864	0.780591429230899
Esam	-0.0386134581509924	0.948318138382293
Spa17	0.0496455066529515	1
Fam50a	0.0441931040441677	0.897527208662242
Emd	-0.166425331844715	0.307796419683129
Taco1	0.043395962068498	0.938654010352706
Grik3	0.400830231797321	0.700633973453997
Gria3	-0.17398407361619	0.427369936110719
Npas1	0.375245451510921	NA
Sipa1l2	-0.0538552448759784	0.867739605804405
Ap4e1	0.0207171731763503	0.985802513892584
Blvra	-0.157427115183928	0.422018594363061
Pdzd4	0.34056022704439	0.16733871107125
Srpk3	-0.132675634264554	0.795894175641157
Idh3g	0.00175500875328585	0.98713784498135
Pnck	0.175729931913414	0.740231856920808
Ssr4	0.190580614264148	0.199566858316118
Bcap31	0.0234956717464684	0.942681848247398
Fam98a	0.152356379391013	0.30847738111313
Ltbp2	0.683288142557429	0.121115264537919
Kmt2a	-0.130666215914704	0.451115808594827
Ift46	0.260390226938002	0.208982393286044
Tmem25	-0.0141862178183273	0.978539402363731
Cd3g	-0.435781195156046	0.473009394414395
Trappc6a	0.0375922817665585	0.886890202951363
Supt6	0.00813518392101687	0.982893541872846
Spag5	-0.398632144582054	0.118910671993895
Foxn1	-0.232811920760136	NA
Unc119	-0.407685220356059	0.0132536199896884
Rab34	0.574285109845745	0.0993882795066318
Sdf2	-0.00496519799477351	1
Ccne1	-0.304665244113515	0.402997112656571
Hsf2bp	-0.125491013573135	NA
Bbc3	-0.353675636112229	0.473009394414395
Mybpc3	-0.0469040588392507	NA
Psmc3	-0.0261591412973282	0.897222341324626
Acp2	-0.0778367256147292	0.927702703678207
Rapsn	-0.264539429929413	0.483121761649841
Slc39a13	0.263285521026541	0.305937606104746
Celf2	-0.0378172221584264	0.856322728115303
Nr1h3	-0.182487204070095	0.645050456222559
Ddb2	-0.355646144900304	0.119367356328256
Spi1	-0.17454960339189	0.546311265260086
Sf3a1	-0.103550194265236	0.545464176454784
Stat6	-0.0581860934835145	0.770242116129827
Clgn	-0.263610205692077	0.732536980450437
Napsa	-0.354671043601468	0.0443996745844085
Vrk3	-0.0727626464803395	0.832411649587042
Smg9	-0.0393380486240626	0.968067909854524
Paxip1	-0.286988659679649	0.255556346841291
Rmnd5a	-0.039986397180821	0.923236054387182
Mov10	-0.143535356734736	0.790200899187374
Ppm1j	0.115312338226584	0.932013668701767
Rhoc	0.499492043476458	0.04665971095338
Prr27	NA	NA
Tead3	0.356586736947599	0.376638673800179
Ppard	-0.0579510570150462	0.887990973238247
Def6	-0.131667376379687	0.702393513007542
Peg3	0.44923084521593	0.12552804888825
Zim1	0.459390529282335	0.400233426842446
Metrn	0.0559963818978632	0.911515476750394
Lmf1	0.00349257513054819	0.997191763218355
Narfl	-0.169723862901258	0.810129003701518
Angptl4	0.559353213808056	0.219132497760686
Dbf4	-0.283269735949508	0.177885727439431
Daxx	-0.0913355455107887	0.866274547548129
Cd320	0.128676073307598	0.886909125100327
Ipo4	0.251668379892034	0.552704466095069
Tm9sf1	0.00714860308599884	0.986975260612965
Rec8	-0.790986474000566	0.129691252726087
Irf9	-0.246892103216855	0.499448257483074
Gmpr2	0.000216669350462749	0.98543692735327
Mdp1	-0.0611110661840458	0.858177673030328
Dhrs1	-0.0302896686775572	0.977712191114509
Ncan	-0.314082146434602	NA
Tmem161a	0.0429432026434272	0.88152508573152
Armc6	-0.0706473324375576	0.946438416447376
Borcs8	-0.0264715243490799	0.95980814169947
Slc25a42	-0.0386581127397058	0.948270923437272
Snx9	0.170734072057548	0.359850051034005
Ranbp3	-0.0779300617242205	0.733765577575387
Ndufa11	0.0912323926238062	0.829374674826064
Bmp8b	-0.629807468380285	NA
Nr2f6	0.400505818128619	0.383349470771807
Use1	-0.0366384308655203	0.908442911735849
Ocel1	0.134823848942059	0.801597510809036
Dyrk1b	0.00844701141463827	0.998642808381713
Braf	-0.0331065733885357	0.91227827498882
Ndufb2	0.132592253793055	0.799981029262493
Hltf	0.0817379245149302	0.753087051275709
Prpf6	-0.167016890643814	0.132907059920538
Rgs19	-0.222755721808319	0.261870917579984
Rgs20	-0.145536961805423	NA
Abhd3	0.961272950865339	0.0890345142680238
Snrpd1	-0.155296425621552	0.45748250232036
Tchp	-0.154382857931167	0.673061883829782
Tiam1	-0.25138770807215	0.261608958660454
Tsc2	-0.0821649074704341	0.790969447939049
Rpl3l	0.125853498847956	0.874239528415506
Slc9a3r2	0.16555025102205	0.441675880652686
Puf60	-0.00319343269611349	0.994990772489543
Golga2	0.0488359428923718	0.938654010352706
Uck1	0.115103698463326	0.721972994040014
Scin	-0.0444720530444031	0.903174616007331
Ikzf4	-0.024997198079313	0.990402653481091
Mien1	-0.0576268705249736	0.921465852141311
Pon1	-0.680381218769294	0.158822305730084
Axl	0.176763270540438	0.524705122041318
Tgfb1	-0.180413974444795	0.67173054394986
Ccdc97	-0.00448776301374877	0.980428052060539
Zfp40	0.342485872337001	0.484773545456513
Akap8l	-0.00775172464587808	0.96158645145962
Shh	-0.0162088040100073	NA
Pdcd2l	0.0633271257972464	0.960239797190306
Gtf2f1	-0.0774506406389436	0.563308962636767
Clpp	0.0902409520644341	0.783774440489326
Alkbh7	-0.0171135193504989	0.973717438441032
Pspn	0.439028352427222	NA
Dennd1c	-0.381337289887604	0.11242346880877
Med6	0.0364438661075734	0.956529992652619
Prkd1	0.505944863831415	0.106696608935918
Lcp2	-0.375067236106313	0.00936026802115251
Cse1l	-0.0446277747909565	0.883867601062116
Naa20	0.141270914193911	0.419009886861428
Prkra	0.0548983667569194	0.842282379375792
Fkbp7	0.724282691667972	0.0087561753146972
Plekha3	-0.0724010244728154	0.874834023092945
Ykt6	0.0711512878452787	0.642308217099861
Baz1b	-0.108509294842724	0.302120961811146
Pex6	-0.0577412118346769	0.895346525241757
Mrpl2	0.0262895558558649	0.979507251023737
Mea1	0.130640014237805	0.392113102073617
Gnmt	0.567627308102586	NA
Grin2d	0.5768896166289	0.118329721937033
Kdelr1	0.172676779234227	0.416909293033101
Tmem143	0.261027372630934	0.499848515709632
Pdxk-ps	0.123185139261892	NA
Ggct	0.0772502429303399	0.997686165288178
Jag2	0.0115056517653716	0.998967589869586
Btbd6	-0.0312125690569615	0.957350166239509
Nudt14	-0.0461295111114019	0.938654010352706
Epdr1	0.113682055920177	0.675768135146602
Flii	-0.137571619028825	0.301732058133374
Top3a	-0.0524425106840725	0.946113418270017
Atg4d	-0.154526478907857	0.512753207359357
Qtrt1	0.135309228728956	0.791191041568983
Plin4	0.160965790245412	0.758514058109925
Hdgfl2	-0.00988143921129583	0.982893541872846
Chaf1a	-0.273374683528668	0.16733871107125
Adprh	-0.0299641437113202	0.959024863170128
Tmem39a	0.315877091136399	0.159511776986688
Timmdc1	0.00399703175096638	0.988238931079639
Pla1a	0.604023587501605	0.249003726553441
Mcm2	-0.262037642888143	0.398550725177779
Tpra1	-0.0561963644281643	0.933336257420562
Nab1	0.0257670146100177	0.977896443675822
Adgre5	-0.0897110958088062	0.780200326791044
Il17ra	-0.162502997506685	0.391352519577966
Lamb1	1.19785371334077	0.00136341891084935
Kcnn1	-0.289744910784167	0.711584299997917
Arrdc2	-0.0573051661185507	0.948667812114833
Ppp1r17	-0.00887486512301225	NA
Cd36	-0.118366047393241	0.641586250223892
Map2k7	0.0723859996939744	0.927517665674324
Timm44	0.00366497483167286	0.99224772926672
Ap2a2	-0.0711113193019412	0.583710293117843
Pnkp	-0.29085398842595	0.0936534425064234
Med25	0.094426180842766	0.765610024247308
Bcam	0.242835647691337	0.408723517595842
Clptm1	-0.0363892553528753	0.994144120703334
Relb	-0.0231976120729696	0.939814685930172
Tomm40	-0.122488735152903	0.766396513857013
Apoe	0.157906350256413	0.628420318376664
Apoc2	-0.779597052022178	0.193580191908131
Hbp1	-0.0407869225318403	0.841670246656217
Prkar2b	-0.240179532386938	0.297436091157956
Cdkn1b	-0.110173587148018	0.573431461131062
Klf4	0.334144256503524	0.13734526214415
Ap1m1	-0.170454335294786	0.256419350517023
Rab8a	-0.134161633956625	0.423990849221463
Hmgn2	-0.217361754408663	0.279069905441844
Fam32a	-0.125944860554258	0.312518827232437
Elf3	-0.787563563712099	NA
Cyp2c29	-0.00155465961830052	NA
Stard3nl	0.155071731752097	0.553633273170405
Stk11	-0.149877078422459	0.328767151680849
Efna2	0.399016756729831	0.452963786069273
Atp5d	0.0130474987539195	0.970255930438852
Ppp5c	-0.124769171645414	0.583918137250586
Cdk12	-0.175398266707558	0.314123885491724
Lipe	0.188954340024208	0.617382843573977
Pafah1b2	-0.221991722090649	0.305830678872243
Tbc1d8	-0.0893421183994917	0.865347301569357
Cnot11	-0.251920797283455	0.259616859228643
Slc2a3	-0.264940014900747	0.23759421535827
