gene_name	Injured_STR_ort_2_weeks_post_injuryvsUninjured_STR_ort_2_weeks_post_injury_log2FoldChange	Injured_STR_ort_2_weeks_post_injuryvsUninjured_STR_ort_2_weeks_post_injury_padj
Gnai3	0.00695494958802645	0.961896965985335
Pbsn	NA	NA
Cdc45	-0.264681251230259	0.116617837816926
Scml2	0.218874499637249	0.76070911428401
Apoh	-0.0812374222999942	NA
Narf	-0.212115858603362	0.310460304689992
Cav2	0.0731188039182252	0.902033057141071
Klf6	0.0492809154150117	0.765655397030006
Scmh1	-0.108624713595961	0.7218599642467
Cox5a	-0.280835831984976	0.281200931985375
Tbx2	-0.175480764770889	0.421486624208227
Tbx4	0.700059319718878	0.0177610876098677
Zfy2	NA	NA
Ngfr	0.288387503702716	0.72398529587907
Wnt3	-0.0221160688107462	NA
Wnt9a	0.348637588054924	0.178477474502032
Fer	0.32127364554573	0.172788471080655
Xpo6	0.019241427127024	0.997682112296891
Tfe3	-0.0851010390148666	0.72661770022436
Axin2	0.211211285280766	0.646907560591703
Brat1	-0.0111392236043837	0.974807648257421
Gna12	-0.051041857939193	0.831379794278644
Slc22a18	0.361345497685407	NA
Itgb2l	-0.248875047018116	0.253911655260918
Igsf5	0.00544069557923767	NA
Pih1d2	0.531768891293836	0.491894292446004
Dlat	-0.329492521529991	0.249108710262714
Sdhd	-0.0813528569377147	0.674924094422815
Fgf23	0.356551732007674	NA
Fgf6	-0.219721243195027	0.520982883322321
Ccnd2	0.322883894169837	0.00512537422359878
Gpr107	0.224441549603146	0.380748030571151
Nalcn	-0.268180232216045	0.742238884987865
Btbd17	0.0353384132200871	NA
Slfn4	-0.39242944638879	0.0827488922815243
Th	-0.0141267812133796	NA
Ins2	0.00771697220401203	NA
Scnn1g	-0.01726217752814	NA
Drp2	-0.034024665100435	0.903847665469998
Tspan32	-0.375270828809661	0.123873216704554
Lhx2	-0.423657301595464	0.72277860470771
Clec2g	0.338467796606411	NA
Gmpr	-0.143468576778932	0.636868191546023
Glra1	0.0445585569677288	NA
Mid2	0.306863822010195	0.109617310550706
Trim25	-0.265114978824014	0.137227529731954
Dgke	-0.278873820243616	0.161973400819178
Scpep1	0.521443676953139	0.00152750581677127
Mnt	-0.0431844656535462	0.915953300392039
Itgb2	-0.300032816014018	0.0487545234828568
Hddc2	0.177861765472748	0.509298420295416
Tpd52l1	-0.372277708014956	0.186799755516918
Pemt	-0.2783096272958	0.623546297655712
Cdh1	-0.0357019021083457	0.965762790331946
Cdh4	-0.21662018488108	0.751576133672676
Ckmt1	-1.03685115222403	0.189710903923563
Bcl6b	0.428910515821978	0.11529299075722
Clec10a	0.307036064441346	0.467200545502819
Alox12	-0.285934460733858	0.108646450954204
Arvcf	-0.309192015612101	0.320288906675505
Comt	0.076385928124213	0.608312558797328
Rtca	-0.0151047740886525	0.945992971190067
Dbt	-0.012661041917371	0.95409424773352
Dazap2	-0.0818757523840943	0.431192919903845
Mcts1	-0.146983293268853	0.54548390209997
Rem1	0.0788181016010898	0.957935905931241
Rnf17	0.236218925531022	0.812060111623096
Trappc10	-0.147731570453261	0.236465795520222
Ccm2	-0.15774858120637	0.473355671806426
Wap	0	NA
Tbrg4	-0.236646599217117	0.20054892489776
Tmprss2	-0.18007040019704	NA
Mx1	-0.083247024315031	0.859609505231335
Fap	0.410374556748097	0.0226169296880093
Gcg	0.00464149169821943	NA
Ndufa9	-0.197299705528525	0.288702509480212
Egfl6	0.684483742023614	0.0601755291330841
Lck	-0.545338026779344	0.120443582458435
Tssk3	-0.376862419702886	NA
Cttnbp2	0.459227895842635	0.528789127648385
Galnt1	0.0154546806696425	0.918725466735472
Myf5	0.172410341592612	0.861228975794075
Mkrn2	-0.117314319102747	0.623275626515928
Pparg	-0.205466483766369	0.450883625946995
Raf1	-0.12581383172167	0.448907828313457
Sept1	-0.285069101070312	0.156860805323591
Pdgfb	0.0662692839790565	0.830387917095258
