gene_name	OAvsNonOA_log2FoldChange	OAvsNonOA_padj
TSPAN6	0.198983518966248	0.524704423787227
TNMD	-0.0432437815006654	0.964494414708567
DPM1	-0.563548759311449	0.00586088449622369
SCYL3	0.260760902317831	0.1111802068584
C1orf112	0.594972044536759	0.0115582833137081
FGR	-0.0684378162333668	0.872236163228789
CFH	-0.459734081030869	0.186699838024963
FUCA2	0.337214510935592	0.0553269507728235
GCLC	0.069501939157037	0.821382527445468
NFYA	-0.443340496403002	0.0625832232447778
STPG1	0.537278837796326	0.0550501503253608
NIPAL3	0.539780877957867	0.000449887026513111
LAS1L	-0.27804065156116	0.118559558686152
ENPP4	0.071071831402272	0.916609069070285
SEMA3F	-0.359614086543397	0.481652529027299
CFTR	-0.786065348590159	0.075380967291345
ANKIB1	-0.533119020230494	0.014302248722305
CYP51A1	0.183170248282592	0.426212019205157
KRIT1	-0.297094350637901	0.304398323663706
RAD52	-0.288850303446645	0.26356538413205
MYH16	0.699623319334545	0.173311090633801
BAD	0.270861021970898	0.396079755037967
LAP3	0.423581162329422	0.0227744274248804
CD99	0.196856609276261	0.514070371889066
HS3ST1	0.392574925049925	0.360195989962698
AOC1	-0.134836485048505	0.820930383441353
WNT16	0.366027011015872	0.529594498437573
HECW1	0.1740133441905	0.62472631898598
MAD1L1	-0.845615984121936	0.00612662309205727
LASP1	0.390822749940601	0.014618573289075
SNX11	-0.0433676987630329	0.914845792955605
TMEM176A	1.26001499511956	0.000620325626992652
M6PR	0.506892924265475	0.000519171323506863
KLHL13	-0.520955809261661	0.0792319963020972
CYP26B1	-1.58373316855129	1.4173602299064e-09
ICA1	0.664182539428921	0.00919253035331226
DBNDD1	0.702988820457724	0.120180034597263
ALS2	0.222742204748222	0.341602298658098
CASP10	0.355153731216692	0.366067391278685
CFLAR	-0.220979094233237	0.436857984348537
TFPI	0.571705312932363	3.00605107724744e-05
NDUFAF7	-0.494313883211993	0.0617024081938679
RBM5	-0.0188704262920766	0.912474473412767
MTMR7	-0.607732272921642	0.0350425326203637
SLC7A2	-0.459914426848995	0.287498929654002
ARF5	0.0459836434061843	0.94591646393828
SARM1	-0.0751918447658789	0.779511274331306
POLDIP2	0.107066145684971	0.442639487668808
PLXND1	-0.32795261040922	0.295509535773611
AK2	-0.719221220320002	1.37567547447756e-06
CD38	0.336247181858593	0.531347193438707
FKBP4	-0.233522163526283	0.257721184941463
KDM1A	-0.374981715075882	0.00826856860543397
RBM6	-0.133157013527016	0.612680246063702
CAMKK1	-0.1136347121918	0.838230565040327
RECQL	0.270774255485384	0.311434150880245
VPS50	0.336001396202602	0.179319363747808
HSPB6	0.0316932016715691	0.933213952561978
ARHGAP33	0.0243236804815597	0.952916996917947
NDUFAB1	0.349885872308985	0.106801354441671
PDK4	-0.650599398544442	0.254282483669744
SLC22A16	0.520167879217452	0.225822987960228
ZMYND10	-0.121614549708293	0.819431874514113
ABCB5	0.709849801673483	0.0405082127582756
ARX	0.499217180855476	0.560558054931495
SLC25A13	-0.0968420114440815	0.755100472723977
ST7	0.0266818630011736	0.892438274021404
CDC27	0.0143949616339132	0.967082011020615
SLC4A1	0.30160276100524	0.395130953405506
CALCR	0.929434579326478	0.157858066733665
HCCS	0.0753627544266978	0.77855340424979
DVL2	-0.124617327152641	0.520464739758626
PRSS22	0.166353030165771	0.857091907843024
UPF1	-0.455749011081057	0.0244702997636072
SKAP2	0.649524229754548	0.0415238192539032
SLC25A5	-0.197050368443092	0.490004806973902
MCUB	0.240589751440987	0.341828619020102
HOXA11	-1.51615944457447	8.55085103698815e-15
POLR2J	0.388233818056966	0.217239354681684
DHX33	0.567786472178588	8.82197092066638e-05
MEOX1	0.353640165439182	0.581670875640345
THSD7A	-0.137280350336939	0.796726788422511
LIG3	-0.3562508139451	0.0973443928362603
RPAP3	0.171427061337872	0.591803013062318
ACSM3	0.0693114309222943	0.875928127299408
REXO5	0.506008457619651	0.160595205016259
CIAPIN1	0.467103914373928	0.0444174652764509
SPPL2B	0.208912255136675	0.391040414991749
FAM214B	-0.0483009326468903	0.898788709723259
COPZ2	-0.0947710152391825	0.805442487717927
PRKAR2B	-0.0254249104948576	0.97934828248823
MSL3	0.102697009982131	0.661845360030598
CREBBP	-0.253377004488306	0.505083378564831
TSPOAP1	-0.421226757475022	0.109280544466006
MPO	-0.0713668710718709	0.891409205118555
PON1	-0.29490840407003	0.773941815159463
GCFC2	0.414584748944368	0.0723443389109727
WDR54	-0.850691566652521	0.00870174986293788
CROT	0.762540720027587	0.00463329734125435
ABCB4	0.188863092613336	0.718520854146289
KMT2E	-0.649096556135658	6.28381730727515e-05
RHBDD2	0.22182667709054	0.5214595038841
SOX8	-1.3371442534617	0.000411070724767794
IBTK	0.0358445132176873	0.898788709723259
ZNF195	0.594669524236943	0.0111681982772499
MYCBP2	-0.722782151180883	6.05894683021413e-09
FBXL3	-0.405803323029162	0.00912274144451396
ITGAL	-0.133267094175444	0.806942733718865
PDK2	0.0134245828372789	0.972603941414153
ITGA3	0.604071788308784	0.0170615892039667
ZFX	-0.297513067579709	0.127295177121498
LAMP2	0.364278574683557	0.00348724508820239
ITGA2B	-0.924403916965681	0.0080513684345914
ASB4	0.477422521629005	0.0244423580885185
GDE1	0.968965284243787	3.88088136530846e-07
REX1BD	-0.150474682504812	0.661641788752581
CRLF1	1.39364322574017	6.07958088948103e-05
OSBPL7	0.490888341452557	0.141193433279174
TMEM98	0.228413108606163	0.215953319950561
YBX2	-0.703255395533182	0.107613318009359
KRT33A	0.0353164654973081	NA
MAP3K14	-0.488550929207773	0.0714399422732382
ABCC8	0.270793115887679	0.567487180543642
CACNG3	0.281773422973281	0.756744987751231
TMEM132A	0.846879517154309	0.000438036071409504
AP2B1	-0.067786235273618	0.815201522601355
TAC1	-0.739358674563273	0.16047333434223
ZNF263	-0.54561048905228	0.00160558408364328
CX3CL1	-0.519875440586038	0.0874243304307706
SPATA20	0.212311270380951	0.538860158964249
CACNA1G	0.40808256290142	0.453653168571326
TNFRSF12A	1.37047331731634	0.00602274899634117
DLX6	0.13687768429228	0.683936813885361
MAP3K9	-0.681695600936419	0.0169010875748222
RALA	0.762757018088861	0.00116355120119663
BAIAP2L1	-0.19548936232418	0.524786770585585
KDM7A	-1.13704269708442	0.000342391058835456
ETV1	-0.703696209162741	0.0315325786700414
AGK	0.308177588253442	0.00024927725778074
ALDH3B1	0.150502892198925	0.583463063247956
TTC22	0.528338293861227	0.0106206867422539
PHTF2	0.570015000936454	0.0234454458025161
CCL26	0.0648540328171612	NA
FARP2	-0.171951231139026	0.364979498197796
USH1C	0.547657401788675	0.265664259036955
GGCT	0.121619117424667	0.686304693824412
DBF4	-0.46139743082221	0.0235036744435455
TBXA2R	0.259912877677425	0.522956951563603
IFRD1	-1.6208836103118	1.06506370991504e-12
LGALS14	0.707983806030916	0.0147086777304451
COX10	0.808164113441434	0.00145533360777863
GTF2IRD1	-0.869649738975985	0.0149556719007053
PAF1	-0.438641818400348	0.161824091588931
VPS41	0.0188168454243117	0.94859738980486
ARHGAP44	0.630683793876439	0.00320638996497159
ELAC2	0.46442984345308	0.0197952009434084
SCIN	0.0198242093307044	0.951197893534517
ARSD	-0.125404717357115	0.482720853806152
PNPLA4	0.478395906785542	0.0100684908964406
MYH13	0.514362027328728	0.485783114892396
ADIPOR2	0.053298080060269	0.857532530534285
CDKL3	0.0218710571612418	0.945808079282574
UPP2	0.592960212344197	0.131685249438203
PRSS21	-0.0360985082827651	NA
MARK4	0.154563964459758	0.4502429986551
PROM1	0.429695552082638	0.51798591503377
CCDC124	0.0737445390150027	0.848743273116398
CEACAM21	0.600943323694227	0.562925608675148
PAFAH1B1	-0.45638420800038	0.0419484424369951
NOS2	-2.28285021623154	1.7677555939679e-06
