ID	subchondral.bone.operation.4.weeks.postsurgeryvssubchondral.bone.sham.operation.4.weeks.postsurgery_logFC	subchondral.bone.operation.4.weeks.postsurgeryvssubchondral.bone.sham.operation.4.weeks.postsurgery_padjFilter
A1bg	-0.00550274664795314	NA
A1cf	-0.146969804592917	NA
A2m	0.586632390106193	0.374097860598562
A2ml1	-0.0366385856896558	NA
A3galt2	0.152472888727578	0.322581055445989
A4galt	0.0352553095866774	NA
A4gnt	0.0731574392013679	NA
AA926063	0.221776367047419	0.500086796348173
Aaas	0.121892654559348	0.568970290477399
Aacs	-0.0307145894965277	0.933335910774506
Aadac	0.00796405024733904	NA
Aadacl2	0.0486351078828093	NA
Aadacl3	0.654341226270022	0.050837420434876
Aadat	0.0801090036119234	NA
Aagab	0.0866281007201701	0.528674036868343
Aak1	-0.0250145251553819	NA
Aamdc	-0.513289344255344	0.000421624385757259
Aamp	-0.0141535354710438	0.957189531879718
Aanat	-0.975463189560167	0.0500990045264895
Aar2	-0.257735373439927	0.178767038706778
Aard	0.375232295956812	0.058473554268016
Aars	-0.043119779676605	0.853460933528448
Aars2	0.116915285379237	0.182011348250266
Aarsd1	0.0962102421589668	0.436018085086057
Aasdh	0.239686448892769	0.319690753284386
Aasdhppt	0.859068233224878	0.000557513059164077
Aass	-0.00167983061108057	0.99310138698017
Aatf	0.638024898320745	0.000465340780683863
Aatk	-0.00201023559411961	0.980274461110382
Abat	-0.0103629201415476	0.979481370917884
Abca1	0.435103645579606	0.0415588836182155
Abca12	0.0410559771526495	NA
Abca13	0.0127594058710274	0.924613778531287
Abca15	0.0408804508132787	NA
Abca17	-0.00710929594962373	NA
Abca2	0.259834990345633	0.196006189590756
Abca3	-0.269254774522958	0.294857438856788
Abca4	-0.534404421086681	0.463096403159839
Abca5	0.105001940078577	NA
Abca6	0.0529478094220703	NA
Abca7	-0.402946115727559	0.154418433826006
Abca9	0.0613532210216672	NA
Abcb10	-0.0888666898159869	0.660814108458001
Abcb11	0.0736208503914542	0.360683567268444
Abcb1a	0.0728880894119417	NA
Abcb1b	-0.093582706614745	0.463895919840033
Abcb4	0.118997550624796	0.593026092759339
Abcb5	-0.0844474194332925	NA
Abcb6	0.158889694517148	0.548145813911829
Abcb7	0.382364784450415	0.0231323664886613
Abcb8	0.0370279294391445	0.83748831532661
Abcb9	0.123704506019679	0.266947285290692
Abcc1	0.0616047688553252	0.821432264632422
Abcc10	-0.282841485704513	0.0678400575380798
Abcc12	0.168973651899517	NA
