ID	age..18.weeks.strain..Str.ortvsage..18.weeks.strain..CBA_logFC	age..18.weeks.strain..Str.ortvsage..18.weeks.strain..CBA_padjFilter
0610009B22Rik	-0.394578672998914	0.0641823365802152
0610009L18Rik	0.0558355830535167	0.6748711357942
0610010F05Rik	0.0127791613097692	0.951478586201039
0610010K14Rik	-0.169571065432672	0.193400444030295
0610012G03Rik	-0.127293442500916	0.552013934472856
0610025J13Rik	0.0049851921747841	0.980497680749729
0610030E20Rik	-0.0394109371506577	0.834012633935803
0610038B21Rik	0.00732037043696288	0.975491581163615
0610039K10Rik	-0.0814512123850308	0.481600784484421
0610040B10Rik	-0.117454122565074	0.481334616593795
0610040J01Rik	-0.0135054084856634	0.94778353172844
1110002E22Rik	0.16518190604238	0.404657245022445
1110002L01Rik	-0.0736363808052118	0.578641263321887
1110004F10Rik	-0.14379745679112	0.256703436402516
1110006O24Rik	-0.400973521855523	0.00226022793640275
1110008P14Rik	-0.0875940936156958	0.543451385450601
1110012L19Rik	0.196641357790378	0.437904521459975
1110017D15Rik	0.0844035746339378	0.443102120213756
1110032A03Rik	-0.334600301405501	0.0712904355748074
1110032F04Rik	-0.112952683699316	0.454352737385303
1110038F14Rik	-0.192837370419163	0.148923643371615
1110051M20Rik	-0.167358728556954	0.104916878223903
1110057P08Rik	0.0368504035080681	NA
1110059E24Rik	-0.0467167169171354	0.820984367076089
1110059G10Rik	-0.504969558323122	0.0383127910293164
1110065P20Rik	-0.0798056350652452	0.569091369166421
1190007I07Rik	-0.138847459770687	0.425773331033245
1300017J02Rik	-0.783617247348587	7.67161920477575e-05
1500002C15Rik	0.0421508028369981	0.783352532577175
1500002F19Rik	0.0143689172623533	NA
1500009C09Rik	0.0214262676635997	0.89572475806821
1500011B03Rik	-0.120303937504749	0.235297613338399
1500015L24Rik	-0.16776782379919	NA
1500035N22Rik	-0.0838883529869134	0.514803551356796
1520401A03Rik	-0.0633048542037224	0.566341545376288
1600002K03Rik	-0.0579455115497627	0.680831685081148
1600012H06Rik	0.170658658431531	0.154939936795284
1600014C10Rik	0.142077742316273	0.298157311599206
1600014C23Rik	-0.0311032444369514	0.847568003773284
1600029O15Rik	0.227999043927632	0.237092587187966
1700001C02Rik	-0.0512607236972658	0.703756593809835
1700001C19Rik	-0.044459527578093	0.804068955877914
1700001G17Rik	-0.0916599880906555	0.527411297820883
1700001J03Rik	-0.0298362194620969	0.871423860642214
1700001J11Rik	-0.0767992291425212	NA
1700001K19Rik	-0.0916116867242938	0.617054095853728
1700001K23Rik	0.0114925744151675	0.954968471937768
1700001L05Rik	-0.164657742190089	0.368342538674646
1700001L19Rik	0.0366493373994237	NA
1700001O22Rik	0.0096218951851279	0.970024783397092
1700001P01Rik	-0.056282139950917	NA
1700003E16Rik	-0.145776423638853	0.362025149993468
1700003F12Rik	-0.166596686014083	0.21549285296835
1700003H04Rik	-0.104511115592126	NA
1700003O11Rik	0.00675182467497404	0.974939522441522
1700006A11Rik	-0.00384336793475448	NA
