ID	surgery..OA.time.after.surgery..8.weeksvssurgery..Sham.time.after.surgery..8.weeks_logFC	surgery..OA.time.after.surgery..8.weeksvssurgery..Sham.time.after.surgery..8.weeks_padjFilter
A1bg	-0.00588484265603828	NA
A1cf	-0.0838085454786102	NA
A2ml1	-0.0562958030067771	NA
A3galt2	0.307125187322717	NA
A4galt	-0.154475792081848	NA
Aaas	-0.155334834211979	0.506649666946436
Aacs	-0.105601103374058	0.623371855482764
Aadac	0.0373845943625479	NA
Aadat	0.0274601396676504	NA
Aagab	0.317184296472439	0.279451666113918
Aak1	-0.0301185738398377	0.884947570317331
Aamdc	0.049839568123204	0.899562957928842
Aamp	-0.0319030881938422	0.906866238515924
Aanat	-0.442602366267383	0.0524479024665036
Aar2	-0.102278575513102	0.54802717841611
Aard	-0.384972858391137	0.649146956603097
Aars	0.103495133030691	0.679384898782022
Aars2	-0.168744222141688	NA
Aarsd1	0.0365104756334294	0.856796784999321
Aasdh	0.0295860822350864	0.893805110195915
Aasdhppt	0.0761535033539982	0.83494885523147
Aass	-0.0553822708016609	NA
Aatf	0.0775544103982906	0.781500229743085
Aatk	-0.0473040159052012	NA
Abat	-0.0680932759315382	NA
Abca1	-0.0989573409734641	0.698417973938672
Abca2	0.0307186839150599	0.942820686466984
Abca3	-0.142722756315697	0.47789102249237
Abca4	-0.192358925099948	NA
Abca5	-0.0345685288186974	0.944098281703561
Abca7	0.314840506155893	0.138472004996975
Abca8	-0.0519229060134547	NA
Abca8a	-0.368653285633361	0.55205004742031
Abcb10	0.0526305434514827	0.825228322984363
Abcb11	-0.0096044659156922	NA
Abcb1a	0.0355009747111756	NA
Abcb4	-0.123707893610321	0.782283992928435
Abcb6	-0.134062931987724	0.562437223954129
Abcb8	-0.132956748348522	0.626745067391067
Abcb9	-0.0793314938303737	NA
Abcc1	0.175063943092047	0.480285514039346
Abcc10	-0.00652265588554091	0.97940784058212
Abcc2	-0.0969646788455236	NA
Abcc3	0.0555326241943161	NA
Abcc4	0.133066199447144	0.705905101246035
Abcc5	-0.0384025129225414	0.845285553461841
Abcc6	0.0101335998457932	0.979477881681682
Abcc8	-0.302242213294939	NA
Abcc9	-0.0459002801415336	NA
Abcd1	-0.0919205569214299	0.83494885523147
Abcd2	0.124295127697194	NA
Abcd3	-0.203870618055108	0.482023744325259
Abcd4	0.106469818269549	0.698422883646298
Abce1	0.0466209872281098	0.899543219153567
Abcf1	-0.051076127066052	0.828208718902946
Abcf2	-0.184190538506511	0.398722784579757
Abcf3	-0.0869414788019949	0.675768469373886
Abcg1	-0.0758649536455103	0.717463590476273
Abcg2	-0.196571987824679	NA
Abcg3l1	0.271037294379862	0.518889884100368
Abcg4	0.00645458527532305	NA
Abcg5	0.132042188898759	NA
Abcg8	-0.0977490104051677	NA
