ID	surgery..OA.time.after.surgery..8.weeksvssurgery..OA.time.after.surgery..2.weeks_logFC	surgery..OA.time.after.surgery..8.weeksvssurgery..OA.time.after.surgery..2.weeks_padjFilter
A1bg	-0.0609238131060206	NA
A1cf	-0.155820535642848	NA
A2ml1	-0.069155829189337	NA
A3galt2	0.17881211895914	0.268604304694451
A4galt	-0.182919677424645	NA
Aaas	-0.0702491397724234	0.72885261753109
Aacs	-0.0386357724554198	0.843859042616622
Aadac	-0.0670437803095547	NA
Aadat	-0.0279463251160239	NA
Aagab	0.178755590376676	0.462762184926566
Aak1	-0.121779568803928	0.379646725397774
Aamdc	0.0100722440991863	0.977588819973737
Aamp	-0.0678818819249827	0.719034416399886
Aanat	-0.438997756146696	0.0296868961042819
Aar2	-0.0334031538893171	0.831098120172979
Aard	-0.338348994191164	0.616772939290264
Aars	0.219166190932118	0.250201100641961
Aars2	-0.0754217485221309	NA
Aarsd1	-0.0881653250599932	0.523657937604138
Aasdh	0.0653862987567795	0.675640243685952
Aasdhppt	-0.00477915590249189	0.988410884280591
Aass	0.2462311812758	NA
Aatf	0.118647193889686	0.566406430632603
Aatk	-0.0135574327153627	NA
Abat	-0.200523740805839	NA
Abca1	-0.0323102441174843	0.893034299154975
Abca2	-0.0511916777865862	0.867656101835144
Abca3	0.0400417664300665	0.830669677492127
Abca4	-0.125350004483813	NA
Abca5	0.0129661731182349	0.974398640327012
Abca7	0.287712681430773	0.108728383926725
Abca8	-0.170425024489283	NA
Abca8a	-1.24400584024625	0.0296740005294369
Abcb10	-0.0368953152818348	0.850227516420579
Abcb11	-0.0832893710830458	NA
Abcb1a	0.000102836069872936	NA
Abcb4	-0.241815268053881	0.452442875504886
Abcb6	-0.139163940737514	0.449266748227606
Abcb8	-0.159841691929245	0.449201658511146
Abcb9	-0.165753809407892	NA
Abcc1	0.256960596446929	0.201748040087022
Abcc10	0.0167440467424704	0.924945429532813
Abcc2	-0.156400184137981	NA
Abcc3	0.0549339689142476	NA
Abcc4	0.216729914460844	0.415189214895065
Abcc5	-0.0812626929326523	0.554176920552349
Abcc6	0.116750545696314	0.600773177895836
Abcc8	-0.173114745919704	0.350215343067205
Abcc9	-0.289177469904272	NA
Abcd1	-0.20631158493816	0.503064424880921
Abcd2	0.089378249838088	NA
Abcd3	-0.223035159163112	0.336678642805647
Abcd4	0.044076725675076	0.858886889085358
Abce1	0.0519006307554761	0.856211853126785
Abcf1	-0.0774747286034199	0.651088878533906
Abcf2	-0.131284854998414	0.46382261567431
Abcf3	-0.0617815980885474	0.718366122221138
Abcg1	0.0303496773906362	0.87502127335863
Abcg2	-0.202298450640138	NA
Abcg3l1	0.268038440904474	0.420639064066773
Abcg4	-0.0174458673676572	0.936644781715502
Abcg5	0.0950581737991785	NA
Abcg8	-0.00144518699319818	NA
Abhd1	-0.0476418316071365	0.805674257458355
Abhd10	-0.110936279637126	0.49935453289144
Abhd11	-0.047718634939752	0.761943275828275
Abhd11-as1	-0.0701974908441558	NA
Abhd12	-0.289001928091784	0.189762532280818
Abhd13	-0.0864270175136514	0.627009370175298
Abhd14a	-0.134163693566784	0.363963348973233
Abhd14b	0.132419654691377	0.504964068274944
Abhd15	0.00995475303805105	NA
Abhd16a	-0.472655411241334	0.171533748809338
Abhd17a	-0.352542717672266	0.349939435557695
Abhd17b	-0.171699626667897	NA
Abhd17c	0.231628092346959	0.376759247744876
Abhd18	0.344456231070479	0.275024393004582
Abhd2	0.379201266692909	0.167592414403592
Abhd3	-0.0344067528655234	NA
Abhd4	-0.0111185588636751	0.969784472854189
Abhd5	0.105635279460536	0.612835614590067
Abhd6	0.407778633226572	0.0284355195878215
Abhd8	-0.201361144713827	0.320145096075771
Abi1	0.204068486658095	0.431787096331622
Abi2	0.24162281868718	0.161116621272619
Abi3	-0.173014340260809	0.480110259880075
Abi3bp	0.0694979736047063	0.68364315689469
Abitram	-0.0414977453948264	0.891872914381595
Abl2	1.08690731020179	0.0128209495837548
Ablim1	-0.0472850426321729	NA
Ablim2	0.137394377200883	0.463040912223538
Ablim3	-0.147300461560548	NA
Abo	-0.03196856176681	0.851490823052912
Abo3	-0.106021366561751	NA
Abr	0.111670925159522	0.575077702853846
Abra	-0.417234011153448	NA
Abracl	0.555048289572449	0.0817164130209677
Abraxas1	0.244409572932232	0.398363977073286
Abraxas2	0.0403605125542228	0.882069370229347
Abt1	0.0393164651006792	0.874100274720812
Abtb1	-0.226338904132962	0.239909750409029
Abtb2	0.126588034892023	0.636385094659203
Acaa2	-0.297784961281534	0.187520128729455
Acaca	-0.0399330499581314	0.83035515653698
Acacb	0.0336624577392293	NA
Acad10	-0.136659913957811	0.37044050824018
Acad11	0.564264918243306	0.0116474976564032
Acad8	-0.0052482744670499	0.985709840148192
Acad9	-0.0539449969555079	0.737421678707181
Acadl	0.0123970601135586	0.968660013739132
Acadm	0.0474828121109301	0.788298637901324
Acads	-0.109256545322674	0.434147768851318
Acadsb	-0.25325966288319	0.309841370370726
Acadvl	-0.00490015471864957	0.98038307514622
Acan	0.378140865436912	0.0268061010703766
Acap1	-0.191373844820069	NA
Acap3	0.0296592741963018	0.885972618483152
Acat1	0.0544532414701582	0.793051112799376
Acat2	0.05590242768052	0.816273657575423
Acbd3	-0.223218630340819	0.221050876052793
Acbd4	-0.108536018153321	0.508648478155737
Acbd5	0.24194232023911	0.41064429326256
Acbd6	-0.126018177684163	0.511257229248854
Accs	0.158113102931045	0.343646446820274
Acd	0.0183880108644008	0.965424009240046
Acer1	-0.150112373067308	0.545911752484253
Acer2	0.0144079757768996	0.955501733092467
Acer3	0.351693206693305	0.113322813155514
Acin1	0.0473356635756588	0.784835815338222
Ackr2	0.0834097904680071	NA
Ackr3	0.719267157336262	0.0489377795760405
Ackr4	0.67158612686486	NA
Acly	0.198010035639841	0.191484844932959
Acmsd	0.151901973370784	NA
Aco1	-0.130454256540913	0.490792851505934
Aco2	-0.212236639971326	0.250441027062013
Acot1	-0.0966184323494979	NA
Acot12	-0.0279586625364825	NA
Acot13	0.11813844394978	0.493876612543262
Acot2	0.101528130640201	0.548539276748104
Acot3	0.0562782425599329	NA
Acot4	-0.147047265271795	NA
Acot7	0.12851802214225	0.398548086566463
Acot8	-0.0946577719428685	0.677174447256228
Acot9	0.559793359522871	0.0367930048164649
Acox2	0.0533215000629594	NA
Acox3	-0.171333141787728	NA
Acp1	0.00669837737353696	0.978657288130143
Acp2	-0.0671810177508831	0.714267548820174
Acp5	-1.24450109395664	0.013085893002485
Acp6	-0.106043654923749	0.636873228722859
Acpp	-0.253508289681463	NA
Acr	-0.11278855796287	0.647459401741593
Acrbp	0.00757634327614198	NA
Acrv1	-0.0898870489136874	NA
Acsbg1	-0.0801965832255505	NA
Acsf2	-0.256880696641847	0.302381282958802
Acsf3	-0.0821574003822327	0.735756555588167
Acsl1	-0.187820525407174	0.320974562289995
Acsl3	-0.190842996955256	0.386807530548735
Acsl4	0.123429232836793	0.525296744791546
Acsl5	-0.107362318496577	0.61467518876269
Acsl6	-0.246127732575186	0.143463838435632
Acsm1	-0.0466306027898815	NA
Acsm2	-0.0606319284173926	NA
Acsm3	-0.0563196405706794	NA
Acsm5	-0.439081740816732	0.098527813437006
Acss1	-0.208311967012944	NA
Acss2	0.494633722158323	0.0632519190633875
Acss3	0.859039170126361	0.0955667424106403
Acta1	1.6114440751249	0.595637419948739
Acta2	-0.0851581696461459	0.581093102490716
Actg1	-0.0961542490801257	0.6861610513551
Actg2	-0.0219680977256038	NA
Actl6a	0.0164139527734495	0.930056681536675
Actl6b	0.00139892296766142	NA
Actl7b	-0.22875660161751	0.379420760393893
Actn1	-0.0902628484287984	0.656383460608123
Actn2	-0.511834171607839	0.226034073574393
Actn3	0.450520735402826	0.723114043527186
Actn4	0.213330692998078	0.32138211255131
Actr10	0.100767852013229	0.650422110233163
Actr1a	-0.0885350818219468	0.716213433437098
Actr1b	0.121494930936162	0.6048562525841
Actr2	0.141310940949388	0.327753629718217
Actr3b	-0.104247107741577	NA
Actr5	0.184166460027164	0.357492323496267
Actr6	0.254368563742949	0.218281104071308
Actr8	0.0101827942413077	0.974891540062799
Acvr1	0.00489970336329648	0.988625845971746
Acvr1c	0.013178592129921	NA
Acvr2a	0.0370164313168004	0.877930225247109
Acvr2b	-0.139365149283104	NA
Acvrl1	0.0355677465459827	0.913546714253963
Acy1	-0.0380398524319627	0.865869960186419
Acy3	0.332250785599143	0.277685304647008
Acyp1	0.370848299544086	0.0233019471495149
Acyp2	0.374589375291089	0.397343427054615
Ada	0.283554242636167	0.333992919442905
Adal	0.0757179435804929	NA
Adam10	-0.00129358166388993	NA
Adam11	-0.00475063484402405	NA
Adam15	0.0595664075395685	0.778008180191968
Adam17	0.140860723758664	0.562530318233296
Adam18	-0.115993704532075	0.731748792697507
Adam19	-0.15118495341172	NA
Adam1a	-0.0703144104936317	0.800275909889746
Adam2	-0.0030527413404613	NA
Adam22	-0.156732249143296	NA
Adam23	0.117796886516482	0.492482682109511
Adam32	-0.0719661691946119	NA
Adam33	0.0748010402315398	NA
Adam3a	0.217820784891192	NA
Adam4	0.197820842799848	0.640203976313221
Adam6a	-0.120324455052964	NA
Adam7	0.00245739535699485	NA
Adam8	0.0639668005957184	NA
Adam9	0.00724672499989421	NA
Adamts1	0.0464057475156068	0.969854109040172
Adamts10	0.00102218767867512	0.995820205468778
Adamts12	0.482978848978806	0.112419857413221
Adamts15	-0.127529211707455	NA
Adamts16	0.320636058905589	NA
Adamts19	-0.005627081190136	NA
Adamts4	0.411873408418268	0.379420760393893
Adamts5	0.233018092098212	0.704671112184599
Adamts6	0.0262656714430864	0.901588575198397
Adamts7	-0.0659750808723221	0.7714460583689
Adamts8	-0.200840679179509	NA
Adamts9	-0.587867142771469	0.0261353907751078
Adamtsl1	0.00449074094012936	NA
Adamtsl2	-0.659140566131633	0.0965508077430869
Adamtsl4	0.300543078268312	0.227539105837235
Adamtsl5	-0.135583145446536	0.390644312818285
Adap1	-0.134789658936497	0.420231828326315
Adap2	-0.0415703526464695	0.934076713507156
Adar	0.022964333419301	0.954023897645898
Adarb1	-0.0713839567144632	0.795186555838286
Adarb2	-0.0307701466547163	0.911848077539417
Adat3	0.0173526810756872	0.935980809560028
Adck1	0.124892634227752	0.448726906355456
Adck2	0.0130774735463328	0.954081098447096
Adck5	-0.165418572332372	0.388491736303271
Adcy10	-0.00666830075998526	NA
Adcy2	-0.00191224450361815	0.990649653028963
Adcy3	0.244012851893022	0.134356954193767
Adcy4	-0.121498896077656	NA
Adcy5	-0.0381235738151355	NA
Adcy6	0.0295770027871622	0.891154603931628
Adcy8	-0.0880516847296109	NA
Adcy9	0.830857669509547	NA
Adcyap1	0.0217973650267353	NA
Adcyap1r1	-0.0847086874791483	NA
Add1	-0.0500795200418622	0.829878506241254
Add2	-0.138075421082226	NA
Add3	0.430444703828661	0.126101861448017
Adgra1	-0.0266206417589236	NA
Adgra2	-0.195493296252465	0.263810673087177
Adgra3	-0.0647811718072466	0.775151618757376
Adgrb1	-0.354467882751939	0.0791476280667484
Adgrb2	-0.218696360112836	NA
Adgrb3	0.0508806601675031	NA
Adgrd1	-0.369171630494542	0.209639721444742
Adgre1	-0.0868042220241065	NA
Adgre5	-0.112173118116313	0.726215261455202
Adgrf1	-0.104960428205178	0.468781628698982
Adgrf4	-0.487952369053477	NA
Adgrf5	-0.182603684892376	0.263881814964308
Adgrg1	-0.0124396231491408	NA
Adgrg2	-0.156897421859266	0.471174456233509
Adgrg3	-0.0530173288428966	NA
Adgrg5	-0.0556944648931106	0.827155271483142
Adgrg6	0.765838990182969	0.01207523025099
Adgrl1	-0.184755965625041	NA
Adgrl2	-0.0740642836332812	0.782294662550105
Adgrl3	-0.180055795454135	NA
Adgrl4	-0.578863071786331	0.191158797825979
Adgrv1	0.0295600572460799	0.903249529966755
Adh1	-0.0897348380087575	NA
Adh4	-0.0143056574938711	NA
Adh5	-0.0333615123475184	0.916145503350752
Adh6a	-0.0597156997737605	NA
Adh7	-0.00901313821815908	NA
Adhfe1	-0.0345251781668683	0.897479300114384
Adi1	-0.14987818218869	0.388683665888012
Adipoq	-0.305905004162287	0.301899462517471
Adipor1	-0.055100106139216	0.797098366140869
Adipor2	-0.0720772395880465	0.74767432912459
Adk	0.124091046803638	0.494204711823505
Adm	0.381530638327918	0.449762772018114
Adnp	-0.0485233062535091	0.840196581729214
Adnp2	0.296172239387586	0.200244384570621
Ado	-0.00696768043471341	0.977588819973737
Adora1	-0.0480981291091886	NA
Adora2a	-0.026080214963347	0.892493432536986
Adora2b	0.155346157475925	0.435634208680578
Adpgk	-0.170806419030486	0.336678642805647
Adprh	-0.094055431588381	0.777047705717903
Adprhl1	0.13341209706114	NA
Adprhl2	-0.00433955962486898	0.986209110180206
Adprm	-0.0989532294913129	0.625361324067097
Adra1a	-0.210435095943153	NA
Adra1b	0.17258871747782	NA
Adra1d	-0.120750989763448	NA
Adra2a	-0.111866203855035	NA
Adra2b	0.0710108490856953	NA
Adra2c	-0.13879675585046	NA
Adrb1	-0.0525064245538651	NA
Adrb2	-0.130354979751941	0.525296744791546
Adrb3	-0.0581968618265751	0.744099910348099
Adrm1	-0.0395582441399958	0.843859042616622
Adsl	-0.289455926560585	0.0668818894754994
Adss	0.0913513539860453	0.608637267566112
Adssl1	-0.228614200221895	0.32869115527605
Adtrp	0.0527050662687536	NA
Aebp1	-0.142930726230011	0.636884106806636
Aebp2	0.16019008901131	0.275128215871432
Aen	0.00289484731595824	0.987910713583614
Afap1	0.0155158119692	NA
Afap1l1	-0.266475475268942	0.434217897650058
Afap1l2	-0.155340164822668	0.477815983887295
Afdn	-0.0673386094188659	0.702066093022758
Aff1	0.30893692573108	0.257182764971189
Aff2	0.0434218623447116	0.916905531376662
Aff3	0.342079200568232	0.416131601559154
Aff4	0.176960983345731	0.738750403966885
Afg1l	0.150327324186343	0.566700335828718
Afg3l1	0.146170106898426	0.567887445738245
Afg3l2	-0.117862654565451	0.549719438311048
Afm	-0.0792203137525007	0.720819741899059
Afmid	-0.244784146246486	NA
Afp	-0.271223619927291	NA
Aftph	0.0503868840358486	0.762842583397597
Aga	-0.279935361087663	0.284906005748753
Agap1	-0.288760819789404	0.162143291086705
Agap2	-0.0386671922955486	NA
Agap3	-0.0905588495223641	0.576791586538905
Ager	-0.211651729556627	0.386807530548735
Agfg1	-0.136406558046488	0.524287772305967
Agfg2	-0.017004037915612	NA
Aggf1	0.179945599078193	0.421502704854718
Agk	-0.041841810785094	0.824950601756177
Agl	-0.0626304817931853	0.889679504797181
Agmat	0.148262305508347	0.643231795953786
Agmo	0.310176747786323	0.194545824488832
Ago1	-0.156423825262276	0.382624335147301
Ago2	-0.0556856460617423	0.780302361399505
Ago3	-0.0240100748326144	NA
Agpat1	0.0170261867398676	0.962367249330737
Agpat2	-0.110582803393546	0.803265164202414
Agpat3	-0.0849273145826261	NA
Agpat4	0.0352533128506636	0.870851901170548
Agpat5	-0.256735181279279	0.0846843344525398
Agps	0.0344681905706343	NA
Agr2	0.0399876933438321	NA
Agrn	0.0638892932356736	0.665322062989649
Agt	0.178063798559032	0.61574691880111
Agtpbp1	-0.00716004505009682	NA
Agtr1a	0.108579176696333	NA
Agtr1b	-0.0743273066064196	NA
Agtr2	-0.549049063224349	0.0441881354749308
Agtrap	-0.150887468893776	0.387051408270417
Agxt	-0.0120348022377348	NA
Agxt2	-0.0839833613364416	NA
Ahctf1	0.0240594533976886	0.892493432536986
Ahcy	0.0330813360046207	0.890154938273498
Ahcyl1	-0.48891206743734	0.140884615161666
Ahcyl2	-0.0410603709462016	0.83327861133552
Ahdc1	-0.106482726547125	0.514855136607041
Ahi1	0.375376825640586	0.332240441081803
Ahnak	0.387098960486719	0.150443020619251
Ahnak2	1.48969646555682	0.0522185322229803
Ahr	0.0510795408850244	NA
Ahrr	-0.317145802535627	NA
Ahsa1	-0.000826075662846648	0.996151218878057
Ahsg	0.0206556092943959	NA
Ahsp	-1.51847497269555	0.0633396976854313
Aida	0.382051782023145	0.0399200190252873
Aif1	-0.129963852394678	0.584648465270556
Aif1l	-0.214235079770901	0.20280953941133
Aifm1	-0.110267863031099	0.490654169676888
Aifm2	0.0302270043248356	0.900991564061872
Aifm3	-0.0422442960131271	0.837820530530342
Aig1	0.00500752210217215	0.979928831585117
Aimp1	0.103701652549129	0.536047718314732
Aimp2	0.160863374995706	0.525296744791546
Aip	-0.0370672133248124	0.895563536274577
Aipl1	0.130687444555543	0.522933039521849
Ajap1	0.0458062847566767	NA
Ajm1	-0.146389178882309	0.377007738770845
Ajuba	-0.0402761703021559	0.881581453464527
Ak1	0.115993298040042	0.480467323505765
Ak2	-0.210420957433387	0.153833590271904
Ak3	0.10819561474371	0.522765450608217
Ak4	0.194827767574512	0.245851932393756
Ak7	-0.0762840035271157	NA
Akain1	0.0103698564006658	NA
Akap1	-0.0750802090361224	NA
Akap10	0.357477606403778	0.0739579021655094
Akap11	0.236949633391152	0.243777080911943
Akap12	-0.246907684609372	0.220008404841998
Akap13	0.625273884961178	0.00599776525080088
Akap14	-0.0680208971588199	NA
Akap17a	0.0152444822605133	0.968436175550875
Akap2	-0.0740026623450616	NA
Akap3	-0.0909670922145285	NA
Akap4	0.108590242955692	0.503647379167408
Akap5	0.00679847866385153	NA
Akap6	-0.0127151265951424	NA
Akap7	-0.17498337212681	0.24387411771774
Akap8	-0.00916312577905742	0.96994396822073
Akap8l	0.25071460527248	0.547284893426566
Akap9	0.150258211153146	0.489670748112805
Akip1	0.0107064295846131	0.954081098447096
Akirin1	-0.108355461688948	0.698132671898485
Akirin2	0.0385681680085561	0.864457945151202
Akp3	-0.131124481908702	0.548451486334152
Akr1a1	-0.0212935680658806	0.90756312018374
Akr1b1	-0.0498038222028381	0.802110058612729
Akr1b10	-0.252436918982688	NA
Akr1b7	0.0922598936708052	0.854308777425263
Akr1b8	0.267168632248485	0.737421678707181
Akr1c1	0.00352576426118656	NA
Akr1c12	0.080916979495675	0.610120335801671
Akr1c14	-0.163197149678441	NA
Akr1c15	-0.00490278472097039	NA
Akr1c19	-0.129655634836108	0.654540392731351
Akr1c3	0.0344224983265704	NA
Akr1d1	0.0599012613115208	NA
Akr1e2	0.10141056479552	0.582900753451599
Akr7a2	-0.112183249721847	0.559355347310848
Akr7a3	0.134294056672025	NA
Akt1	-0.0601756699250826	0.791954015652362
Akt1s1	-0.183783965189618	NA
Akt2	-0.117954016873765	0.558471682922024
Akt3	-0.0100656913407757	0.969661786878832
Aktip	-0.0101836590715232	0.961963103469441
Alad	-0.25120702719647	0.470314185020716
Alas1	-0.220757787060354	0.620446423151157
Alas2	-1.22775072217155	0.173326161471537
Alb	-0.0273090316486426	0.910211030784943
Alcam	0.0420036335154128	0.909006210220696
Aldh16a1	-0.141913220007801	0.407592814969326
Aldh18a1	-0.0949447853697336	0.678241507219287
Aldh1a1	-0.588229678199747	NA
Aldh1a2	-0.197101560627654	0.181942454189592
Aldh1a3	0.268092103629858	0.522360844096099
Aldh1a7	-0.0354125215546892	NA
Aldh1b1	0.020020873506966	NA
Aldh1l1	-0.143262031089947	NA
Aldh1l2	-0.323449507329615	0.10296057609792
Aldh2	0.0863322585712485	0.743374839895761
Aldh3a1	0.0782445967546614	NA
Aldh3a2	0.242870506661149	0.445920522899021
Aldh3b1	-0.170578766656557	NA
Aldh4a1	-0.130326994231117	0.665693058065638
Aldh5a1	-0.233662923477495	0.140709280458234
Aldh6a1	-0.0211589817928406	0.915911370841755
Aldh7a1	-0.0439188580244156	0.84666702391659
Aldh9a1	0.0886402818197585	0.747502415810439
Aldoa	0.134286728974384	0.420576428436937
Aldob	-0.132145432662503	NA
Aldoc	0.350541910833471	0.108210029277441
Alg1	-0.0925461713531703	0.656383460608123
Alg10	0.101952341487177	0.761553099429825
Alg11	-0.0502651517640853	0.848942653649585
Alg12	0.0999749644125245	0.688683412474416
Alg13	0.192285107973342	0.385661843992211
Alg14	-0.0620196041826215	0.818450368348567
Alg2	-0.0505262780135798	NA
Alg3	-0.0415813989896172	0.90756312018374
Alg5	0.0330702878210882	0.895305643092969
Alg8	-0.0204600730178885	0.917151277772467
Alg9	0.0360029733623506	0.892427757919422
Alk	-0.107289590857189	NA
Alkbh1	-0.0899126631868103	0.562453770144968
Alkbh2	-0.173007857210432	NA
Alkbh3	0.240496024787806	0.209760463283415
Alkbh4	-0.0836457287636314	0.72031097566102
Alkbh5	0.00961807721489727	0.971788956795424
Alkbh7	0.071816497929861	0.761371390721107
Alox12	0.962255762985275	0.01702544637206
Alox12e	-0.0665667082842596	NA
Alox15	-0.0260656256987106	0.947850116951483
Alox5	0.0677785011469698	NA
Alox5ap	-0.0446007051055179	0.919612431187249
Aloxe3	0.1469195383028	NA
Alpi	-0.155373252266874	0.353992402563734
Alpk3	-0.242246504148309	0.484872544980333
Alpl	-0.36944154178236	0.394556479869152
Als2cl	0.290670872778084	0.197034077413045
Alx1	-0.361623060387744	NA
Alx3	0.00788941324034287	NA
Alyref	-0.157911417106951	0.343646446820274
Amacr	0.0472456816680911	0.897479300114384
Ambn	-0.0109206201203982	NA
Ambp	0.0867939165028302	NA
Ambra1	0.123255487549688	0.489350046902886
Amd1	-0.145615168874603	0.641173330930532
