ID	Adamts5Dcat.DMM.1wkvsAdamts5Dcat.Sham.1wk_logFC	Adamts5Dcat.DMM.1wkvsAdamts5Dcat.Sham.1wk_padjFilter
Ccr1	0.1345459699937	NA
Nppa	-0.207722138631636	0.448897814582244
Aqp7	-0.112310083238919	NA
Hvcn1	-0.471596928134743	0.758400200649213
Gpr33	-0.0652799521497701	NA
C230086J09Rik	0.801054213479933	0.289521750309682
Maml2	0.208362702075482	0.293896225379471
A330106F07Rik	-0.142162972551357	NA
Ptdss2	-0.0842686882725776	0.76234477760084
Lce1c	-0.131615320330281	NA
Itfg1	0.188974071262367	0.664696572087698
Elmo1	0.036673695648612	NA
Crtac1	0.413256938086906	0.595582358964883
Pnpt1	0.123634555157415	0.532509473259468
Sox9	0.367335063684586	0.473997036715957
Tmem144	0.214450252596035	NA
Syne1	-0.144858472587924	NA
Ank1	-0.305182759573273	0.250285601352637
H2-M10.5	0.00658934531616965	NA
Irf9	0.00342910540323404	NA
Erfe	-0.0825181636363511	NA
Pusl1	-0.368850034788141	0.29522703334559
Tmem59l	0.301914324887465	0.597600870010366
Ldlr	0.150428832270805	0.73024988818439
Hps5	0.0924306663121807	0.890940247108806
Thoc1	-0.103137670917962	NA
Wnk1	-0.141094774688192	0.699182271192019
Scd1	1.20617056884688	0.145452375217271
Kif13b	0.0114937312913755	NA
Ginm1	-0.0169810684817622	NA
Asph	0.367079407884527	0.107376154974013
Hao2	0.129287051100399	NA
Zswim4	0.0291283549502426	NA
2210010C04Rik	-0.133636739156785	NA
Tunar	-0.0740298483989233	NA
Ssrp1	-0.452364600236358	0.0506397610593162
Ncmap	-0.299039016448545	0.578193574544008
Thap2	0.311822020578006	0.178431866032516
2900092D14Rik	-0.196288182264239	NA
Apobec3	0.185029739993243	0.519915517622913
Slc25a30	0.0772700293648985	NA
Prdx6b	-0.0867338469092837	0.766752153619378
Rbm33	-0.0466887086041323	0.898232299915605
Msx1	-0.852648613835639	0.0606388922489146
Ercc6l	-0.0736321293187712	NA
Usp15	0.126881917646025	0.627991763152115
Med18	-0.0958683185906844	0.777255748704696
Hif1an	-0.0258500061871399	NA
Map1a	-0.245438573941941	NA
Mocos	-0.555798640787989	0.131499033258886
Arhgef19	-1.29859169432402	0.000429295503872207
Zdhhc14	0.00691055925022588	NA
Vps29	-0.111294075009598	0.587860919123481
Hoxd3	-0.0159768112916424	NA
H2-T22	-0.0505120544042915	0.932571623888091
Clca3b	-0.590166328799376	NA
Higd1b	-0.0133571859602233	NA
Atp10d	-0.331390396159653	0.242795392166723
Mtus2	0.402038515313733	0.211049783079412
Tuba1c	-0.0254863418298742	0.969514852016213
Ngdn	0.061356531366993	0.813733881729789
