ID	WT.DMM.1wkvsWT.Sham.1wk_logFC	WT.DMM.1wkvsWT.Sham.1wk_padjFilter
Ccr1	-0.202962951727589	NA
Nppa	-0.00559261148062106	0.986170106824404
Aqp7	-0.0669950760444601	0.687307983150036
Hvcn1	-0.667263730349591	0.596905470468001
Gpr33	-0.0914505618600319	0.693617399677931
C230086J09Rik	0.138792645842114	0.87345798017958
Maml2	0.208597712852701	0.264650082851321
A330106F07Rik	-0.316546902255677	0.208187032358238
Ptdss2	0.0688409995394361	0.779150430362027
Lce1c	-0.238181276181267	0.217941592334652
Itfg1	0.656063072966757	0.0552374605108738
Elmo1	-0.395690118437404	0.0628975208477328
Crtac1	0.733256665270486	0.25986309503818
Pnpt1	0.0628745411217134	0.74677208821775
Sox9	1.07032793966022	0.0177517648535429
Tmem144	0.246182228557714	0.340108043046144
Syne1	0.0467317489659235	0.769344592140329
Ank1	-0.159548604715335	0.558770605820668
H2-M10.5	-0.333068983239781	NA
Irf9	-0.0606762076386655	0.816033692008753
Erfe	-0.0188830136545972	NA
Pusl1	-0.0923058475109717	0.813708218954921
Tmem59l	0.426965726553877	0.385203480494362
Ldlr	-0.409636207480543	0.2197691784627
Hps5	0.781450259265075	0.0717691435546054
Thoc1	0.434520008716559	0.0764346497272558
Wnk1	0.312791457645072	0.275260578906841
Scd1	1.48817380815428	0.0611635209180232
Kif13b	-0.235951948896798	0.42892629294421
Ginm1	1.0381426750091	0.010237764335105
Asph	0.390592421365082	0.07658967217603
Hao2	-0.0264280104396591	0.927300583778387
Zswim4	-0.116328140786704	0.392381147663124
2210010C04Rik	-0.177613494059422	0.165370833134466
Tunar	0.171323933731656	0.406735486500875
Ssrp1	0.0483846592944372	0.863883720494059
Ncmap	-0.691292471553691	0.120609679576748
Thap2	0.350711954244484	0.112089201364456
2900092D14Rik	0.27741382369356	0.416522666979797
Apobec3	0.0171970138691242	0.95663337987862
Slc25a30	0.74926833930608	0.000597794786214522
Prdx6b	-0.293912199428556	0.175687673919883
Rbm33	-0.0868321144715081	0.75684696107957
Msx1	-0.0676681889371571	0.905738440762093
Ercc6l	-0.272004817037982	0.303333085636478
Usp15	0.045629622004279	0.859996094037945
Med18	0.354680243518957	0.15394578939822
