ID	OA.Subchondral.bone.from.lateral.tibialvsNormal.Subchondral.bone.from.lateral.tibial_logFC	OA.Subchondral.bone.from.lateral.tibialvsNormal.Subchondral.bone.from.lateral.tibial_padjFilter
A1BG	-0.626848187374486	0.00104508499768707
A1BG-AS1	-0.247838386820019	0.345656278284408
A1CF	-0.0776133430610839	0.323333595139213
A2M	0.822923385121436	3.32385113727434e-05
A2M-AS1	0.465561079335394	0.00408159430752821
A2ML1	-0.337746449435995	0.000160824450601362
A4GALT	0.447024883392141	0.0117351546893103
A4GNT	-0.0441981225157475	0.695249826592976
AAAS	0.184156264681393	0.178968293656465
AACS	-0.529112015729403	0.00160790976264249
AACSP1	-0.0152805606696926	0.899416919871856
AADAC	-0.0655048746284956	0.605485298917161
AADACL2	-0.0902475658347033	0.699251239569848
AADACL3	0.13919059125236	0.275541395584668
AADACL4	-0.0812546886724235	0.360654474799373
AADACP1	0.067641951898981	0.632923644730956
AADAT	0.498584328660826	0.000664365645849427
AAGAB	-0.302732911876943	0.0404531315902664
AAK1	-0.00594406747410581	0.97205907980222
AAMDC	0.711243432184004	0.000547445718810433
AAMP	-0.199438642120843	0.293545668914287
AANAT	0.438712521220209	0.457164914009215
AAR2	0.066615612730951	0.485432126995805
AARD	0.00415988845321635	0.980108727508577
AARS1	-0.0392086558966405	0.855273230831367
AARS2	0.281857016093163	0.01604689676582
AASDH	0.237046854171621	0.0957698683411733
AASDHPPT	-0.136440036386093	0.278368770771342
AASS	-0.457927468376763	0.00688304507155247
AATBC	-0.0249678798826016	0.930090464855228
AATF	-0.346356567248703	0.000419311324394883
AATK	-0.655378748141194	3.35402776848565e-05
ABAT	-0.0342089505021352	0.757922294757898
ABCA1	-0.138061640986166	0.559694657643776
ABCA10	0.675651447081411	9.83747069188856e-06
ABCA11P	0.57859550587655	0.00225881575620808
ABCA12	0.00724928536105285	0.952012066302892
ABCA13	-2.05476434852675	9.73337360884311e-08
ABCA17P	0.0583656672330104	0.695503748895371
ABCA2	0.252711082757186	0.0292037933664688
ABCA3	0.652754215035538	0.00176517847086601
ABCA4	-0.498437385250321	0.00357461043243635
ABCA5	0.590254140873469	0.000587901328322663
ABCA6	1.13504927382595	0.00161010531849266
ABCA7	-0.802916992319522	9.27712485323583e-05
ABCA8	1.07510271580299	0.00125460035900244
ABCA9	0.534697334706758	0.0132654481865476
ABCB1	0.373875185525678	0.0360275706919065
ABCB10	-1.56311368344023	2.37919960075133e-12
ABCB11	-0.180957418996535	0.0507482028398227
ABCB4	0.724110971228596	0.000592087058994268
ABCB5	-0.134997170457123	0.582754563636621
ABCB6	-0.720682533826221	1.10302203246445e-06
ABCB7	-0.306751918754182	0.00237356997166518
ABCB8	0.272891635443329	0.0353293424273472
ABCB9	0.0284035005244059	0.84615718193995
ABCC1	-0.224289410898807	0.0996543458917108
ABCC10	0.0423016861860894	0.634668208764886
ABCC11	0.168558140528773	0.368650066267134
ABCC12	-0.0291947368864269	0.817400779446213
ABCC13	-0.740126237894893	1.31557706049894e-07
ABCC2	-0.242113748363344	0.123685843641824
ABCC3	0.252399119056594	0.297458277253822
ABCC4	-0.718750926362598	1.6160515957905e-06
ABCC5	0.426602251110957	0.0622011173625983
ABCC6	0.963879244160111	0.000320244327891679
ABCC6P1	0.460007456691147	0.00998396517142434
ABCC8	0.434018821499894	0.231610720193573
ABCC9	0.434364404415806	0.00594612717164703
ABCD1	0.0569088742302633	0.749618758610573
ABCD2	0.198878159200645	0.632598419597798
ABCD3	0.166548300306495	0.199820040170619
ABCD4	0.0197577991893425	0.839201408132505
ABCE1	-0.399082197296492	0.000380795855002987
ABCF1	-0.45957050115527	1.95907494256745e-06
ABCF2	-0.596302150991152	5.98148426750103e-06
ABCF3	0.0224602890556067	0.82105432082336
ABCG1	-0.459138426903674	0.00170679653287235
ABCG2	0.322179239517622	0.220039120662893
ABCG4	0.282933942190531	0.0353824827555291
ABCG5	-0.130912841345141	0.143890915062483
ABCG8	0.00562762336190392	0.97750889071445
ABHD1	0.608724821114048	0.00301538054853772
ABHD10	0.0945188084217294	0.362820333298432
ABHD11	-0.00190473980458705	0.991650354031915
ABHD11-AS1	-0.060656541231455	0.586355152014042
ABHD12	-0.27418494312327	0.135215702319003
ABHD12B	0.000517021931769612	0.997074849495666
ABHD13	-0.0582632686916389	0.49207715770302
ABHD14A	0.515255356946961	4.9247784000961e-06
ABHD14B	0.405790337283424	0.00580898053223962
ABHD15	0.55896283798063	0.0039017345986129
ABHD16A	-0.256882417359932	0.028226345669391
ABHD16B	-0.086476815962568	0.669113002356409
ABHD17A	-0.0745418311086468	0.567646967920364
ABHD17B	-0.302654007642202	0.000217050409006947
ABHD17C	-0.167956919866037	0.328729046624655
ABHD18	-0.111633413908128	0.336995079944095
ABHD2	-0.586664113087894	0.000975802205125073
ABHD3	0.1923723012462	0.257524905433973
ABHD4	0.343859612469274	0.00236146989900502
ABHD5	-0.994218413015387	2.78440046811345e-06
ABHD6	0.737741436065413	6.22267853702155e-05
ABHD8	0.136290320466113	0.511641622829839
ABI1	0.023564100836369	0.889254413224585
ABI2	0.287629881765202	0.126404154925603
ABI3	0.167458016202168	0.173272775407412
ABI3BP	0.092749135885791	0.766451858782797
ABITRAM	0.0193529243697377	0.870052198569246
ABL1	-0.147448140792969	0.127773145993071
ABL2	-0.794140378306052	0.000147345978860065
ABLIM1	0.496507538956285	0.0321759133546284
ABLIM2	-0.328188746741608	0.0110530600528439
ABLIM3	-0.0598916657872888	0.830591571358301
ABO	0.344491357000098	0.0864665857901888
ABR	0.426444325859647	0.000350510806045
ABRA	0.0460999791819061	0.801664866393625
ABRACL	-0.72810208407285	0.00105142052400886
ABRAXAS1	0.120677493958302	0.270509625771157
ABRAXAS2	0.107196763692761	0.343472773735005
ABT1	0.076158859090981	0.489061386483897
ABTB1	0.237726543033979	0.109740446270595
ABTB2	-0.255183243585403	0.201388992935653
ACAA1	0.134456304528369	0.162069871603009
ACAA2	-0.0962490855470008	0.595247997461404
ACACA	-0.33703662027402	0.0175409298878015
ACACB	0.225453091133163	0.582095858694108
ACAD10	0.0466330572448186	0.71356069884433
ACAD11	0.384748500115471	0.138594754680559
ACAD8	-0.257366292355779	0.011488812506613
ACAD9	-0.163665313666748	0.209893315017517
ACADL	0.468653460811705	0.136303210401417
ACADM	0.0757966713480105	0.651542276966298
ACADS	-0.0665185345324577	0.827262963598876
ACADSB	0.358054170457592	0.00134021895808043
ACADVL	0.0556197778350764	0.774564807836217
ACAN	0.931816262169175	0.0130063914146278
ACAP1	-0.86147726355304	0.00054560087578573
ACAP2	0.08503889435951	0.640518949055526
ACAP3	0.152229180103088	0.0998819283078375
ACAT1	-0.0257010217948892	0.881721467020022
ACAT2	-0.314573037831648	0.00282349014705884
ACBD3	0.00654875039002434	0.969950684231308
ACBD4	0.134292350344456	0.334931256569049
ACBD5	0.253317575660647	0.0166012146342524
ACBD6	-0.0959186540476882	0.295663524972831
ACBD7	0.0859936640225776	0.670478721991029
ACCS	0.544234855156809	0.00528958339019734
ACCSL	-0.0561305117729942	0.629087573846071
ACD	0.265306054006555	0.00790366979315667
ACE	0.237218227762227	0.0324258878524413
ACE2	0.125398211803542	0.445553886977236
ACER1	-0.180239699857074	0.204455842850383
ACER2	-0.264697785685081	0.0176092798960129
ACER3	-0.117296800615598	0.27245163063098
ACHE	-0.698641322651321	0.0385463821838288
ACIN1	0.0333432145129198	0.859579657249662
ACKR1	-0.494086080875688	0.150845128381488
ACKR2	0.161542669126002	0.341548859725672
ACKR3	0.535499842690237	0.0159393323677775
ACKR4	0.362874319634851	0.00472795482248484
ACLY	-0.662316403518485	1.53090441112002e-05
ACMSD	-0.123431698380306	0.0615447696676797
ACO1	0.0178037724374285	0.960441572718036
ACO2	-0.0374781816153487	0.809509555370516
ACOT1	-0.00317090684804988	0.99121953786367
ACOT11	-0.311561804817469	0.0778312587712151
ACOT12	-0.686295422332062	0.000272492178266511
ACOT13	0.274110514972641	0.0366730621972394
ACOT4	0.491465109389829	0.0399459718219276
ACOT6	0.21653376600876	0.0997296552976349
ACOT7	-0.231904699568148	0.189435900199066
ACOT8	-0.186818813408633	0.0583127680587603
ACOT9	0.0997607436929666	0.348605440916111
ACOX1	0.635223815628649	0.000145125974367159
ACOX2	0.95232738767754	3.15543861950479e-07
ACOX3	-0.104216734496367	0.443397633220565
ACOXL	0.0913621451603666	0.787004363429352
ACOXL-AS1	-0.938852506926926	0.00190967918411697
ACP1	-0.727107423701449	1.60470236670106e-07
ACP2	-0.31179802477094	0.0187304946219413
ACP4	-0.251525232548771	0.083420938361357
ACP5	0.379236790282793	0.560104292247909
ACP6	0.128170624447041	0.551442092983707
ACP7	-0.509671236007389	0.0127461349252759
ACPP	-0.606059534559474	5.56653617925716e-08
ACR	0.0177835461262639	0.895582912876054
ACRBP	-0.626826899947913	0.0032131331125889
ACRV1	-0.0446243164743452	0.674895974347567
ACSBG1	-0.672705822214738	5.35532483687991e-07
ACSBG2	-0.117740747817106	0.43320533162498
ACSF2	0.42500074823811	0.0100693232734026
ACSF3	0.189367488888051	0.529871332347406
ACSL1	-0.452803959437832	0.329396538784132
ACSL3	0.365925507916282	0.00357459773205257
ACSL4	-0.417645578591459	0.0156531431146925
ACSL5	0.0161910094122657	0.942568866566829
ACSL6	-2.57286846470494	2.89425084995819e-10
ACSM1	0.00322372355571865	0.981347531143863
ACSM2B	0.363537638670936	0.0260655018338781
ACSM3	-0.283419636235353	0.0575843070223123
ACSM4	0.11806172927721	0.601690310400665
ACSM5	0.289105284055958	0.269350332847788
ACSM6	-0.101340264338889	0.30179744276388
ACSS1	-0.0998998355590395	0.509552849984138
ACSS2	-0.0365230887616494	0.872165880561203
ACSS3	0.374560682948966	0.147020659624261
ACTA1	0.226969936633828	0.879637687837264
ACTA2	0.421612382250482	0.0876660679117571
ACTA2-AS1	0.244130945251556	0.0603872602053252
ACTB	0.107062215073631	0.430838213226387
ACTBL2	-0.155577381707177	0.268757697881499
ACTC1	0.0520436252279888	0.617494419513153
ACTG1	-0.209979743605171	0.0981815882521479
ACTG1P17	0.164714558010429	0.218572845422465
ACTG1P20	0.0499986596182325	0.769391482256459
ACTG1P4	0.335757227373094	0.506437704857172
ACTG2	-0.205536148090508	0.560572856778842
ACTL10	-0.00208230848214086	0.992622035923615
ACTL6A	-0.206981534239354	0.0211636731506985
ACTL6B	-0.168545246629874	0.468608711587388
ACTL7A	-0.0504461770638116	0.828909400398981
ACTL7B	-0.0705989738253381	0.662552086779733
ACTL8	0.112785684840938	0.439300943050832
ACTL9	0.0695239443626914	0.637455470341067
ACTN1	-0.15617675036841	0.363502251389765
ACTN2	-0.100017799887573	0.46564350206291
ACTN3	-0.251872399622718	0.100053807347587
ACTN4	0.1175795888716	0.431373777492725
ACTR10	-0.0136573953518475	0.923018260316309
ACTR1A	-0.190855425682763	0.0922937290833588
ACTR1B	-0.0387495226333279	0.840222444209239
ACTR2	-0.236988873672372	0.0892279650946584
ACTR3	-0.719157528074886	7.12432962916327e-07
ACTR3B	-0.304623935197229	0.0345749436583054
ACTR3BP2	-0.00775804813800285	0.960358702429162
ACTR3BP5	0.129906009955924	0.527206965600407
ACTR3C	-0.0352068537403509	0.857286180001492
ACTR5	-0.167965180150238	0.0317631471554288
ACTR6	0.329059752573611	0.0311141643888621
ACTR8	0.122653885443654	0.242028391054744
ACTRT1	-0.247754734005066	0.0359277031426883
ACTRT2	0.122327661993831	0.411833293123506
ACTRT3	0.175756026976734	0.250111437284314
ACVR1	0.078205938122915	0.564041843025729
ACVR1B	-0.152930320507031	0.249922667882136
ACVR1C	0.273131943546071	0.591048512141176
ACVR2A	0.436816133892345	0.000795851440189476
ACVR2B	0.478481269541538	0.000519852925631089
ACVR2B-AS1	0.312469483327706	0.0208549915254358
ACVRL1	0.76270080231118	0.00851726839598629
ACY1	0.177561189641413	0.194876000040007
ACY3	-0.475173202108564	0.000308400295302558
ACYP1	0.188851653480798	0.312398769515889
