ID	OA.Subchondral.bone.from.medial.tibialvsOA.Subchondral.bone.from.lateral.tibial_logFC	OA.Subchondral.bone.from.medial.tibialvsOA.Subchondral.bone.from.lateral.tibial_padjFilter
A1BG	0.654455075814492	1.17916306226385e-07
A1BG-AS1	0.570905808081434	7.92274360036724e-05
A1CF	0.063700565967534	0.133097175696834
A2M	0.0913033150603173	0.42790598102059
A2M-AS1	-0.428115558317785	1.34536620255498e-05
A2ML1	0.0251750685723922	0.651649733552446
A4GALT	-0.0500586572164217	0.66043105945137
A4GNT	0.0337397567131106	0.570170867739054
AAAS	0.0276917816213764	0.748237788969738
AACS	0.0210480355131608	0.849696182235005
AACSP1	-0.075701244716476	0.162493134497953
AADAC	0.0738868344904251	0.25397412513782
AADACL2	-0.13894004581731	0.225317302307014
AADACL3	-0.130699776275137	0.0582366900112007
AADACL4	0.036970470775147	0.464186614064814
AADACP1	0.0177247416546216	0.825442538297122
AADAT	0.387631674061634	1.06677368804338e-05
AAGAB	0.435461440734867	2.16313855799855e-06
AAK1	0.126080547345708	0.0823866662133757
AAMDC	-0.592061857198567	2.5906510982867e-06
AAMP	-0.393747108947993	0.000179492767291518
AANAT	0.559184171103189	0.0663804208401386
AAR2	0.0502670120503694	0.324738709445281
AARD	-0.015516244456621	0.852529748518965
AARS1	-0.123868402592487	0.211393286970529
AARS2	-0.226099701880315	0.000868212223117417
AASDH	0.0921005125911991	0.265942167223768
AASDHPPT	0.176577791608093	0.00923639923721604
AASS	-0.132236385557006	0.180899230258261
AATBC	-0.1800440201656	0.149060082630134
AATF	-0.146735327918845	0.00759354371007409
AATK	-0.0152077838246027	0.881100412244896
ABAT	0.0598236980425169	0.25881904452191
ABCA1	-0.343119955015585	0.00381492796825684
ABCA10	-0.651210666488314	5.98061193650616e-10
ABCA11P	-0.59892454167637	5.9376160137782e-07
ABCA12	0.127628957726913	0.0147885355297201
ABCA13	-0.0152456479060126	0.948243139571581
ABCA17P	-0.103945626704618	0.150779037392468
ABCA2	0.121417349663078	0.0672671930365965
ABCA3	-0.661339111731152	5.53871784031393e-07
ABCA4	-0.295184975988622	0.00259384444140987
ABCA5	-0.951350876913969	1.19707172738779e-11
ABCA6	-1.10946170126308	8.96921747793006e-07
ABCA7	-0.0927633448884464	0.444383485795507
ABCA8	-1.13323052828306	1.38891641834025e-07
ABCA9	-0.477025118165175	0.000176546545340606
ABCB1	0.652942822931367	3.80565962719549e-08
ABCB10	-0.108207969080145	0.239702732668326
ABCB11	0.0461110675814549	0.408872594430117
ABCB4	0.83618743949491	5.75678551844307e-09
