ID	X8.wks.post.surgery_treatedvsX8.wks.post.surgery_untreated_logFC	X8.wks.post.surgery_treatedvsX8.wks.post.surgery_untreated_padjFilter
Best1	0.144685458962599	NA
LOC382513	-0.0360597007688046	NA
1500011K16Rik	0.0306019036259926	0.951124428226148
Cradd	0.018264413364907	NA
Rcan2	0.000308001304537342	0.99876778316803
scl0002023.1_27	0.0149294241752003	NA
Mfap3l	0.0956903737760566	0.636772068530801
LOC380654	0.0443985966498586	NA
Parl	0.107159743037044	0.889566122633699
EG665509	0.20979701978608	0.562343404927409
Tcerg1l	0.0936386363624742	NA
1600021P15Rik	0.289382538853136	NA
LOC231444	0.0686696691161517	NA
Strap	-0.152464446018506	0.720584357508149
Lman1	0.0801555315840421	0.742415280896142
LOC232890	0.0654204818341348	0.795451667088009
2310045L10Rik	-0.06681532464708	NA
D430018P08	-0.194756741904102	NA
Slc6a13	-0.108836827189103	NA
Zkscan5	-0.0215435638920987	0.92034576090184
4732496O08Rik	0.102060086692198	NA
Gcc2	-0.450272686565413	0.0558447252479619
LOC383811	0.118973665742508	NA
9330137I11Rik	-0.0538356125862789	NA
Rftn2	0.0250823649190686	0.964690977835274
LOC385110	0.103171299595134	NA
3110001O07Rik	-0.321313458998732	0.0720865636197923
1700041I07Rik	0.0391395425910668	NA
9030018K07Rik	0.00440487037052506	NA
LOC245147	0.0178121940744029	NA
A630046I07Rik	0.0738684993049992	NA
Map3k7ip3	-0.0664360105760879	NA
Elac2	0.0810162557533909	NA
LOC239370	0.0171991902450417	NA
LOC100045940	0.0881891755794966	NA
Fank1	0.0905142704470254	NA
LOC380688	0.0472731898072842	NA
Ptpn2	0.0817502160623373	0.631915447532772
Atp8a1	-0.0347044958211127	NA
A030014E15Rik	0.108904483438628	NA
Mapk13	0.0546765416741239	NA
Snx33	0.076817662691969	0.664205218923844
Gpr84	0.0439078464545171	0.793641260551312
Ampd3	0.0792264374975788	0.853305214423672
Hba-a1	0.107091242417706	0.924202170310667
Kras	-0.315742215589744	0.240968180747219
Rasef	0.0228455354136985	NA
Prss23	-0.00790506965871796	NA
Hsd17b11	0.196945835084635	NA
AI987712	-0.098558028490916	NA
Cd300e	-0.13237682186258	NA
Tgif1	-0.629307113682932	0.0205355962370886
Prnpip1	-0.287914035181536	0.0603953167358968
Msmb	0.11275201544576	NA
LOC383750	0.00110875270805799	NA
Ptf1a	0.0909793884416619	NA
5330430C04Rik	0.0176575018819927	NA
Rhoip3-pending	0.190594387003905	0.35347495711488
Fgd6	-0.00855005723005586	NA
Hgd	0.00774537014269239	NA
Elavl4	0.111798038860586	NA
LOC100048316	0.0341031636206557	NA
Mab21l1	0.19248574012787	NA
LOC630242	-0.21543464073108	0.313539957504249
Sdccag3	0.287012546960336	0.144617004368242
Olfr545	0.0727637311640725	NA
LOC545750	0.113385285740579	0.53982312507212
A430106P18Rik	-0.0636193402068086	NA
B230112I24Rik	-0.14483092713378	NA
IGKV4-75_AJ231227_Ig_kappa_variable_4-75_15	0.121026486847887	NA
4930511I11Rik	0.035681586807133	NA
Mmab	0.163921899929011	NA
H13	0.110709293553633	0.481969542730402
Mrc2	-0.0596768790684932	0.848911856276127
Synj2	0.0553417493648656	NA
Kif18a	0.0320750032532269	NA
LOC384920	0.00947814554209803	NA
9330162L04Rik	0.000896159395997742	NA
Pou3f3	0.0905201593260365	NA
Plekhk1	-0.096282125910478	NA
C530038F07Rik	-0.213714129053113	0.445270165785023
Pla2g2e	-0.0185299170888769	NA
LOC277927	-0.175260650957957	NA
D830048B13Rik	0.170214363746211	0.66983901495968
Ror1	0.0810780388765009	NA
LOC223263	-0.0287636281928867	NA
Tgif2	-0.0873325896034842	NA
2610528H13Rik	-0.0406545547122299	NA
Ugt1a6a	-0.0829644904976528	NA
Ptprc	-0.266502247135856	0.237186853496224
Lrig2	-0.116765599998224	0.511535529784089
Rnf24	-0.0522181757226434	NA
Fer1l3	0.478376792926841	0.219142569576374
4930556L07Rik	0.016839794031962	NA
Rybp	-0.0465220878155677	0.854162883580093
9630050A07Rik	-0.195672078371162	NA
Glrx3	0.0212093214358466	NA
LOC381754	0.0727190549479948	NA
Zbtb26	-0.203301339903271	0.292264499530166
Adh5	-0.0144983878627389	NA
Pitpnm3	0.0392780092584939	NA
LOC381647	-0.00663102770262647	NA
LOC384112	0.0822575170086539	NA
LOC385303	-0.0103812351720265	NA
LOC100046278	-0.00480588450373176	NA
LOC235444	-0.0283380174731835	NA
Arhgef19	0.0261429809324385	0.941535229626461
Tcfcp2	-0.0208042476096475	NA
Tex19.2	0.00926462469640299	NA
LOC381119	-0.0310037048814653	NA
Ppil5	0.0374564919004019	NA
Tex18	0.103029988658186	NA
LOC100045316	0.0772400355896714	NA
Nr2e3	-0.00677935173592115	NA
Cask	0.165720772211456	0.347638145319014
E330007H08Rik	-0.0861099274722985	NA
Rab4a	0.0823332004126138	NA
Slc7a3	-0.00130667040436805	NA
Fam171b	0.0738861897812013	0.849172886652124
A930018M19Rik	0.0815468482971458	NA
Ttll5	-0.0560486983386461	NA
Tial1	-0.07880457386063	0.741993285396484
Olfr345	0.0965225297395413	NA
LOC269676	-0.0608038199486618	NA
LOC100047899	0.0365730469046692	NA
Tnrc18	-0.119283298349287	NA
6330416L11Rik	-0.0358805316237616	NA
Fzd4	0.0573372363743019	0.714515208732359
LOC100045840	-0.0802928963621827	NA
Aif1	0.0976707128107774	0.719537791090947
Oxct2b	-4.90268770798608e-05	NA
Ap2s1	-0.0520646651922227	0.810931347428902
LOC627081	0.0287683519958808	NA
5730599A22Rik	-0.118575320026462	NA
Ncstn	-0.0500243072639996	NA
Txlnb	0.0861595658528094	NA
LOC383038	0.0544238045227594	NA
A930004J17Rik	0.0722780590976733	NA
Slc16a13	-0.0306481761879835	NA
LOC381186	0.0223090615698123	NA
BC039210	-0.0335484080308808	0.885669276775604
Iqch	-0.165925891769321	NA
Wdr4	0.0848523736309481	NA
Igbp1	0.0479867388799562	NA
LOC329824	-0.0813109172702795	NA
Wdr23	0.3502263643128	0.0655462370183401
A130096P14Rik	0.0970598923729069	NA
Lman1l	0.0660019534794936	NA
