ID	OAvsPreserved_logFC	OAvsPreserved_padjFilter
7A5	-0.0107089355389514	0.840336791506404
A1BG	-0.00383432490715663	NA
A1BG	-0.00271383646966239	NA
A1CF	0.011628904360272	NA
A1CF	0.0229569467342081	NA
A1CF	0.00766734912915723	NA
A26C3	-0.0374273619898364	0.285547580252896
A26C3	0.0267874336798855	NA
A26C3	-0.0244207132201986	NA
A2BP1	-0.0115300784096304	NA
A2BP1	-0.00535026493606061	0.944370487197638
A2BP1	0.0118679079803323	NA
A2BP1	-0.0286664962734191	0.499227887516247
A2M	-0.121861903106311	0.339683142856852
A2ML1	-0.01022790835981	NA
A3GALT2	0.00276544775628196	NA
A3GALT2	-0.0104091754816293	NA
A4GALT	0.194262663957879	0.000675299772001929
A4GNT	0.0150110457211632	0.888219294519661
AAA1	6.83387209949871e-05	0.999458920185552
AAA1	0.0286625216866394	0.537165962690061
AAA1	0.0349656386826949	0.630179802753207
AAA1	0.0143639723956168	NA
AAA1	-0.0220757848442155	NA
AAAS	-0.00764475302558942	0.905570237034628
AACS	0.101475832721224	0.180738142841212
AACSL	0.0014089509866384	NA
AADAC	0.0151356701058507	NA
AADACL1	0.00598808633223236	NA
AADACL1	0.00204827914882877	0.979910461476222
AADACL2	0.0109916379844721	NA
AADACL3	0.0165511805544485	NA
AADACL4	-0.00736926781861502	NA
AADAT	-0.0216496277546687	NA
AADAT	-0.0284487275646805	NA
AADAT	0.00908483697434281	NA
AADAT	-0.0634019610143426	0.411605100252927
AAK1	0.0175289291884386	0.807747920008121
AAK1	0.025468481340468	NA
AAK1	-0.0534144121527884	NA
AAMP	-0.0515917568996151	0.198620506038146
AANAT	0.00351296098585419	NA
AARS	-0.0332943962199348	0.721235610110768
AARS2	0.0255658427732577	0.664893728270696
AARSD1	-0.0957018719294691	0.135971408048796
AASDH	-0.0372628724050159	0.650368974863932
AASDHPPT	0.0551425313724359	0.512702952182149
AASDHPPT	-0.0177998618302109	0.772549238796534
AASS	-0.0266542288002807	0.494649891476917
AASS	0.0118320578451829	NA
AATF	0.0389498091659277	0.595216291283616
AATK	0.007968946978127	NA
AATK	-0.00641193859952871	NA
AATK	0.0358276696460127	0.588337896831616
ABAT	0.0340056202305217	0.453692039765852
ABAT	-0.0773049762194455	NA
ABAT	-0.00787318526901082	0.893697646447589
ABCA1	-0.210986263857066	0.117118131352068
ABCA10	0.0433959478247203	0.796194737663093
ABCA10	-0.0150872514697484	NA
ABCA11	-0.0202225098618847	0.759797126874472
ABCA12	0.0182719054551477	0.674596530930745
ABCA12	-0.0148593075321797	NA
ABCA13	0.0224808847233744	NA
ABCA2	-0.0192596416457178	NA
ABCA2	0.00515994728982072	0.940537063137445
ABCA3	-0.0274858048950453	0.536667583155133
ABCA4	0.0163470682436166	0.726241498222265
ABCA5	-0.0127679834029033	0.878702840315239
ABCA5	-0.0768286487435859	NA
ABCA5	-0.0187738486066085	NA
ABCA6	-0.0573199302663738	NA
ABCA6	-0.0714157371358075	NA
ABCA7	0.00401934348975708	NA
ABCA7	-0.0347284219924706	0.539600442279545
ABCA7	-0.00663727821060789	NA
ABCA8	0.0197900318444022	NA
ABCA8	-0.060789090673028	0.487228005113908
ABCA9	-0.0165782405973536	0.787197066891622
ABCA9	0.0222307214949211	NA
ABCB1	-0.0129769550816485	NA
ABCB1	0.0156249159083783	NA
ABCB10	-0.00151640505787309	0.985956638339174
ABCB11	0.0117917810059494	NA
ABCB4	-0.0360218599749915	0.413060138737627
ABCB5	0.0268276668122729	0.607866353054887
ABCB6	-0.151369146397348	0.000816935187518344
ABCB7	-0.0437304633098297	0.383806385834946
ABCB8	0.0301416657867213	0.467495280602571
ABCB9	-0.0277694041833847	NA
ABCB9	-0.105653625864781	0.087488379007959
ABCB9	-0.110888005172374	0.0253700627982591
ABCC1	0.00290002237786879	0.955769761643504
ABCC1	0.106953110417421	0.0420809207068016
ABCC10	-0.00768576524360753	0.914014878322259
ABCC11	-0.0144604687567451	0.733267936809777
ABCC11	-0.0132727681123077	NA
ABCC11	-0.0105551418170187	NA
ABCC12	0.0119343611604297	0.819977228800962
ABCC13	0.040881675946598	0.411605100252927
ABCC13	0.0266004166757003	0.805157928323538
ABCC13	-0.00530919443644517	NA
ABCC2	0.0219043484197332	0.573671642604736
ABCC3	0.0120723368428379	0.873398354313485
ABCC3	0.0218364935494186	0.908728837200517
ABCC4	0.0146840216985993	0.864710309315011
ABCC4	-0.0120589109643117	0.791079633983247
ABCC5	0.00407200433241961	NA
ABCC5	-0.0481678374098884	0.311558428457445
ABCC5	-0.0572348062366483	0.238868411463982
ABCC6	0.0237756798477902	NA
ABCC6	-0.00181479013242569	NA
ABCC6	-0.0197584913015731	NA
ABCC6	0.0168244478720396	0.905508029802558
ABCC6	0.00401781631799913	NA
ABCC6	0.000248996338500618	NA
ABCC8	-0.289308730828211	4.95329990064093e-06
ABCC9	0.00286027892845375	0.95685553165022
ABCC9	-0.0365463697907975	NA
ABCC9	0.000587577716308019	NA
ABCD1	0.0046680755496018	0.967191449859364
ABCD2	-0.0181947724970222	NA
ABCD2	-0.0425821330248066	NA
ABCD3	0.0465632034150012	0.113146836183595
ABCD4	-0.0266172757534848	NA
ABCD4	-0.0111088887880388	NA
ABCD4	-0.00911135588900081	NA
ABCD4	0.00477175883897374	NA
ABCE1	0.0500765502368985	0.321562993718833
ABCE1	0.0304107750510649	0.750347267759231
ABCF1	0.0143878149276695	0.848624247893648
ABCF1	0.0162804065173727	0.91299763080231
ABCF2	-0.103664488191471	NA
ABCF2	0.0583649160170729	0.308587759174012
ABCF2	-0.00164828745476697	NA
ABCF3	-0.0180691274170499	0.773076677695808
ABCG1	-0.0114054724253627	0.878744175696738
ABCG1	-0.00521724803515511	NA
ABCG1	-0.00866863035387322	NA
ABCG1	0.0152254227709356	NA
ABCG1	0.0339903978221026	NA
ABCG1	-0.0305518154795079	0.38762470871961
ABCG2	0.00123505011064218	NA
ABCG4	0.0120877130955437	NA
ABCG5	-0.0149406076238892	0.756757791122658
ABCG8	-0.00120045198639929	0.988696629393441
ABHD1	0.0119258177104697	0.873510855354721
ABHD10	-0.185813921223428	0.000138961836788395
ABHD11	-0.00573292850459239	NA
ABHD11	-0.0166034540512161	NA
ABHD11	0.000357994466855693	NA
ABHD12	0.0075391618731171	0.904539650382755
ABHD12	0.107562040258903	0.0220245708764308
ABHD12	0.163176508474931	0.0333667165595488
ABHD12B	-0.0211504968142044	NA
ABHD12B	0.0145103586236628	NA
ABHD12B	-0.0137189698381857	NA
ABHD13	-0.003363702144771	NA
ABHD13	0.0152676386925439	NA
ABHD14A	-0.0834596168676143	0.14887405040923
ABHD14B	-0.0865384834108571	0.151243370206334
ABHD15	0.0196086851381914	NA
ABHD2	0.0664758159459096	0.0356910582724931
ABHD2	-0.0173029198994472	NA
ABHD2	0.0486004195664442	NA
ABHD3	-0.00934873562729344	0.889730931734963
ABHD4	-0.0450486562630168	0.404518097710694
ABHD5	-0.0119084059138297	NA
ABHD6	-0.000316815166737427	0.997699771812474
ABHD7	0.008821426970548	NA
ABHD8	-0.0227005264033	0.76587287729175
ABHD9	0.0201047609075236	0.744120198549581
ABI1	-0.0279642244707006	NA
ABI1	0.0226453893154055	0.767597773799526
ABI2	0.00263884680255533	NA
ABI2	0.0498044448205679	0.363604765297099
ABI2	0.00323734956293897	NA
ABI2	0.0380296790880781	0.704472393198727
ABI3	0.0294287110261733	0.55069333314545
ABI3BP	0.563373889559788	3.82741829053969e-05
ABL1	0.107662594572538	0.191378066235305
ABL1	-0.0191632124080368	0.647771013075603
ABL1	-0.0061945351274133	NA
ABL2	0.00537106351125249	NA
ABL2	-0.0404415937546823	0.686175195648396
ABL2	-0.0264145175760149	NA
ABLIM1	0.0297058884435444	0.813406425105382
ABLIM1	0.0127380475218972	NA
ABLIM1	-0.0518698021362249	NA
ABLIM1	0.055393722329705	0.371904604139862
ABLIM2	0.0611294210197109	0.267182937324903
ABLIM3	0.0465573581538701	0.205600151196356
ABO	0.00101395975690544	NA
ABP1	-0.0113791863902195	NA
ABR	0.268211310281757	8.10268176735703e-05
ABR	0.0194904295979885	NA
ABR	0.0252492650562104	NA
ABRA	0.0273304406326913	NA
ABT1	0.000376003930065316	NA
ABTB1	-0.0601282199979423	0.210129765602564
ABTB1	-0.0476591395308343	0.733664807748398
ABTB2	0.0736490544531332	0.365882700794928
ACAA1	-0.0056487860568577	0.947250776730569
ACAA2	-0.0941693727913915	0.0356061341322137
ACACA	0.000624030332136982	0.992827178799823
ACACA	-0.025105637450709	0.684537105028665
ACACA	0.0047609552786172	NA
ACACB	-0.0864754088562396	0.0869241333125063
ACAD10	-0.0106586249558305	0.86679214715176
ACAD11	-0.0612865035224139	0.599588530529517
ACAD8	0.0593470539138803	0.531202734944633
ACAD8	0.00389720898156032	NA
