PMID	Target	Intervention	Effect on gene product	Model	Susceptibility observed	Inferred gene effect	Delivery	Species	pub_date	LastAuthor
11237660	TGFB1	Viral	Overexpression	Spontaneous	Detrimental	Detrimental	Articular cavity	Mouse	2001 Feb	van den Berg WB
12077282	TGFB1	soluble TGF-beta-RII	Removal	papain	Protective	Detrimental	Articular cavity	Mouse	2002 Jul 1	van den Berg WB
12794826	MAP2K1	PD 198306	Inhibition	Surgical - ACLT	Protective	Detrimental	systemic	Rabbit	2003 Jun	Martel-Pelletier J
12794826	MAP2K2	PD 198306	Inhibition	Surgical - ACLT	Protective	Detrimental	systemic	Rabbit	2003 Jun	Martel-Pelletier J
13129693	CASP1	pralnacasan	Inhibition	Collagenase	Protective	Detrimental	systemic	Mouse	2003 Oct	van den Berg W
13129693	CASP1	pralnacasan	Inhibition	STR/ort	Protective	Detrimental	systemic	Mouse	2003 Oct	van den Berg W
14673992	OSM	Protein	exogenous	Spontaneous	Detrimental	Detrimental	Articular cavity	Mouse	2003 Dec	Cawston TE
14673992	TNF	Protein	exogenous	Spontaneous	Detrimental	Detrimental	Articular cavity	Mouse	2003 Dec	Cawston TE
14673995	SMAD6	Viral	Overexpression	papain	Protective	Protective	Articular cavity	Mouse	2003 Dec	van den Berg WB
14673995	SMAD7	Viral	Overexpression	papain	Protective	Protective	Articular cavity	Mouse	2003 Dec	van den Berg WB
14673995	TGFB1	MLAP-1	Inhibition	papain	Detrimental	Protective	Articular cavity	Mouse	2003 Dec	van den Berg WB
14673995	TGFB1	Viral	Overexpression	papain	Protective	Protective	Articular cavity	Mouse	2003 Dec	van den Berg WB
15231019	CCN2	Protein	exogenous	MIA	Protective	Protective	Articular cavity	Rat	2004 Mar 29	Takigawa M
15692987	PPARG	Pioglitazone	Activation	Surgical - MM	Protective	Protective	systemic	Guinea pig 	2005 Feb	Pelletier JP
16394269	HSPA2	Viral	Overexpression	MIA	Protective	Protective	Articular cavity	Rat	2006 Jan	Gillet P
16584530	TGFB1	Viral	Overexpression	STR/ort	Ambiguous	Ambiguous	Articular cavity	Mouse	2006 Mar 29	van der Kraan PM
16646035	CCN2	Viral	Overexpression	Spontaneous	Detrimental	Detrimental	Articular cavity	Mouse	2006 May	van der Kraan PM
17326835	LGALS3	Protein	exogenous	Spontaneous	Detrimental	Detrimental	Articular cavity	Mouse	2007	Reboul P
17590359	BMP2	Protein	exogenous	Collagenase	Protective	Protective	Articular cavity	Rat	2007 Jun 22	Han B
17599750	PPP3CA	Cyclosporin A	Inhibition	Surgical - DMM	Protective	Detrimental	Articular cavity	Mouse	2007 Jul	Kim WU
17623656	MMP13	MMP13 inhibitor	Inhibition	Surgical - DMM	Protective	Detrimental	systemic	Rabbit	2007 Jul 10	Dyer RD
17907189	TNFRSF11B	Protein	exogenous	Surgical - DMM	Protective	Protective	Articular cavity	Mouse	2007 Oct	Muneta T
17977753	BMP7	Protein	exogenous	Surgical - ACLT	Protective	Protective	Articular cavity	Rabbit	2007 Oct 31	Amiel D
18182309	IL4	Protein	exogenous	Surgical - DMM + ACL + MM	Protective	Protective	Articular cavity	Rat	2008 Jan 7	Ozaki T
18668550	TNFRSF11B	Protein	exogenous	Surgical - DMM + MM	Protective	Protective	Articular cavity	Mouse	2008 Aug	Cohen-Solal ME
18941854	BMP7	Protein	exogenous	Surgical - ACLT	Protective	Protective	Articular cavity	Rabbit	2008 Oct 22	Amiel D
