PMID,Gene,Effect on gene product,Model,Susceptibility observed,Inferred gene effect,Specificity,Species,pub_date,LastAuthor
30813547,ACAN,Misexpression,Spontaneous,Detrimental,Protective,Cartilage,Mouse,2019 Feb 26,Aszodi A
17510707,ACAN,Protect,Surgical - DMM,Protective,Protective,Global,Mouse,2007 May 17,Fosang AJ
15818704,ADAM15,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2005 Apr,Burkhardt H
29618652,ADAMTS12,Removal,Spontaneous,No effect,No effect,Global,Mouse,2018 Apr 5,Apte SS
15334469,ADAMTS4,Removal,Surgical - DMM,No effect,No effect,Global,Mouse,2004 Aug,Morris EA
21337391,ADAMTS5,Removal,Surgical - DMM,Protective,Detrimental,Global,Mouse,2010 Oct 26,Plaas A
21337391,ADAMTS5,Removal,TGFB and Treadmill,Protective,Detrimental,Global,Mouse,2010 Oct 26,Plaas A
19010693,ADAMTS5,Removal,Surgical - DMM,Protective,Detrimental,Global,Mouse,2008 Oct 17,van Osch GJ
17968948,ADAMTS5,Removal,Surgical - DMM,Protective,Detrimental,Global,Mouse,2007 Nov,Glasson SS
15800624,ADAMTS5,Removal,Surgical - DMM,Protective,Detrimental,Global,Mouse,2005 Mar 31,Morris EA
23928557,ADAMTS7,Overexpression,Spontaneous,Detrimental,Detrimental,Cartilage,Mouse,2013 Aug 8,Liu CJ
23928557,ADAMTS7,Overexpression,Surgical - DMM,Detrimental,Detrimental,Cartilage,Mouse,2013 Aug 8,Liu CJ
23928557,ADAMTS7,Removal,Surgical - DMM,Protective,Detrimental,Global,Mouse,2013 Aug 8,Liu CJ
29618652,ADAMTS7,Removal,Spontaneous,No effect,No effect,Global,Mouse,2018 Apr 5,Apte SS
30088034,ADORA3,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2018 Aug 7,Evseenko D
28492224,ADORA2A,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2017 May 11,Cronstein BN
31926929,ADRB2,Removal,Surgical - TMJ,Protective,Detrimental,MSC,Mouse,2020 Jan 9,Jiao K
29667227,AGER,Removal,Impact,No effect,No effect,Global,Mouse,2018 May 24,Martin JA
27236646,AGER,Removal,Surgical - TMJ,Protective,Detrimental,Global,Mouse,2016 May 14,Kooyman DL
23755017,AGER,Removal,Surgical - DMM,Protective,Detrimental,Global,Mouse,2013 May 28,Kooyman DL
19342682,AGER,Removal,Surgical - ACLT,No effect,No effect,Global,Mouse,2009 Apr 15,Terkeltaub R
20187155,AKT1,Removal,Surgical - DMM + MM,Protective,Detrimental,Global,Mouse,2010 Mar,Kawaguchi H
28694081,ALOX15,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2017 Jul 8,Fahmi H
28694081,ALOX15,Removal,Surgical - DMM,Detrimental,Protective,Global,Mouse,2017 Jul 8,Fahmi H
30209244,ANP32A,Removal,Surgical - DMM,Protective,Detrimental,Global,Mouse,2018 Sep 12,Lories RJ
30209244,ANP32A,Removal,Collagenase,Protective,Detrimental,Global,Mouse,2018 Sep 12,Lories RJ
30209244,ANP32A,Removal,papain,Protective,Detrimental,Global,Mouse,2018 Sep 12,Lories RJ
30209244,ANP32A,Removal,Spontaneous,Protective,Detrimental,Global,Mouse,2018 Sep 12,Lories RJ
24022118,ANXA6,Removal,Surgical - DMM + MM,Protective,Detrimental,Global,Mouse,2013 Dec,Kirsch T
23151457,APOA1,Removal,High Fat Diet,Detrimental,Protective,Global,Mouse,2012 Nov 11,Papachristou DJ
29074298,APOE,Removal,High Fat Diet,Detrimental,Protective,Global,Mouse,2017 Oct 24,Stoop R
26687826,APOE,Removal,Collagenase,Detrimental,Protective,Global,Mouse,2015 Dec 12,van Lent PL
30610061,ARG2,Removal,Surgical - DMM,Protective,Detrimental,Global,Mouse,2019 Jan 4,Chun JS
31961823,ARPC2,Removal,Spontaneous,Detrimental,Protective,Cartilage,Mouse,2020 Feb 27,Risbud MV
27159257,ATF3,Removal,Surgical - DMM + MCL,Protective,Detrimental,Cartilage,Mouse,2016 Jun 14,Hinoi E
31511053,ATF6,Removal,Surgical - DMM,No effect,No effect,Global,Mouse,2019 Sep 11,Boot-Handford RP
26438374,ATG5,Removal,Spontaneous,Detrimental,Protective,Cartilage,Mouse,2015 Oct 5,Chagin AS
24386478,ATRX,Removal,Spontaneous,No effect,No effect,Forelimb,Mouse,2013 Dec 30,Beier F
30070692,AXIN1,Removal,Spontaneous,Detrimental,Protective,Cartilage Inducible,Mouse,2018 Aug 2,Chen D
30471358,B4GALNT1,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2018 Nov 22,Iwasaki N
26458773,BACH1,Removal,Spontaneous,Protective,Detrimental,Global,Mouse,2015 Oct 13,Ochi M
26458773,BACH1,Removal,Surgical - DMM + MCL,Protective,Detrimental,Global,Mouse,2015 Oct 13,Ochi M
27147707,BATF,Removal,Surgical - DMM,Protective,Detrimental,Global,Mouse,2016 May 4,Chun JS
27147707,BATF,Overexpression,Surgical - DMM,Detrimental,Detrimental,Cartilage,Mouse,2016 May 4,Chun JS
29971011,BBS1,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2018 Jun 19,Kooyman DL
19932218,BGN,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2009 Nov 18,Höök M
16006154,BGN,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2005 Sep,Ameye LG
11978731,BGN,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2002 May,Young MF
24448347,BMP2,Overexpression,Surgical - DMM,Detrimental,Detrimental,Cartilage Inducible,Mouse,2014 Jan 21,van der Kraan PM
25889639,BMP7,Removal,Spontaneous,Detrimental,Protective,Forelimb,Mouse,2015 Apr 15,Tsuji K
22057346,C5,Removal,Surgical - MM,Protective,Detrimental,Global,Mouse,2011 Nov 6,Robinson WH
22057346,C6,Removal,Surgical - MM,Protective,Detrimental,Global,Mouse,2011 Nov 6,Robinson WH
26011709,CACNA1G,Removal,Spontaneous,Protective,Detrimental,Global,Mouse,2015 May 26,Kirn-Safran CB
22122987,CALCA,Overexpression,Surgical - DMM,Protective,Protective,Global,Mouse,2011 Nov 13,Karsdal MA
31926346,CALCA,Removal,Surgical - DMM,Detrimental,Protective,Global,Mouse,2020 Jan 8,Grässel S
14673996,CASP1,Removal,Surgical - DMM + MM,Detrimental,Protective,Global,Mouse,2003 Dec,Mason RM
30496623,CASR,Removal,Surgical - UAC,Protective,Detrimental,Cartilage Inducible,Mouse,2019 Jan 7,Wang M
29622035,CCL17,Removal,Collagenase,Protective,Detrimental,Global,Mouse,2018 Apr 5,Cook AD
27965260,CCL2,Removal,Surgical - DMM,Protective,Detrimental,Global,Mouse,2016 Dec 13,Robinson WH
31424112,CCL2,Removal,Surgical -ACLT,Protective,Detrimental,Global,Mouse,2019 Aug 30,Krawetz RJ
31424112,CCL2,Removal,Spontaneous,No effect,No effect,Global,Mouse,2019 Aug 30,Krawetz RJ
31424112,CCL2,Removal,Surgical - Cartilage Injury,No effect,No effect,Global,Mouse,2019 Aug 30,Krawetz RJ
27746376,CCL2,Removal,Surgical - DMM,No effect,No effect,Global,Mouse,2016 Oct 13,Vincent TL
27965260,CCL5,Removal,Surgical - DMM,No effect,No effect,Global,Mouse,2016 Dec 13,Robinson WH
29925506,CCN2,Removal,Surgical - DMM,Protective,Detrimental,Inducible,Mouse,2018 Jun 20,Vincent TL
23951098,CCN2,Overexpression,Spontaneous,Protective,Protective,Cartilage,Mouse,2013 Aug 12,Takigawa M
25541297,CCN3,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2014 Dec 22,Boulter CA
27965260,CCR2,Removal,Surgical - DMM,Protective,Detrimental,Global,Mouse,2016 Dec 13,Robinson WH
31424112,CCR2,Removal,Surgical -ACLT,Protective,Detrimental,Global,Mouse,2019 Aug 30,Krawetz RJ
31424112,CCR2,Removal,Spontaneous,No effect,No effect,Global,Mouse,2019 Aug 30,Krawetz RJ
31424112,CCR2,Removal,Surgical - Cartilage Injury,Protective,Detrimental,Global,Mouse,2019 Aug 30,Krawetz RJ
27746376,CCR2,Removal,Surgical - DMM,Protective,Detrimental,Global,Mouse,2016 Oct 13,Vincent TL
23185004,CCR2,Removal,Surgical - DMM,No effect,No effect,Global,Mouse,2012 Nov 26,Malfait AM
29622035,CCR4,Removal,Collagenase,Protective,Detrimental,Global,Mouse,2018 Apr 5,Cook AD
27965260,CCR5,Removal,Surgical - DMM,No effect,No effect,Global,Mouse,2016 Dec 13,Robinson WH
25498590,CCR5,Removal,Surgical - DMM,Protective,Detrimental,Global,Mouse,2014 Dec 9,Sandell LJ
28767178,CCR7,Removal,Surgical - DMM,Protective,Detrimental,Global,Mouse,2017 Aug 29,Scanzello CR
30485272,CD14,Removal,Surgical - DMM,Protective,Detrimental,Global,Mouse,2018 Nov 28,Scanzello CR
31534047,CD47,Removal,Surgical - DMM,Protective,Detrimental,Global,Mouse,2019 Sep 19,Robinson WH
22057346,CD59,Removal,Surgical - DMM,Detrimental,Protective,Global,Mouse,2011 Nov 6,Robinson WH
