pigID	HumanID	pigGeneSymbol	HumanGeneSymbol
ENSSSCG00000018084	ENSG00000198840	ND3	MT-ND3
ENSSSCG00000024174	ENSG00000177426	TGIF1	TGIF1
ENSSSCG00000034194	ENSG00000181761	NA	OR8H3
ENSSSCG00000018078	ENSG00000198712	COX2	MT-CO2
ENSSSCG00000038002	ENSG00000252121	RF00026	RNU6-970P
ENSSSCG00000015022	ENSG00000204381	LAYN	LAYN
ENSSSCG00000019520	ENSG00000199094	ssc-mir-30c-2	MIR30C2
ENSSSCG00000018065	ENSG00000198888	ND1	MT-ND1
ENSSSCG00000008077	ENSG00000165233	CARD19	CARD19
ENSSSCG00000004393	ENSG00000155115	GTF3C6	GTF3C6
ENSSSCG00000034924	ENSG00000183340	JRKL	JRKL
ENSSSCG00000018092	ENSG00000198695	ND6	MT-ND6
ENSSSCG00000027476	ENSG00000222365	RF00581	SNORD12B
ENSSSCG00000019624	ENSG00000222365	RF00581	SNORD12B
ENSSSCG00000019928	ENSG00000252689	RF00401	RF00401
ENSSSCG00000031618	ENSG00000252689	RF00401	RF00401
ENSSSCG00000008923	ENSG00000035720	STAP1	STAP1
ENSSSCG00000034945	ENSG00000252083	RF00561	RF00561
ENSSSCG00000034945	ENSG00000212455	RF00561	RF00561
ENSSSCG00000036807	ENSG00000279408	NA	AC135068.3
ENSSSCG00000039144	ENSG00000169084	NA	DHRSX
ENSSSCG00000002557	ENSG00000183828	NUDT14	NUDT14
ENSSSCG00000034945	ENSG00000208308	RF00561	SNORA40B
ENSSSCG00000016442	ENSG00000002726	AOC1	AOC1
ENSSSCG00000018086	ENSG00000212907	ND4L	MT-ND4L
ENSSSCG00000039950	ENSG00000178966	RMI1	RMI1
ENSSSCG00000034945	ENSG00000252138	RF00561	RF00561
ENSSSCG00000018080	ENSG00000228253	ATP8	MT-ATP8
ENSSSCG00000007287	ENSG00000100983	GSS	GSS
ENSSSCG00000034945	ENSG00000212273	RF00561	RF00561
ENSSSCG00000034194	ENSG00000181693	NA	OR8H1
ENSSSCG00000032880	ENSG00000176253	NA	OR4K13
ENSSSCG00000019138	ENSG00000284353	ssc-mir-142	MIR142
ENSSSCG00000037668	ENSG00000204701	NA	OR2J3
ENSSSCG00000039016	ENSG00000251727	RF00026	RNU6-488P
ENSSSCG00000040107	ENSG00000101216	GMEB2	GMEB2
ENSSSCG00000006187	ENSG00000178860	MSC	MSC
ENSSSCG00000016491	ENSG00000257093	KIAA1147	KIAA1147
ENSSSCG00000033886	ENSG00000206536	NA	OR5K3
ENSSSCG00000037668	ENSG00000204700	NA	OR2J2
ENSSSCG00000006049	ENSG00000285982	NA	AC012213.5
ENSSSCG00000000958	ENSG00000127334	DYRK2	DYRK2
ENSSSCG00000034945	ENSG00000212149	RF00561	RF00561
ENSSSCG00000010330	ENSG00000108179	PPIF	PPIF
ENSSSCG00000034271	ENSG00000172468	NA	HSFY1
ENSSSCG00000036563	ENSG00000172468	NA	HSFY1
ENSSSCG00000036112	ENSG00000172468	NA	HSFY1
ENSSSCG00000018482	ENSG00000207308	RF00026	RNU6-878P
ENSSSCG00000034945	ENSG00000274458	RF00561	RF00561
ENSSSCG00000006829	ENSG00000143028	SYPL2	SYPL2
