mouseID	HumanID	mouseGeneSymbol	HumanGeneSymbol
ENSMUSG00000092932	ENSG00000283389	Gm22906	RF00017
ENSMUSG00000065346	ENSG00000202183	Gm25582	RF00394
ENSMUSG00000087887	ENSG00000212391	Gm23598	RF00554
ENSMUSG00000087887	ENSG00000212214	Gm23598	SNORA48B
ENSMUSG00000094824	ENSG00000281808	Gm23803	RF00560
ENSMUSG00000065947	ENSG00000212907	mt-Nd4l	MT-ND4L
ENSMUSG00000092932	ENSG00000276988	Gm22906	RF00017
ENSMUSG00000094824	ENSG00000212461	Gm23803	RF00560
ENSMUSG00000092932	ENSG00000277628	Gm22906	RF00017
ENSMUSG00000064368	ENSG00000198695	mt-Nd6	MT-ND6
ENSMUSG00000088314	ENSG00000200288	Gm26186	RF00425
ENSMUSG00000077421	ENSG00000207204	Gm24283	RNU6-393P
ENSMUSG00000087887	ENSG00000212604	Gm23598	RF00554
ENSMUSG00000087887	ENSG00000212445	Gm23598	RF00554
ENSMUSG00000064341	ENSG00000198888	mt-Nd1	MT-ND1
ENSMUSG00000087716	ENSG00000281516	Gm25825	RF00423
ENSMUSG00000065619	ENSG00000207691	Mir183	MIR183
ENSMUSG00000087887	ENSG00000252824	Gm23598	RF00554
ENSMUSG00000038059	ENSG00000256235	Smim3	SMIM3
ENSMUSG00000064354	ENSG00000198712	mt-Co2	MT-CO2
ENSMUSG00000092932	ENSG00000273866	Gm22906	RF00017
ENSMUSG00000094657	ENSG00000202521	n-R5s142	RNA5S7
ENSMUSG00000087887	ENSG00000212458	Gm23598	RF00554
ENSMUSG00000098614	ENSG00000275646	Gm27301	RF02174
ENSMUSG00000087716	ENSG00000281394	Gm25825	SCARNA4
ENSMUSG00000088314	ENSG00000252249	Gm26186	RF00425
ENSMUSG00000065371	ENSG00000207201	Gm22739	RNU1-148P
ENSMUSG00000064360	ENSG00000198840	mt-Nd3	MT-ND3
ENSMUSG00000096248	ENSG00000207014	Gm24264	SNORD116-3
ENSMUSG00000024256	ENSG00000141433	Adcyap1	ADCYAP1
ENSMUSG00000064357	ENSG00000198899	mt-Atp6	MT-ATP6
ENSMUSG00000065815	ENSG00000222297	Gm24697	RNU6-1156P
ENSMUSG00000096248	ENSG00000207442	Gm24264	SNORD116-6
ENSMUSG00000087887	ENSG00000252228	Gm23598	RF00554
ENSMUSG00000088803	ENSG00000222452	Gm24074	RN7SKP59
ENSMUSG00000065346	ENSG00000201133	Gm25582	RF00394
ENSMUSG00000087887	ENSG00000212383	Gm23598	RF00554
ENSMUSG00000094657	ENSG00000201355	n-R5s142	RNA5S14
ENSMUSG00000088419	ENSG00000252657	Gm24236	RF00156
ENSMUSG00000088314	ENSG00000252719	Gm26186	RF00425
ENSMUSG00000084609	ENSG00000201668	Gm22199	RF00019
ENSMUSG00000087887	ENSG00000212181	Gm23598	RF00554
ENSMUSG00000089504	ENSG00000238632	Gm23475	RNU7-126P
ENSMUSG00000092932	ENSG00000274008	Gm22906	RF00017
ENSMUSG00000092932	ENSG00000237611	Gm22906	RF00017
ENSMUSG00000092932	ENSG00000276746	Gm22906	RF00017
ENSMUSG00000096248	ENSG00000206727	Gm24264	SNORD116-9
ENSMUSG00000096248	ENSG00000207191	Gm24264	SNORD116-5
ENSMUSG00000089288	ENSG00000252930	Gm26022	RNU6-1015P
ENSMUSG00000092932	ENSG00000274011	Gm22906	RF00017
ENSMUSG00000064356	ENSG00000228253	mt-Atp8	MT-ATP8
ENSMUSG00000088410	ENSG00000252238	Gm24240	RF00322
ENSMUSG00000089306	ENSG00000252713	Gm24842	RNU6-1198P
ENSMUSG00000064370	ENSG00000198727	mt-Cytb	MT-CYB
ENSMUSG00000096237	ENSG00000205108	CT868723.1	FAM205A
ENSMUSG00000007480	ENSG00000176136	Mc5r	MC5R
ENSMUSG00000065657	ENSG00000207087	Gm25337	RNU6-242P
ENSMUSG00000064367	ENSG00000198786	mt-Nd5	MT-ND5
ENSMUSG00000092932	ENSG00000273566	Gm22906	RF00017
ENSMUSG00000092932	ENSG00000265882	Gm22906	RN7SL73P
ENSMUSG00000087887	ENSG00000252774	Gm23598	RF00554
ENSMUSG00000025014	ENSG00000107447	Dntt	DNTT
ENSMUSG00000096248	ENSG00000207063	Gm24264	SNORD116-1
ENSMUSG00000087887	ENSG00000212228	Gm23598	RF00554
ENSMUSG00000036961	ENSG00000075290	Wnt8b	WNT8B
ENSMUSG00000089247	ENSG00000221711	Gm24051	RF00612
ENSMUSG00000092932	ENSG00000278007	Gm22906	RF00017
ENSMUSG00000024803	ENSG00000148677	Ankrd1	ANKRD1
ENSMUSG00000087887	ENSG00000209582	Gm23598	SNORA48
ENSMUSG00000092932	ENSG00000277721	Gm22906	RF00017
ENSMUSG00000064613	ENSG00000200885	Gm24621	RNU1-146P
ENSMUSG00000096248	ENSG00000207093	Gm24264	SNORD116-8
ENSMUSG00000065346	ENSG00000202434	Gm25582	RF00394
ENSMUSG00000088314	ENSG00000206592	Gm26186	RF00425
ENSMUSG00000094824	ENSG00000212589	Gm23803	RF00560
ENSMUSG00000088314	ENSG00000252601	Gm26186	RF00425
ENSMUSG00000065492	ENSG00000207811	Mir34b	MIR34B
ENSMUSG00000092932	ENSG00000268154	Gm22906	RF00017
ENSMUSG00000024778	ENSG00000026103	Fas	FAS
ENSMUSG00000092932	ENSG00000255851	Gm22906	RF00017
ENSMUSG00000092932	ENSG00000278794	Gm22906	RF00017
ENSMUSG00000064563	ENSG00000207496	Snora7a	SNORA7A
ENSMUSG00000052928	ENSG00000134030	Ctif	CTIF
ENSMUSG00000096248	ENSG00000275529	Gm24264	SNORD116-4
ENSMUSG00000087887	ENSG00000212626	Gm23598	RF00554
ENSMUSG00000064563	ENSG00000207088	Snora7a	SNORA7B
ENSMUSG00000092932	ENSG00000275041	Gm22906	RF00017
ENSMUSG00000092932	ENSG00000277950	Gm22906	RF00017
ENSMUSG00000088314	ENSG00000207145	Gm26186	SNORA18
ENSMUSG00000064358	ENSG00000198938	mt-Co3	MT-CO3
ENSMUSG00000092932	ENSG00000278226	Gm22906	RF00017
ENSMUSG00000064363	ENSG00000198886	mt-Nd4	MT-ND4
ENSMUSG00000064345	ENSG00000198763	mt-Nd2	MT-ND2
ENSMUSG00000098535	ENSG00000274491	Gm27869	RF02130
ENSMUSG00000065815	ENSG00000202497	Gm24697	RNU6-898P
ENSMUSG00000088803	ENSG00000222942	Gm24074	RN7SKP58
ENSMUSG00000096248	ENSG00000207001	Gm24264	SNORD116-2
ENSMUSG00000088314	ENSG00000206849	Gm26186	RF00425
ENSMUSG00000064351	ENSG00000198804	mt-Co1	MT-CO1
ENSMUSG00000096248	ENSG00000207133	Gm24264	SNORD116-7
ENSMUSG00000092932	ENSG00000214305	Gm22906	RF00017
ENSMUSG00000087999	ENSG00000252561	Gm25060	RNU1-125P
ENSMUSG00000095660	ENSG00000200812	Gm22274	SNORD115-6
ENSMUSG00000095342	ENSG00000200812	Gm26096	SNORD115-6
ENSMUSG00000095031	ENSG00000200812	Gm22348	SNORD115-6
ENSMUSG00000077575	ENSG00000221639	Gm24888	RF00334
ENSMUSG00000089161	ENSG00000212458	Gm24130	RF00554
ENSMUSG00000095660	ENSG00000200564	Gm22274	SNORD115-39
ENSMUSG00000095342	ENSG00000200564	Gm26096	SNORD115-39
ENSMUSG00000095031	ENSG00000200564	Gm22348	SNORD115-39
ENSMUSG00000089161	ENSG00000252824	Gm24130	RF00554
ENSMUSG00000088383	ENSG00000252350	Gm24687	RPPH1-3P
ENSMUSG00000088278	ENSG00000194297	Gm23121	RNU1-75P
ENSMUSG00000089161	ENSG00000212445	Gm24130	RF00554
ENSMUSG00000089161	ENSG00000212604	Gm24130	RF00554
ENSMUSG00000064487	ENSG00000201247	Gm23736	SNORD114-13
ENSMUSG00000064788	ENSG00000199959	Gm22683	RF00410
ENSMUSG00000025228	ENSG00000138107	Actr1a	ACTR1A
ENSMUSG00000077575	ENSG00000212607	Gm24888	SNORA3B
ENSMUSG00000077575	ENSG00000221719	Gm24888	SNORA3C
ENSMUSG00000064781	ENSG00000212623	Gm22686	RNU6-493P
ENSMUSG00000098578	ENSG00000251971	Gm27449	RNU6-1333P
ENSMUSG00000089124	ENSG00000212564	Gm26402	RNU6-1326P
ENSMUSG00000077413	ENSG00000277846	Gm23389	SNORD30
ENSMUSG00000095037	ENSG00000212461	Gm22347	RF00560
ENSMUSG00000088066	ENSG00000202024	Gm23253	RNU6-934P
ENSMUSG00000095037	ENSG00000281808	Gm22347	RF00560
ENSMUSG00000077575	ENSG00000221093	Gm24888	RF00334
ENSMUSG00000089161	ENSG00000212214	Gm24130	SNORA48B
ENSMUSG00000089161	ENSG00000212391	Gm24130	RF00554
ENSMUSG00000095660	ENSG00000200987	Gm22274	SNORD115-30
ENSMUSG00000095342	ENSG00000200987	Gm26096	SNORD115-30
ENSMUSG00000095031	ENSG00000200987	Gm22348	SNORD115-30
ENSMUSG00000087817	ENSG00000252163	Gm22492	RN7SKP31
