ratID	HumanID	ratGeneSymbol	HumanGeneSymbol
ENSRNOG00000001452	ENSG00000188763	Fzd9	FZD9
ENSRNOG00000018567	ENSG00000144136	Slc20a1	SLC20A1
ENSRNOG00000021693	ENSG00000109794	Fam149a	FAM149A
ENSRNOG00000024801	ENSG00000102100	Slc35a2	SLC35A2
ENSRNOG00000045816	ENSG00000155511	Gria1	GRIA1
ENSRNOG00000060066	ENSG00000106006	Hoxa6	HOXA6
ENSRNOG00000057153	ENSG00000144837	Pla1a	PLA1A
ENSRNOG00000056877	ENSG00000200047	RF00100	RN7SKP115
ENSRNOG00000033299	ENSG00000228253	Mt-atp8	MT-ATP8
ENSRNOG00000010846	ENSG00000101997	Ccdc22	CCDC22
ENSRNOG00000016631	ENSG00000158805	Zfp276	ZNF276
ENSRNOG00000035571	ENSG00000199080	Mir133b	MIR133B
ENSRNOG00000003073	ENSG00000143147	Gpr161	GPR161
ENSRNOG00000006139	ENSG00000168818	Stx18	STX18
ENSRNOG00000027506	ENSG00000116996	Zp4	ZP4
ENSRNOG00000013855	ENSG00000197056	Zmym1	ZMYM1
ENSRNOG00000025619	ENSG00000213983	Ap1g2	AP1G2
ENSRNOG00000031979	ENSG00000198899	Mt-atp6	MT-ATP6
ENSRNOG00000017462	ENSG00000145375	Spata5	SPATA5
ENSRNOG00000026503	ENSG00000166435	Xrra1	XRRA1
ENSRNOG00000040242	ENSG00000112425	Epm2a	EPM2A
ENSRNOG00000005491	ENSG00000127325	Best3	BEST3
ENSRNOG00000017265	ENSG00000075568	Tmem131	TMEM131
ENSRNOG00000054513	ENSG00000122515	LOC103693776	ZMIZ2
ENSRNOG00000032009	ENSG00000164123	LOC499643	C4orf45
ENSRNOG00000004356	ENSG00000162763	Lrrc52	LRRC52
ENSRNOG00000020939	ENSG00000166959	Ms4a8	MS4A8
ENSRNOG00000015105	ENSG00000119411	Bspry	BSPRY
ENSRNOG00000002208	ENSG00000138771	Shroom3	SHROOM3
ENSRNOG00000030644	ENSG00000198888	Mt-nd1	MT-ND1
ENSRNOG00000019019	ENSG00000139914	Fitm1	FITM1
ENSRNOG00000014268	ENSG00000107331	Abca2	ABCA2
ENSRNOG00000046516	ENSG00000237521	Olfr873	OR7E24
ENSRNOG00000003633	ENSG00000109047	Rcvrn	RCVRN
ENSRNOG00000050514	ENSG00000170906	LOC684509	NDUFA3
ENSRNOG00000047085	ENSG00000146006	Lrrtm2	LRRTM2
ENSRNOG00000030830	ENSG00000181588	Mex3d	MEX3D
ENSRNOG00000057043	ENSG00000230301	Olr1549	OR5H6
ENSRNOG00000050854	ENSG00000114859	LOC108348101	CLCN2
ENSRNOG00000033615	ENSG00000198840	Mt-nd3	MT-ND3
ENSRNOG00000028865	ENSG00000203786	Kprp	KPRP
ENSRNOG00000024331	ENSG00000105668	Upk1a	UPK1A
ENSRNOG00000018047	ENSG00000114745	Gorasp1	GORASP1
ENSRNOG00000046227	ENSG00000158109	Tprg1l	TPRG1L
ENSRNOG00000011222	ENSG00000088986	Dynll1	DYNLL1
ENSRNOG00000030371	ENSG00000198712	Mt-co2	MT-CO2
ENSRNOG00000026941	ENSG00000255690	Tril	TRIL
ENSRNOG00000018767	ENSG00000134453	Rbm17	RBM17
ENSRNOG00000011634	ENSG00000171044	Xkr6	XKR6
ENSRNOG00000031053	ENSG00000212907	Mt-nd4l	MT-ND4L
ENSRNOG00000011762	ENSG00000120690	Elf1	ELF1
ENSRNOG00000010008	ENSG00000148606	Polr3a	POLR3A
ENSRNOG00000012718	ENSG00000112200	Zfp451	ZNF451
ENSRNOG00000013102	ENSG00000054179	Entpd2	ENTPD2
ENSRNOG00000057043	ENSG00000236032	Olr1549	OR5H14
ENSRNOG00000001430	ENSG00000005075	Polr2j	POLR2J
ENSRNOG00000029042	ENSG00000198695	Mt-nd6	MT-ND6
ENSRNOG00000057043	ENSG00000233412	Olr1549	OR5H15
ENSRNOG00000056144	ENSG00000241128	Olr29	OR14A2
ENSRNOG00000031033	ENSG00000198763	Mt-nd2	MT-ND2
ENSRNOG00000015415	ENSG00000119729	Rhoq	RHOQ
ENSRNOG00000029707	ENSG00000198886	Mt-nd4	MT-ND4
ENSRNOG00000026527	ENSG00000172803	Snx32	SNX32
ENSRNOG00000030700	ENSG00000198938	Mt-co3	MT-CO3
ENSRNOG00000000415	ENSG00000111875	Asf1a	ASF1A
ENSRNOG00000057043	ENSG00000231192	Olr1549	OR5H1
ENSRNOG00000058883	ENSG00000124019	NEWGENE_1589866	FAM124B
ENSRNOG00000057043	ENSG00000232535	Olr1549	OR5H8
ENSRNOG00000001959	ENSG00000157601	Mx1	MX1
ENSRNOG00000034234	ENSG00000198804	Mt-co1	MT-CO1
ENSRNOG00000008345	ENSG00000011021	Clcn6	CLCN6
ENSRNOG00000008519	ENSG00000181744	RGD1309079	C3orf58
ENSRNOG00000015444	ENSG00000176922	Olr49	OR51S1
ENSRNOG00000035582	ENSG00000199075	Mir26a	MIR26A1
ENSRNOG00000000693	ENSG00000166111	Svop	SVOP
ENSRNOG00000006353	ENSG00000165905	Large2	LARGE2
ENSRNOG00000050553	ENSG00000143882	Atp6v1c2	ATP6V1C2
ENSRNOG00000055026	ENSG00000207198	RF00026	RNU6-1195P
